All Shortstops  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Brock,Holt RF  BOS " User Abuser	380	54	108	83	18	4	3	21	27	54	10	3	0.2842	0.3317	0.3763	419
"Gordon,Beckham 2B  CHW " Free Agent	447	54	107	73	24	0	10	43	30	75	4	2	0.2394	0.2872	0.3602	423
"Zack,Cozart SS  CIN" Free Agent	515	59	123	91	22	4	6	43	24	84	6	2	0.2388	0.2727	0.3320	432
"Stephen,Drew SS  NYY" Free Agent	420	46	95	56	24	3	12	53	43	117	2	2	0.2262	0.2981	0.3833	435
"Francisco,Lindor SS  CLE " Want-a-be Ghetto All Stars	370	52	94	76	11	2	5	33	39	75	6	6	0.2541	0.3252	0.3351	457
"Nick,Franklin 2B  TB" Free Agent	440	39	96	63	20	0	13	45	43	138	6	3	0.2182	0.2878	0.3523	462
"Everth,Cabrera SS  SD " Floaters and Sinkers	280	31	72	59	9	2	2	18	20	61	21	10	0.2571	0.3067	0.3250	468
"Yunel,Escobar SS  WAS " Free Agent	490	38	126	97	21	0	8	44	50	65	1	1	0.2571	0.3259	0.3490	475
"Freddy,Galvis SS  PHI " Free Agent	450	33	105	70	20	2	13	45	29	102	3	1	0.2333	0.2797	0.3733	478
"Addison,Russell SS  CHC " Knobgobblers	210	26	56	35	12	2	7	25	18	45	8	4	0.2667	0.3246	0.4429	512
"Jonathan,Villar SS  HOU" Disco Bush Horticulturists	236	28	53	36	11	2	4	18	22	76	18	6	0.2246	0.2907	0.3390	524
"Eduardo,Escobar SS  MIN " Free Agent	380	44	97	62	27	3	5	31	23	81	0	1	0.2553	0.2978	0.3816	531
"Justin,Turner 3B  LAD" Free Agent	220	26	67	46	16	1	4	26	16	39	2	1	0.3045	0.3517	0.4409	541
"Jung,Ho Kang SS  PIT " Free Agent	300	24	78	51	17	1	9	31	18	60	1	1	0.2600	0.3019	0.4133	544
"Eduardo,Nunez SS  MIN" Free Agent	199	26	52	37	9	3	3	21	10	31	10	3	0.2613	0.2967	0.3819	548
"Chris,Taylor SS  SEA " Free Agent	250	22	62	45	13	2	2	17	24	66	14	4	0.2480	0.3139	0.3400	582
"Danny,Espinosa 2B  WAS " Free Agent	290	28	63	40	14	2	7	25	20	100	8	2	0.2172	0.2677	0.3517	584
"Eugenio,Suarez SS  CIN" Free Agent	244	33	59	45	9	1	4	23	22	67	3	2	0.2418	0.3045	0.3361	604
"Daniel,Descalso 2B  COL" Free Agent	288	35	67	46	15	3	3	26	26	57	4	3	0.2326	0.2962	0.3368	612
"Cliff,Pennington SS  ARI" Free Agent	288	32	67	50	12	2	3	19	27	60	8	2	0.2326	0.2984	0.3194	615
"Eric,Sogard 2B  OAK " Free Agent	225	28	58	44	12	0	2	19	21	30	6	3	0.2578	0.3211	0.3378	619
"Willie,Bloomquist SS  SEA " Free Agent	199	26	60	47	11	2	0	17	8	33	3	4	0.3015	0.3285	0.3769	632
"Ruben,Tejada SS  NYM " Free Agent	342	34	86	68	16	0	2	23	31	57	2	2	0.2515	0.3137	0.3158	635
"Ryan,Flaherty 3B  BAL " Free Agent	227	25	50	32	9	1	8	26	16	58	1	0	0.2203	0.2716	0.3744	639
"Marwin,Gonzalez SS  HOU " Free Agent	231	25	57	41	12	0	4	16	13	41	4	3	0.2468	0.2869	0.3506	673
"Joaquin,Arias 3B  SF" Free Agent	246	22	65	51	10	2	2	23	8	33	2	0	0.2642	0.2874	0.3455	675
"Ed,Lucas 2B  TEX " Free Agent	265	31	67	55	10	0	2	18	17	63	1	0	0.2528	0.2979	0.3132	697
"Pedro,Florimon SS  PIT" Free Agent	205	22	42	30	8	1	3	18	17	56	8	2	0.2049	0.2658	0.2976	726
"Jayson,Nix 3B  KC " Free Agent	176	19	38	28	7	0	3	15	14	54	7	2	0.2159	0.2737	0.3068	745
"Nick,Punto 2B  OAK " Free Agent	217	25	51	38	10	1	2	15	28	55	4	1	0.2350	0.3224	0.3180	750
"Clint,Barmes SS  SD" Free Agent	287	24	64	48	12	0	4	25	14	65	0	1	0.2230	0.2591	0.3066	779
"Jonathan,Herrera SS  CHC" Free Agent	170	18	46	37	6	2	1	12	12	29	3	2	0.2706	0.3187	0.3471	781
"Pete,Kozma SS  STL " Free Agent	168	20	40	29	9	1	1	16	15	38	2	0	0.2381	0.3005	0.3214	821
"Ramon,Santiago 3B  TOR " Free Agent	204	22	47	36	8	1	2	16	22	36	1	1	0.2304	0.3053	0.3088	832
"Brendan,Ryan SS  NYY" Free Agent	280	26	54	39	12	1	2	20	24	67	5	3	0.1929	0.2566	0.2643	845
"Erisbel,Arruebarrena SS  LAD" Free Agent	320	28	65	46	13	3	3	24	18	117	1	0	0.2031	0.2456	0.2906	846
"Andrew,Romine SS  DET " Free Agent	125	14	31	27	3	0	1	8	9	29	5	1	0.2480	0.2985	0.2960	852
"Ronny,Cedeno SS  PHI" Free Agent	146	14	35	26	6	1	2	14	10	37	2	2	0.2397	0.2885	0.3356	868
"Enrique,Hernandez CF  LAD" Free Agent	121	13	30	18	6	3	3	14	12	21	0	0	0.2479	0.3158	0.4215	874
"Luis,Sardinas 2B  MIL " Free Agent	115	12	30	24	6	0	0	8	5	21	5	1	0.2609	0.2917	0.3130	883
"Gregorio,Petit SS  HOU" Free Agent	97	14	27	17	8	0	2	9	1	25	0	1	0.2784	0.2857	0.4227	889
"Omar,Quintanilla SS  COL " Free Agent	171	18	39	30	6	1	2	13	19	39	1	0	0.2281	0.3053	0.3099	896
"Elian,Herrera LF  MIL " Free Agent	110	13	29	22	6	1	0	7	9	29	3	1	0.2636	0.3193	0.3364	921
"Charlie,Culberson 3B  COL" Free Agent	110	10	25	18	4	1	2	12	5	31	2	1	0.2273	0.2609	0.3364	933
"Robert,Andino SS  PIT" Free Agent	153	15	31	23	6	0	2	11	15	42	2	2	0.2026	0.2738	0.2810	981
"Ryan,Goins 2B  TOR " Free Agent	150	12	34	24	6	2	2	12	4	35	0	0	0.2267	0.2468	0.3333	996
"Leury,Garcia CF  CHW" Free Agent	123	12	21	19	2	0	0	4	6	41	9	2	0.1707	0.2093	0.1870	1001
"Jeff,Bianchi SS  MIL" Free Agent	125	11	27	22	4	0	1	13	6	25	1	1	0.2160	0.2519	0.2720	1007
"Ramiro,Pena 2B  SD" Free Agent	83	8	21	15	4	0	2	7	7	19	0	1	0.2530	0.3111	0.3735	1020
"Phil,Gosselin 2B  ATL" Free Agent	67	10	18	16	2	0	0	2	3	14	1	1	0.2687	0.3000	0.2985	1073
"Matt,Duffy 2B  SF" Free Agent	60	5	16	14	2	0	0	8	1	14	0	1	0.2667	0.2787	0.3000	1130
"Brendan,Harris SS  LAD" Free Agent	54	7	11	7	2	0	2	4	3	14	0	0	0.2037	0.2456	0.3519	1162
"Cesar,Izturis SS  HOU" Free Agent	98	6	23	16	5	1	1	7	4	9	0	0	0.2347	0.2647	0.3367	1169
"Doug,Bernier SS  MIN" Free Agent	30	6	8	6	2	0	0	2	4	8	1	0	0.2667	0.3529	0.3333	1179
"Andres,Blanco 3B  PHI" Free Agent	47	4	13	7	5	0	1	3	2	6	0	0	0.2766	0.3061	0.4468	1185
"Miguel,Rojas SS  MIA" Free Agent	149	16	27	23	3	0	1	9	10	28	0	0	0.1812	0.2327	0.2215	1211
"Nick,Ahmed SS  ARI" Free Agent	70	9	14	11	2	0	1	4	3	10	0	1	0.2000	0.2329	0.2714	1228
"Jake,Elmore SS  TB " Free Agent	66	6	15	11	3	0	1	4	6	10	0	2	0.2273	0.2917	0.3182	1231
"Wilson,Valdez SS  MIA" Free Agent	65	5	13	12	1	0	0	5	3	12	1	0	0.2000	0.2353	0.2154	1333
"Jorge,Polanco SS  MIN" Free Agent	6	2	2	0	1	1	0	3	2	2	0	0	0.3333	0.5000	0.8333	1348
"Dean,Anna SS  STL" Free Agent	22	3	3	1	1	0	1	3	2	6	0	0	0.1364	0.2083	0.3182	1394
"Ehire,Adrianza 2B  SF" Free Agent	38	4	8	6	2	0	0	3	2	9	0	0	0.2105	0.2500	0.2632	1410
"Danny,Worth SS  DET" Free Agent	39	5	7	6	1	0	0	3	5	12	0	0	0.1795	0.2727	0.2051	1440
"Andy,Parrino SS  OAK" Free Agent	65	5	12	8	3	0	1	3	7	20	0	0	0.1846	0.2639	0.2769	1448
"Justin,Sellers 2B  PIT" Free Agent	43	4	8	6	1	0	1	1	4	13	0	0	0.1860	0.2553	0.2791	1454
"Nick,Green SS  MIA" Free Agent	26	2	6	4	2	0	0	2	1	7	0	0	0.2308	0.2593	0.3077	1455
"Edwin,Maysonet SS  CHC" Free Agent	20	2	4	4	0	0	0	1	1	3	0	0	0.2000	0.2381	0.2000	1528
"Juan,Diaz SS  CHW " Free Agent	5	1	1	1	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1543
"Wilfredo,Tovar SS  NYM" Free Agent	9	0	2	2	0	0	0	1	0	2	0	0	0.2222	0.2222	0.2222	1555
"Chase,d'Arnaud SS  PHI" Free Agent	2	1	0	0	0	0	0	0	0	1	0	1	0.0000	0.0000	0.0000	1558
"Alex,Gonzalez SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"John,McDonald 3B  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Hector,Gomez SS  MIL" Free Agent	7	1	1	1	0	0	0	0	0	3	0	0	0.1429	0.1429	0.1429	1612
"Luis,Hernandez SS  CLE" Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1617
"Carlos,Triunfel SS  SF" Free Agent	27	2	4	3	1	0	0	2	1	7	0	0	0.1481	0.1786	0.1852	1631
"Jonathan,Diaz SS  TOR" Free Agent	21	2	2	2	0	0	0	2	2	7	0	0	0.0952	0.1739	0.0952	1656
"Cristhian,Adames SS  COL" Free Agent	8	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1688
"Spencer,Edwards SS  TB " Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Juan,Ciriaco SS  SF" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ignacio,Suarez SS  BOS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Russell,Wilson SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Raul,Mondesi SS  KC " Whiteness	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"David,Herrera SS  PHI" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Casey,Benjamin SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Stephen,Carmon SS  SD" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Gioskar,Amaya SS  CHC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jerry,Gil SS  CLE" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Orlando,Calixte SS  KC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Christopher,Gutierrez SS  MIA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Juan,A. Rivera SS  LAD" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Kyle,Boyer SS  CHC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jimmy,Swift SS  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jeremy,Sy SS  SF" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Alex,Blandino SS  CIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Scott,Wingo SS  LAD" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Emilio,Guerrero SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Osvaldo,Fernando SS  HOU" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Drew,Robinson SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Justin,Jackson SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Gustavo,Nunez SS  PIT" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dixon,Machado SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Aaron,Reza SS  BOS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Steve,Singleton SS  MIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Carter,Bell SS  ARI" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Hainley,Statia SS  MIL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"David,Masters SS  WAS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Chih-Hsien,Chiang SS  BAL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Junior,Arias SS  CIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jeff,Dominguez SS  MIA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Wilmer,Difo SS  WAS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Andy,Burns SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Johnny,Eierman SS  TB" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Gavin,Cecchini SS  NYM" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Michael,Marseco SS  MIL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jason,Tweedy SS  TB" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Drew,Niles SS  MIA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Amed,Rosario SS  NYM" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"J.R.,Taylor SS  MIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Tyler,Kuhn SS  COL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Wes,Timmons SS  OAK" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Timothy,Smalling SS  COL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Anthony,Phillips SS  SEA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Luis,Soto SS  BOS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Adrian,Rondon SS  TB" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Derek,Bruce SS  ARI" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Alonzo,Harris SS  NYM" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Austin,Nola SS  MIA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jose,Coronado SS  NYM" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Adam,Younger SS  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jecksson,Flores SS  KC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Angel,Ortega SS  MIL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Joseph,Becker SS  LAD" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Roberto,Baldoquin SS  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jovan,Rosa SS  CHC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Nathan,Samson SS  CHC" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dan,Dement SS  WAS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Yhoxian,Medina SS  CLE" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jonathan,Galvez SS  NYY" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Michael,De Leon SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Javier,Betancourt SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Edwin,Gomez SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Brandon,Brewer SS  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Mark,A. Thompson SS  CLE" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dean,Espy SS  COL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"D.J.,Jarrad SS  CHW" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Hector,Guevara SS  TB" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Scott,Youngbauer SS  SEA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Seth,Johnston SS  SD" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Paul,Witt SS  MIA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Kory,Wayment SS  OAK" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Timothy,Lopes SS  SEA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dawel,Lugo SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jarek,Cunningham SS  PIT " Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"James,Kang SS  BOS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Carlos,Correa SS  HOU " User Abuser	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Hector,Tiburcio SS  CIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Craig,Ringe SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Stephen,Perez SS  WAS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Curt,Powell SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ramoncito,Santana SS  MIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Joantoni,Garcia SS  BOS" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Patrick,Valaika SS  COL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Peter,Mooney SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ozhaino,Albies SS  ATL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ryan,Mount SS  LAA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Gustavo,Pierre SS  PHI" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Benjamin,Kline SS  TB" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jake,Gatewood SS  MIL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Yandy,Diaz SS  CLE" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Franklin,Barreto SS  TOR" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Stephen,Wickens SS  MIN" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Mitchell,Hilligoss SS  TEX" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jonathan,Griffin SS  ARI" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Santo,De Leon SS  DET" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Brian,Finegan SS  CLE" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ydwin,Villegas SS  SF" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Justin,Fuller SS  CHW" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jack,Reinheimer SS  SEA" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Glynn,Davis SS  BAL" Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
