All Players 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Hernandez, Felix SP SEA	-	Evil Empire	233.7	33	22	5	14	14	0	0	222	67	218	3.466	1.2197	50
Papelbon, Jonathan RP PHI	-	Shits & Giggles	64.3	0	0	0	4	1	31	3	87	10	50	2.938	0.9326	51
Gallardo, Yovani SP MIL	-	Whiteness	207.3	33	23	1	17	10	0	0	207	59	193	3.516	1.2154	53
Salas, Fernando RP STL	-	Free Agent	75.0	0	0	0	5	6	24	6	75	21	50	2.280	0.9467	54
Bumgarner, Madison SP SF	-	Disco Bush Horticulturists	204.7	33	23	0	13	13	0	0	191	46	202	3.210	1.2117	56
Hudson, Daniel SP ARI	-	Orange-a-Tangs	222.0	33	21	3	16	12	0	0	169	50	217	3.486	1.2027	58
Kuroda, Hiroki SP LAD 	-	Floaters and Sinkers	202.0	32	22	0	13	16	0	0	161	49	196	3.074	1.2129	63
League, Brandon RP SEA 	-	Blue Crew	61.3	0	0	0	1	5	37	5	45	10	56	2.788	1.0761	65
Hellickson, Jeremy SP TB	-	User Abuser	189.0	29	20	2	13	10	0	0	117	72	146	2.952	1.1534	68
Madson, Ryan RP PHI 	-	Sofa Kings	60.7	0	0	0	4	2	32	2	62	16	54	2.374	1.1538	73
Cueto, Johnny SP CIN	-	Blue Crew	156.0	24	18	3	9	5	0	0	104	47	123	2.308	1.0897	74
Santana, Ervin SP LAA 	-	Orange-a-Tangs	228.7	33	21	4	11	12	0	0	178	72	207	3.385	1.2201	75
Gonzalez, Gio SP WAS 	-	SA`s	202.0	32	19	0	16	12	0	0	197	91	175	3.119	1.3168	76
Marcum, Shaun SP MIL 	-	Evil Empire	200.7	33	20	0	13	7	0	0	158	57	175	3.543	1.1561	80
Carpenter, Chris SP STL	-	Sofa Kings	237.3	34	21	4	11	9	0	0	191	55	243	3.451	1.2556	83
Santos, Sergio RP TOR 	-	Whiteness	63.3	0	0	0	4	5	30	6	92	29	41	3.553	1.1053	86
Vogelsong, Ryan SP SF	-	SA`s	179.7	28	19	1	13	7	0	0	139	61	164	2.705	1.2523	87
Walden, Jordan RP LAA 	-	Titty`s Warriors	60.3	0	0	0	5	5	32	10	67	26	49	2.983	1.2431	88
Greinke, Zack SP MIL	-	Shits & Giggles	171.7	28	19	0	16	6	0	0	201	45	161	3.827	1.2000	89
Perez, Chris RP CLE	-	Whiteness	59.7	0	0	0	4	7	36	4	39	26	46	3.318	1.2067	90
Latos, Mat SP CIN 	-	SA`s	194.3	31	20	0	9	14	0	0	185	62	168	3.473	1.1835	91
Farnsworth, Kyle RP TB 	-	Want-a-be Ghetto All Stars	57.7	0	0	0	5	1	25	6	51	12	45	2.185	0.9884	92
Feliz, Neftali RP TEX	-	Blue Crew	62.3	0	0	0	2	3	32	6	54	30	42	2.743	1.1551	93
Lester, Jon SP BOS	-	Floaters and Sinkers	191.7	31	19	0	15	9	0	0	182	75	166	3.475	1.2574	94
Garza, Matt SP CHC 	-	Evil Empire	198.0	31	20	2	10	10	0	0	197	63	186	3.318	1.2576	96
Masterson, Justin SP CLE 	-	Shits & Giggles	216.0	33	22	1	12	10	0	0	158	65	211	3.208	1.2778	97
Vazquez, Javier SP MIA 	-	Titty`s Warriors	192.7	32	19	2	13	11	0	0	162	50	178	3.690	1.1834	99
Lohse, Kyle SP STL 	-	User Abuser	188.3	30	16	1	14	8	0	0	111	42	178	3.393	1.1681	100
Pineda, Michael SP SEA	-	Evil Empire	171.0	28	19	0	9	10	0	0	173	55	133	3.737	1.0994	102
Wilson, Brian RP SF 	-	Whiteness	55.0	0	0	0	6	4	36	5	54	31	50	3.109	1.4727	106
Ogando, Alexi SP TEX	-	User Abuser	169.0	29	17	1	13	8	0	0	126	43	149	3.515	1.1361	107
Nunez, Leo RP MIA 	-	Disco Bush Horticulturists	64.3	0	0	0	1	4	36	6	55	21	57	4.057	1.2124	109
Marmol, Carlos RP CHC	-	Orange-a-Tangs	74.0	0	0	0	2	6	34	10	99	48	54	4.013	1.3784	111
Lilly, Ted SP LAD	-	Free Agent	192.7	33	15	0	12	14	0	0	158	51	172	3.971	1.1574	114
McCarthy, Brandon SP OAK	-	User Abuser	170.7	25	16	5	9	9	0	0	123	25	168	3.322	1.1309	115
Dickey, R.A. SP NYM 	-	Want-a-be Ghetto All Stars	208.7	32	22	1	8	13	0	0	134	54	202	3.278	1.2268	117
Rodriguez, Francisco RP MIL 	-	Blue Crew	71.7	0	0	0	6	2	23	6	79	26	67	2.637	1.2977	118
Luebke, Cory SP SD	-	Evil Empire	139.7	17	9	0	6	10	0	0	154	44	105	3.286	1.0668	119
Collmenter, Josh SP ARI	-	Shits & Giggles	154.3	24	15	0	10	10	0	0	100	28	137	3.382	1.0691	120
Melancon, Mark RP BOS 	-	Blue Crew	74.3	0	0	0	8	4	20	5	66	26	65	2.785	1.2242	123
Zimmermann, Jordan SP WAS	-	Floaters and Sinkers	161.3	26	16	1	8	11	0	0	124	31	154	3.180	1.1467	124
Clippard, Tyler RP WAS	-	Orange-a-Tangs	88.3	0	0	0	3	0	0	7	104	26	48	1.834	0.8377	128
Harrison, Matt SP TEX 	-	Titty`s Warriors	185.7	30	20	0	14	9	0	0	126	57	180	3.393	1.2765	134
Sanchez, Anibal SP MIA	-	Titty`s Warriors	196.3	32	19	3	8	9	0	0	202	64	187	3.667	1.2784	137
Adams, Mike RP TEX 	-	Free Agent	73.7	0	0	0	5	4	2	3	74	14	44	1.466	0.7873	138
Venters, Jonny RP ATL	-	Floaters and Sinkers	88.0	0	0	0	6	2	5	4	96	43	53	1.841	1.0909	139
Aceves, Alfredo RP BOS	-	Free Agent	114.0	4	1	0	10	2	2	3	80	42	84	2.605	1.1053	140
Jurrjens, Jair SP ATL 	-	Free Agent	152.0	23	16	2	13	6	0	0	90	44	142	2.961	1.2237	141
Soria, Joakim RP KC 	-	Free Agent	60.3	0	0	0	5	5	28	7	60	17	60	4.028	1.2762	144
Lewis, Colby SP TEX	-	Whiteness	200.3	32	19	2	14	10	0	0	169	56	187	4.403	1.2130	145
Rodriguez, Wandy SP HOU	-	Shits & Giggles	191.0	30	20	0	11	11	0	0	166	69	182	3.487	1.3141	147
Garcia, Jaime SP STL	-	Titty`s Warriors	194.7	32	18	2	13	7	0	0	156	50	207	3.560	1.3202	148
Floyd, Gavin SP CHW	-	Free Agent	193.7	30	16	1	12	13	0	0	151	45	180	4.368	1.1618	149
Street, Huston RP SD 	-	Disco Bush Horticulturists	58.3	0	0	0	1	4	29	4	55	9	62	3.857	1.2171	152
Leake, Mike SP CIN 	-	Free Agent	167.7	26	18	0	12	9	0	0	118	38	159	3.865	1.1750	153
Hanson, Tommy SP ATL 	-	Sofa Kings	130.0	22	13	0	11	7	0	0	142	46	106	3.600	1.1692	154
Worley, Vance SP PHI	-	SA`s	131.7	21	12	1	11	3	0	0	119	46	116	3.008	1.2304	156
Baker, Scott SP MIN	-	Free Agent	134.7	21	10	1	8	6	0	0	123	32	126	3.141	1.1733	158
Tomlin, Josh SP CLE	-	Titty`s Warriors	165.3	26	17	0	12	7	0	0	89	21	157	4.246	1.0766	160
Wolf, Randy SP MIL	-	Free Agent	212.3	33	21	0	13	10	0	0	134	66	214	3.688	1.3187	161
Buehrle, Mark SP MIA 	-	Free Agent	205.3	31	22	0	13	9	0	0	109	45	221	3.594	1.2955	162
Motte, Jason RP STL	-	Orange-a-Tangs	68.0	0	0	0	5	2	9	4	63	16	49	2.250	0.9559	164
Chacin, Jhoulys SP COL	-	Floaters and Sinkers	194.0	31	18	2	11	14	0	0	150	87	168	3.619	1.3144	167
Johnson, Jim RP BAL 	-	Free Agent	91.0	0	0	0	6	5	9	5	58	21	80	2.670	1.1099	168
Holland, Derek SP TEX 	-	Floaters and Sinkers	198.0	32	19	4	16	5	0	0	162	67	201	3.954	1.3535	169
Humber, Philip SP CHW	-	SA`s	163.0	26	15	0	9	9	0	0	116	41	151	3.755	1.1779	172
Beachy, Brandon SP ATL	-	Blue Crew	141.7	25	14	0	7	3	0	0	169	46	125	3.685	1.2071	173
Karstens, Jeff SP PIT 	-	User Abuser	162.3	26	16	1	9	9	0	0	96	33	163	3.382	1.2074	174
Stauffer, Tim SP SD	-	Free Agent	185.7	31	20	0	9	12	0	0	128	53	180	3.732	1.2549	179
Saunders, Joe SP ARI 	-	SA`s	212.0	33	20	1	12	13	0	0	108	67	210	3.693	1.3066	181
Moscoso, Guillermo SP OAK	-	Sofa Kings	128.0	21	12	0	8	10	0	0	74	38	102	3.375	1.0938	183
Bastardo, Antonio RP PHI	-	Free Agent	58.0	0	0	0	6	1	8	1	70	26	28	2.638	0.9310	184
Marshall, Sean RP CIN 	-	User Abuser	75.7	0	0	0	6	6	5	4	79	17	66	2.260	1.0969	185
Guerra, Javy RP LAD	-	Free Agent	46.7	0	0	0	2	2	21	2	38	18	37	2.314	1.1786	188
Holland, Greg RP KC 	-	Free Agent	60.0	0	0	0	5	1	4	2	74	19	37	1.800	0.9333	192
Bailey, Andrew RP BOS 	-	Free Agent	41.7	0	0	0	0	4	24	2	41	12	34	3.240	1.1040	193
Nova, Ivan SP NYY	-	Titty`s Warriors	165.3	27	16	0	16	4	0	0	98	57	163	3.702	1.3306	194
Betancourt, Rafael RP COL	-	Free Agent	62.3	0	0	0	2	0	8	4	73	8	46	2.888	0.8663	198
Harang, Aaron SP LAD 	-	Shits & Giggles	170.7	28	18	0	14	7	0	0	124	58	175	3.639	1.3652	199
Robertson, David RP NYY	-	Free Agent	66.7	0	0	0	4	0	1	3	100	35	40	1.080	1.1250	200
Uehara, Koji RP TEX	-	Free Agent	65.0	0	0	0	2	3	0	1	85	9	38	2.354	0.7231	202
Norris, Bud SP HOU 	-	Free Agent	186.0	31	16	0	6	11	0	0	176	70	177	3.774	1.3280	203
Scherzer, Max SP DET	-	Want-a-be Ghetto All Stars	195.0	33	16	0	15	9	0	0	174	56	207	4.431	1.3487	205
Hernandez, David RP ARI	-	Free Agent	69.3	0	0	0	5	3	11	3	77	30	49	3.375	1.1394	206
Morrow, Brandon SP TOR	-	Want-a-be Ghetto All Stars	179.3	30	17	0	11	11	0	0	203	69	162	4.718	1.2881	208
Peralta, Joel RP TB 	-	Free Agent	67.7	0	0	0	3	4	6	2	61	18	44	2.926	0.9163	218
O'Flaherty, Eric RP ATL	-	Free Agent	73.7	0	0	0	2	4	0	4	67	21	59	0.977	1.0860	222
Sale, Chris RP CHW	-	Sofa Kings	71.0	0	0	0	2	2	8	2	79	27	52	2.789	1.1127	225
Chen, Bruce SP KC	-	Sofa Kings	155.0	25	14	1	12	8	0	0	97	50	152	3.774	1.3032	229
Romo, Sergio RP SF	-	Free Agent	48.0	0	0	0	3	1	1	1	70	5	29	1.500	0.7083	231
Mujica, Edward RP MIA	-	Free Agent	76.0	0	0	0	9	6	0	3	63	14	64	2.961	1.0263	232
Colon, Bartolo SP NYY	-	Sofa Kings	164.3	26	13	1	8	10	0	0	135	40	172	3.998	1.2901	236
Niemann, Jeff SP TB	-	Blue Crew	135.3	23	12	1	11	7	0	0	105	37	131	4.057	1.2414	239
Jackson, Edwin SP STL 	-	Blue Crew	199.7	31	18	1	12	9	0	0	148	62	225	3.786	1.4374	242
Garcia, Freddy SP NYY	-	Free Agent	146.7	25	16	0	12	8	0	0	96	45	152	3.620	1.3432	243
Vargas, Jason SP SEA	-	Free Agent	201.0	32	18	4	10	13	0	0	131	59	205	4.254	1.3134	244
Kendrick, Kyle SP PHI	-	Disco Bush Horticulturists	114.7	15	6	0	8	6	0	0	59	30	110	3.218	1.2209	252
Myers, Brett SP HOU	-	Free Agent	216.0	33	19	2	7	14	0	0	160	57	226	4.458	1.3102	253
Maholm, Paul SP PIT 	-	Free Agent	162.3	26	13	1	6	14	0	0	97	50	160	3.659	1.2936	257
Capuano, Chris SP LAD 	-	Orange-a-Tangs	186.0	31	14	1	11	12	0	0	168	53	198	4.548	1.3495	258
Bedard, Erik SP PIT 	-	User Abuser	129.3	24	11	0	5	9	0	0	125	48	118	3.619	1.2835	261
Jansen, Kenley RP LAD	-	Free Agent	53.7	0	0	0	2	1	5	1	96	26	30	2.851	1.0435	264
Balfour, Grant RP OAK 	-	Free Agent	62.0	0	0	0	5	2	2	5	59	20	44	2.468	1.0323	266
Johnson, Josh SP MIA 	-	Blue Crew	60.3	9	7	0	3	1	0	0	56	20	39	1.641	0.9779	267
Hochevar, Luke SP KC	-	Free Agent	198.0	31	16	0	11	11	0	0	128	62	192	4.682	1.2828	268
Downs, Scott RP LAA	-	Free Agent	53.7	0	0	0	6	3	1	3	35	15	39	1.342	1.0062	271
Capps, Matt RP MIN 	-	Free Agent	65.7	0	0	0	4	7	15	9	34	13	66	4.249	1.2030	275
Cahill, Trevor SP ARI 	-	Want-a-be Ghetto All Stars	207.7	34	21	0	12	14	0	0	147	82	214	4.160	1.4254	276
Pestano, Vinnie RP CLE	-	Free Agent	62.0	0	0	0	1	2	2	4	84	24	41	2.323	1.0484	277
Francisco, Frank RP NYM 	-	Free Agent	50.7	0	0	0	1	4	17	4	53	18	49	3.553	1.3224	279
Guthrie, Jeremy SP BAL 	-	Free Agent	208.0	32	16	2	9	17	0	0	130	66	213	4.327	1.3413	282
Samardzija, Jeff RP CHC	-	Evil Empire	88.0	0	0	0	8	4	0	2	87	50	64	2.966	1.2955	284
Bard, Daniel RP BOS 	-	Free Agent	73.0	0	0	0	2	9	1	5	74	24	46	3.329	0.9589	285
Ramirez, Ramon RP NYM 	-	Free Agent	68.7	0	0	0	3	3	4	1	66	26	54	2.621	1.1650	286
Oswalt, Roy SP PHI 	-	Titty`s Warriors	139.0	23	14	0	9	10	0	0	93	33	153	3.691	1.3381	287
Janssen, Casey RP TOR	-	Free Agent	55.7	0	0	0	6	0	2	2	53	14	47	2.264	1.0958	290
Casilla, Santiago RP SF	-	Free Agent	51.7	0	0	0	2	2	6	1	45	25	33	1.742	1.1226	292
Crain, Jesse RP CHW 	-	Free Agent	65.3	0	0	0	8	3	1	6	70	31	50	2.617	1.2398	293
Danks, John SP CHW 	-	Free Agent	170.3	27	16	2	8	12	0	0	135	46	182	4.333	1.3386	297
Benoit, Joaquin RP DET	-	Free Agent	61.0	0	0	0	4	3	2	5	63	17	47	2.951	1.0492	298
McClellan, Kyle SP STL	-	Disco Bush Horticulturists	141.7	17	9	0	12	7	0	1	76	43	143	4.193	1.3129	300
Smith, Joe RP CLE	-	Free Agent	67.0	0	0	0	3	3	0	3	45	21	52	2.015	1.0896	301
Dotel, Octavio RP DET 	-	Free Agent	54.0	0	0	0	5	4	3	0	62	17	36	3.500	0.9815	302
Gee, Dillon SP NYM	-	Free Agent	160.7	27	12	1	13	6	0	0	114	71	150	4.425	1.3755	303
Billingsley, Chad SP LAD	-	Disco Bush Horticulturists	188.0	32	16	1	11	11	0	0	152	84	189	4.213	1.4521	306
Bailey, Homer SP CIN	-	Shits & Giggles	132.0	22	13	0	9	7	0	0	106	33	136	4.432	1.2803	309
Jimenez, Ubaldo SP CLE 	-	Disco Bush Horticulturists	188.3	32	16	2	10	13	0	0	180	78	186	4.683	1.4018	310
Martinez, Cristhian RP ATL	-	Free Agent	77.7	0	0	0	1	3	0	0	58	19	56	3.361	0.9657	312
Fuentes, Brian RP OAK 	-	Free Agent	58.3	0	0	0	2	8	12	3	42	20	52	3.703	1.2343	313
Lannan, John SP WAS 	-	Free Agent	184.7	33	16	0	10	13	0	0	106	76	194	3.704	1.4621	317
Pavano, Carl SP MIN	-	Free Agent	222.0	33	18	3	9	13	0	0	102	40	262	4.297	1.3604	320
LeCure, Sam RP CIN	-	Free Agent	77.7	4	1	0	2	1	0	0	73	21	57	3.708	1.0043	321
Affeldt, Jeremy RP SF 	-	Free Agent	61.7	0	0	0	3	2	3	3	54	24	47	2.627	1.1514	324
Belisle, Matt RP COL	-	Free Agent	72.0	0	0	0	10	4	0	7	58	14	77	3.250	1.2639	330
Niese, Jonathon SP NYM 	-	Free Agent	157.3	26	15	0	11	11	0	0	138	44	178	4.405	1.4110	331
Perkins, Glen RP MIN	-	Free Agent	61.7	0	0	0	4	4	2	3	65	21	55	2.481	1.2324	332
Sipp, Tony RP CLE	-	Free Agent	62.3	0	0	0	6	3	0	1	57	24	45	3.032	1.1070	333
Narveson, Chris SP MIL 	-	Want-a-be Ghetto All Stars	161.7	28	12	0	11	8	0	0	126	65	160	4.454	1.3918	336
Moseley, Dustin SP SD	-	Floaters and Sinkers	120.0	20	10	0	3	10	0	0	64	36	117	3.300	1.2750	337
Alburquerque, Al RP DET 	-	Free Agent	43.3	0	0	0	6	1	0	0	67	29	21	1.869	1.1538	340
Nathan, Joe RP TEX	-	Floaters and Sinkers	44.7	0	0	0	2	1	14	3	43	14	38	4.836	1.1642	342
Oliver, Darren RP TEX 	-	Free Agent	51.0	0	0	0	5	5	2	4	44	11	47	2.294	1.1373	343
Davis, Wade SP TB 	-	Free Agent	184.0	29	15	1	11	10	0	0	105	63	190	4.451	1.3750	345
Loe, Kameron RP MIL	-	Free Agent	72.0	0	0	0	4	7	1	7	61	16	65	3.500	1.1250	348
Gregg, Kevin RP BAL	-	Floaters and Sinkers	59.7	0	0	0	0	3	22	7	53	40	58	4.374	1.6425	350
Nolasco, Ricky SP MIA	-	Free Agent	206.0	33	18	2	10	12	0	0	148	44	244	4.675	1.3981	355
Pauley, David RP DET	-	Free Agent	74.0	0	0	0	5	6	0	2	44	22	64	3.162	1.1622	362
Cishek, Steve RP MIA	-	Free Agent	54.7	0	0	0	2	1	3	0	55	19	45	2.634	1.1707	363
Dempster, Ryan SP CHC	-	Want-a-be Ghetto All Stars	202.3	34	21	0	10	14	0	0	191	82	211	4.804	1.4481	365
Estrada, Marco SP MIL	-	Free Agent	92.7	7	3	0	4	8	0	3	88	29	83	4.079	1.2086	366
Sanchez, Eduardo RP STL	-	Free Agent	30.0	0	0	0	3	1	5	2	35	16	14	1.800	1.0000	370
Villanueva, Carlos SP TOR	-	Want-a-be Ghetto All Stars	107.0	13	5	0	6	4	0	1	68	32	103	4.037	1.2617	373
Gorzelanny, Tom SP WAS	-	Free Agent	105.0	15	6	0	4	6	0	1	95	33	102	4.029	1.2857	378
Ziegler, Brad RP ARI	-	Free Agent	58.3	0	0	0	3	2	1	1	44	19	53	2.160	1.2343	380
Porcello, Rick SP DET	-	User Abuser	182.0	31	19	0	14	9	0	0	104	46	210	4.747	1.4066	382
McDonald, James SP PIT	-	Free Agent	171.0	31	15	0	9	9	0	0	142	78	176	4.210	1.4854	383
Wade, Cory RP NYY	-	Free Agent	39.7	0	0	0	6	1	0	1	30	8	33	2.042	1.0336	385
Takahashi, Hisanori RP LAA	-	Free Agent	68.0	0	0	0	4	3	2	3	52	25	58	3.441	1.2206	387
Buchholz, Clay SP BOS 	-	Disco Bush Horticulturists	82.7	14	6	0	6	3	0	0	60	31	76	3.484	1.2944	388
Coleman, Louis RP KC	-	Free Agent	59.7	0	0	0	1	4	1	1	64	26	44	2.866	1.1732	394
Bray, Bill RP CIN	-	Free Agent	48.3	0	0	0	5	3	0	3	44	17	35	2.979	1.0759	396
Morton, Charlie SP PIT 	-	Free Agent	171.7	29	15	2	10	10	0	0	110	77	186	3.827	1.5320	401
Rauch, Jon RP NYM 	-	Free Agent	52.0	0	0	0	5	4	11	5	36	14	56	4.846	1.3462	403
Owings, Micah RP ARI 	-	Free Agent	63.0	4	0	0	8	0	0	0	44	23	56	3.571	1.2540	406
Lopez, Wilton RP HOU 	-	Free Agent	71.0	0	0	0	2	6	0	6	56	18	72	2.789	1.2676	408
Peavy, Jake SP CHW 	-	Free Agent	111.7	18	7	1	7	7	0	0	95	24	117	4.916	1.2627	411
Qualls, Chad RP SD 	-	Free Agent	74.3	0	0	0	6	8	0	5	43	20	73	3.511	1.2511	412
Mota, Guillermo RP SF 	-	Free Agent	80.3	0	0	0	2	2	1	1	77	30	71	3.809	1.2573	417
Stutes, Michael RP PHI	-	Free Agent	62.0	0	0	0	6	2	0	0	58	28	49	3.629	1.2419	418
De La Rosa, Jorge SP COL	-	Disco Bush Horticulturists	59.0	10	5	1	5	2	0	0	52	22	48	3.509	1.1864	419
Hernandez, Livan SP WAS	-	Free Agent	175.3	29	15	1	8	13	0	0	99	46	199	4.466	1.3973	421
Veras, Jose RP MIL 	-	Free Agent	71.0	0	0	0	2	4	1	7	79	34	54	3.803	1.2394	422
Burnett, A.J. SP NYY 	-	Blue Crew	190.3	32	10	0	11	11	0	0	173	83	190	5.154	1.4343	425
Lopez, Javier RP SF	-	Free Agent	53.0	0	0	0	5	2	1	2	40	26	42	2.717	1.2830	426
Dunn, Mike RP MIA	-	Free Agent	63.0	0	0	0	5	6	0	4	68	31	51	3.429	1.3016	428
Parnell, Bobby RP NYM	-	Free Agent	59.3	0	0	0	4	6	6	6	64	27	60	3.640	1.4663	429
Perez, Rafael RP CLE	-	Free Agent	63.0	0	0	0	5	2	0	2	33	19	59	3.000	1.2381	430
Detwiler, Ross SP WAS 	-	Free Agent	66.0	10	5	0	4	5	0	0	41	20	63	3.000	1.2576	432
Isringhausen, Jason RP NYM	-	Free Agent	46.7	0	0	0	3	3	7	4	44	24	36	4.050	1.2857	433
Crow, Aaron RP KC	-	Free Agent	62.0	0	0	0	4	4	0	7	65	31	55	2.758	1.3871	437
Ayala, Luis RP NYY	-	Free Agent	56.0	0	0	0	2	2	0	1	39	20	51	2.089	1.2679	439
Frieri, Ernesto RP SD	-	Free Agent	63.0	0	0	0	1	2	0	0	76	34	51	2.714	1.3492	441
Correia, Kevin SP PIT	-	Free Agent	154.0	26	13	1	12	11	0	0	77	39	175	4.792	1.3896	442
Carrasco, Carlos SP CLE 	-	Free Agent	124.7	21	12	1	8	9	0	0	85	40	130	4.620	1.3636	444
Thornton, Matt RP CHW 	-	Free Agent	59.7	0	0	0	2	5	3	4	63	21	60	3.318	1.3575	445
Rzepczynski, Marc RP STL	-	Free Agent	62.0	0	0	0	2	6	0	4	61	26	50	3.339	1.2258	446
Chapman, Aroldis RP CIN 	-	Shits & Giggles	50.0	0	0	0	4	1	1	2	71	41	24	3.600	1.3000	448
Lindstrom, Matt RP COL	-	Free Agent	54.0	0	0	0	2	2	2	3	36	14	52	3.000	1.2222	449
Litsch, Jesse SP TOR 	-	Free Agent	75.0	8	3	0	6	3	1	1	66	28	69	4.440	1.2933	450
Britton, Zach SP BAL 	-	Free Agent	154.3	28	13	0	11	11	0	0	97	62	162	4.607	1.4514	451
Burnett, Sean RP WAS	-	Free Agent	56.7	0	0	0	5	5	4	6	33	21	54	3.812	1.3235	455
Beavan, Blake SP SEA	-	Free Agent	97.0	15	11	0	5	6	0	0	42	15	106	4.268	1.2474	459
Acosta, Manny RP NYM	-	Free Agent	47.0	0	0	0	4	1	4	3	46	15	50	3.447	1.3830	460
Coffey, Todd RP WAS	-	Free Agent	59.7	0	0	0	5	1	0	2	46	20	55	3.620	1.2570	461
MacDougal, Mike RP LAD 	-	Free Agent	57.0	0	0	0	3	1	1	1	41	29	54	2.053	1.4561	463
Alvarez, Henderson SP TOR 	-	Free Agent	63.7	10	6	0	1	3	0	0	40	8	64	3.534	1.1309	466
Thompson, Rich RP LAA	-	Free Agent	54.0	0	0	0	1	3	0	1	56	20	46	3.000	1.2222	467
Paulino, Felipe SP KC	-	Orange-a-Tangs	139.3	20	9	0	4	10	0	1	133	55	146	4.457	1.4426	468
Wright, Jamey RP SEA	-	Free Agent	68.3	0	0	0	2	3	1	4	48	30	61	3.161	1.3317	469
Bass, Anthony RP SD	-	Free Agent	48.3	3	0	0	2	0	0	0	24	21	41	1.676	1.2828	470
Arroyo, Bronson SP CIN 	-	Free Agent	199.0	32	15	1	9	12	0	0	108	45	227	5.065	1.3668	472
Wood, Kerry RP CHC 	-	Free Agent	51.0	0	0	0	3	5	1	6	57	21	45	3.353	1.2941	473
Boggs, Mitchell RP STL	-	Free Agent	60.7	0	0	0	2	3	4	4	48	21	62	3.560	1.3681	475
Hawkins, LaTroy RP MIL 	-	Free Agent	48.3	0	0	0	3	1	0	0	28	10	50	2.421	1.2414	476
Wood, Blake RP KC	-	Free Agent	69.7	0	0	0	5	3	1	2	62	32	66	3.746	1.4067	477
Guerrier, Matt RP LAD	-	Free Agent	66.3	0	0	0	4	3	1	3	50	25	59	4.070	1.2663	478
