All Players Projections MLB Scoring Stats - Average									
Player	Action	Team	ERA	INN	K	S	W	WHIP	Rank
Broxton, Jonathan RP KC 	-	Titty`s Warriors	3.397	50.3	66	22	4	1.2517	157
Venters, Jonny RP ATL	-	Floaters and Sinkers	1.898	85.3	94	3	5	1.1484	158
Floyd, Gavin SP CHW	-	Free Agent	4.186	191.3	155	0	11	1.2544	159
Arroyo, Bronson SP CIN 	-	Free Agent	4.252	211.7	119	0	14	1.2567	162
Santana, Ervin SP LAA 	-	Orange-a-Tangs	3.975	197.0	151	0	12	1.3198	167
Dempster, Ryan SP CHC	-	Want-a-be Ghetto All Stars	4.107	206.0	190	0	12	1.3592	169
Billingsley, Chad SP LAD	-	Disco Bush Horticulturists	3.938	192.0	167	0	12	1.3490	170
Santana, Johan SP NYM 	-	Shits & Giggles	3.025	122.0	97	0	8	1.1967	175
Jackson, Edwin SP STL 	-	Blue Crew	3.944	207.7	163	0	12	1.3628	177
Fister, Doug SP DET	-	Free Agent	3.495	149.3	92	0	7	1.1786	179
Aardsma, David RP SEA 	-	Disco Bush Horticulturists	2.901	40.3	43	23	1	1.1653	180
Cahill, Trevor SP ARI 	-	Want-a-be Ghetto All Stars	3.890	194.3	118	0	13	1.3225	183
Buehrle, Mark SP MIA 	-	Free Agent	3.906	209.7	104	0	13	1.3164	184
Gregg, Kevin RP BAL	-	Floaters and Sinkers	4.187	62.3	61	27	2	1.4439	185
Hellickson, Jeremy SP TB	-	User Abuser	3.035	112.7	75	0	8	1.1450	186
Clippard, Tyler RP WAS	-	Orange-a-Tangs	2.475	80.0	94	0	6	1.0500	187
Gonzalez, Gio SP WAS 	-	SA`s	3.665	167.0	159	0	12	1.3952	188
Hudson, Daniel SP ARI	-	Orange-a-Tangs	3.214	112.0	89	0	8	1.1518	189
Franklin, Ryan RP STL 	-	Free Agent	3.682	51.3	34	22	4	1.2468	191
Ogando, Alexi SP TEX	-	User Abuser	3.076	105.3	82	0	8	1.1392	193
Hanrahan, Joel RP PIT	-	Evil Empire	3.342	67.3	78	17	2	1.2921	195
Putz, J.J. RP ARI	-	Want-a-be Ghetto All Stars	3.064	47.0	48	17	3	1.1064	196
Nathan, Joe RP TEX	-	Floaters and Sinkers	3.106	37.7	44	20	1	1.0354	197
Adams, Mike RP TEX 	-	Free Agent	1.373	59.0	64	1	3	0.8475	198
Sanchez, Jonathan SP KC 	-	Orange-a-Tangs	3.773	152.7	161	0	8	1.3231	200
League, Brandon RP SEA 	-	Blue Crew	3.642	71.7	59	14	4	1.1721	202
Dickey, R.A. SP NYM 	-	Want-a-be Ghetto All Stars	3.322	149.0	93	0	7	1.2685	203
Niemann, Jeff SP TB	-	Blue Crew	4.133	163.3	120	0	12	1.2857	204
Santos, Sergio RP TOR 	-	Whiteness	3.296	57.3	74	16	3	1.3081	205
Buchholz, Clay SP BOS 	-	Disco Bush Horticulturists	3.103	116.0	83	0	10	1.2759	208
Myers, Brett SP HOU	-	Free Agent	3.918	170.0	130	0	8	1.2941	209
Pavano, Carl SP MIN	-	Free Agent	4.374	214.0	122	0	13	1.3084	210
Benoit, Joaquin RP DET	-	Free Agent	2.077	60.7	69	2	2	0.8571	211
Sanchez, Anibal SP MIA	-	Titty`s Warriors	3.679	159.0	143	0	8	1.3459	212
Bumgarner, Madison SP SF	-	Disco Bush Horticulturists	3.064	108.7	96	0	7	1.2423	220
Salas, Fernando RP STL	-	Free Agent	2.734	52.7	52	12	2	1.0823	225
Pineiro, Joel SP LAA	-	Free Agent	4.061	170.7	86	0	11	1.2773	234
Nolasco, Ricky SP MIA	-	Free Agent	4.771	183.0	163	0	12	1.3115	243
Betancourt, Rafael RP COL	-	Free Agent	3.133	60.3	74	4	4	0.9779	244
Takahashi, Hisanori RP LAA	-	Free Agent	3.600	95.0	83	5	7	1.2737	250
Guthrie, Jeremy SP BAL 	-	Free Agent	4.376	205.7	120	0	10	1.3079	251
Francisco, Frank RP NYM 	-	Free Agent	3.706	51.0	57	15	3	1.2353	252
Thornton, Matt RP CHW 	-	Free Agent	2.938	64.3	77	5	4	1.1347	254
Walden, Jordan RP LAA 	-	Titty`s Warriors	2.842	38.0	45	16	2	1.2368	255
Aceves, Alfredo RP BOS	-	Free Agent	2.957	70.0	50	1	8	1.0714	256
Stauffer, Tim SP SD	-	Free Agent	3.246	113.7	81	0	6	1.2493	257
Leake, Mike SP CIN 	-	Free Agent	4.000	153.0	104	0	10	1.3203	258
Anderson, Brett SP OAK	-	Sofa Kings	3.639	123.7	95	0	7	1.2695	261
Tomlin, Josh SP CLE	-	Titty`s Warriors	4.374	119.3	66	0	9	1.1229	265
Chacin, Jhoulys SP COL	-	Floaters and Sinkers	3.553	114.0	100	0	7	1.3070	274
De La Rosa, Jorge SP COL	-	Disco Bush Horticulturists	4.205	122.0	119	0	10	1.3197	277
Uehara, Koji RP TEX	-	Free Agent	3.068	58.7	63	4	2	0.9886	278
Hughes, Phil SP NYY	-	Blue Crew	4.246	112.3	96	1	10	1.2730	279
Luebke, Cory SP SD	-	Evil Empire	3.432	78.7	86	0	4	1.0932	281
Wells, Randy SP CHC	-	Free Agent	4.036	165.0	110	0	9	1.3576	284
Mujica, Edward RP MIA	-	Free Agent	3.502	79.7	70	1	5	1.1046	285
Bard, Daniel RP BOS 	-	Free Agent	2.878	65.7	71	2	2	1.0508	286
Marshall, Sean RP CIN 	-	User Abuser	3.089	78.7	79	2	5	1.2331	287
Braden, Dallas SP OAK 	-	Want-a-be Ghetto All Stars	3.657	115.7	70	0	7	1.2450	289
Vargas, Jason SP SEA	-	Free Agent	4.175	161.7	100	0	7	1.2928	291
Garland, Jon SP LAD	-	Free Agent	3.832	152.7	91	0	9	1.3624	293
Dotel, Octavio RP DET 	-	Free Agent	3.600	60.0	71	8	4	1.2500	295
Saunders, Joe SP ARI 	-	SA`s	4.223	200.3	108	0	12	1.3977	296
Hoffman, Trevor RP MIL	-	Free Agent	3.743	33.7	26	16	2	1.1584	297
Romo, Sergio RP SF	-	Free Agent	2.438	48.0	60	1	4	0.9375	300
Peavy, Jake SP CHW 	-	Free Agent	4.388	106.7	99	0	8	1.2094	303
Downs, Scott RP LAA	-	Free Agent	2.333	54.0	42	3	4	1.0741	307
Masterson, Justin SP CLE 	-	Shits & Giggles	4.063	175.0	139	0	7	1.4000	308
Rauch, Jon RP NYM 	-	Free Agent	3.750	60.0	44	11	5	1.3167	310
Worley, Vance SP PHI	-	SA`s	2.862	72.3	66	0	6	1.2028	311
Oliver, Darren RP TEX 	-	Free Agent	2.468	62.0	58	1	4	1.1290	313
Farnsworth, Kyle RP TB 	-	Want-a-be Ghetto All Stars	3.206	53.3	51	8	3	1.1812	314
Zambrano, Carlos SP MIA 	-	Free Agent	4.005	148.3	123	0	10	1.4225	315
Jenks, Bobby RP BOS 	-	Free Agent	4.426	40.7	42	19	2	1.4508	316
Morrow, Brandon SP TOR	-	Want-a-be Ghetto All Stars	4.580	131.7	148	2	8	1.3747	317
McClellan, Kyle SP STL	-	Disco Bush Horticulturists	3.518	94.7	62	2	6	1.2570	318
Sale, Chris RP CHW	-	Sofa Kings	2.662	47.3	56	6	2	1.0986	319
Gregerson, Luke RP SD	-	Free Agent	3.100	69.7	72	1	3	1.1196	322
Jansen, Kenley RP LAD	-	Free Agent	2.231	40.3	68	4	2	1.0165	324
Motte, Jason RP STL	-	Orange-a-Tangs	3.051	59.0	57	4	4	1.1525	325
Guerrier, Matt RP LAD	-	Free Agent	3.154	71.3	46	1	5	1.1075	327
Happ, J.A. SP HOU	-	Free Agent	3.951	136.7	108	0	8	1.3756	329
Rodney, Fernando RP TB 	-	Free Agent	4.295	58.7	47	18	3	1.5341	330
Lyon, Brandon RP HOU 	-	Free Agent	3.653	56.7	39	9	5	1.2706	332
Ramirez, Ramon RP NYM 	-	Free Agent	2.856	69.3	55	2	4	1.2115	334
Johnson, Jim RP BAL 	-	Free Agent	3.321	62.3	43	7	4	1.2513	335
Hensley, Clay SP MIA 	-	Free Agent	3.533	71.3	62	4	4	1.2336	339
Pettitte, Andy SP NYY	-	Free Agent	3.833	108.0	83	0	8	1.3333	340
Porcello, Rick SP DET	-	User Abuser	4.561	171.7	92	0	13	1.3748	343
Wood, Kerry RP CHC 	-	Free Agent	3.553	50.7	56	10	3	1.3618	344
Balfour, Grant RP OAK 	-	Free Agent	3.211	61.7	61	2	4	1.1676	345
Frasor, Jason RP TOR 	-	Free Agent	3.282	60.3	59	5	4	1.2762	347
Zimmermann, Jordan SP WAS	-	Floaters and Sinkers	3.803	94.7	81	0	4	1.2254	348
Masset, Nick RP CIN	-	Free Agent	3.148	74.3	72	1	4	1.2646	349
Richard, Clayton SP SD 	-	SA`s	3.985	151.3	107	0	9	1.4339	350
Beachy, Brandon SP ATL	-	Blue Crew	3.677	78.3	92	0	4	1.2255	351
Zito, Barry SP SF	-	Free Agent	4.308	148.3	112	0	7	1.3551	354
Lidge, Brad RP PHI 	-	Free Agent	4.790	41.3	45	20	0	1.5484	355
Capuano, Chris SP LAD 	-	Orange-a-Tangs	4.429	126.0	111	0	8	1.3413	356
Belisle, Matt RP COL	-	Free Agent	3.462	65.0	57	0	7	1.1846	358
Hunter, Tommy SP BAL	-	Free Agent	4.071	108.3	59	0	9	1.2923	361
Strasburg, Stephen SP WAS	-	Evil Empire	2.543	46.0	58	0	3	1.0000	365
Sanchez, Eduardo RP STL	-	Free Agent	1.800	30.0	35	5	3	1.0000	367
Breslow, Craig RP ARI 	-	Free Agent	3.309	68.0	57	2	4	1.2206	368
Duensing, Brian SP MIN 	-	Free Agent	3.950	125.3	82	0	8	1.3723	369
McCarthy, Brandon SP OAK	-	User Abuser	3.828	89.3	63	0	5	1.2090	372
Correia, Kevin SP PIT	-	Free Agent	4.618	165.7	111	0	11	1.3883	373
O'Day, Darren RP BAL	-	Free Agent	2.365	45.7	40	1	3	1.0073	374
Garcia, Freddy SP NYY	-	Free Agent	4.200	120.0	74	0	9	1.3333	375
Westbrook, Jake SP STL	-	Free Agent	4.430	193.0	116	0	11	1.4301	376
O'Flaherty, Eric RP ATL	-	Free Agent	2.017	58.0	47	0	2	1.1724	378
Burnett, Sean RP WAS	-	Free Agent	3.051	59.0	46	3	3	1.1864	382
Burnett, A.J. SP NYY 	-	Blue Crew	4.808	194.7	171	0	11	1.4486	384
Liriano, Francisco SP MIN 	-	Evil Empire	4.665	154.3	145	0	9	1.4125	385
Loe, Kameron RP MIL	-	Free Agent	3.168	65.3	54	0	4	1.1633	389
Harang, Aaron SP LAD 	-	Shits & Giggles	4.247	148.3	116	0	9	1.4360	392
Norris, Bud SP HOU 	-	Free Agent	4.306	131.7	129	0	7	1.4127	394
Davis, Wade SP TB 	-	Free Agent	4.245	129.3	85	0	8	1.3531	397
Robertson, David RP NYY	-	Free Agent	2.669	57.3	78	1	3	1.3081	398
Wood, Travis SP CHC 	-	Free Agent	4.141	104.3	81	0	6	1.2939	400
Lowe, Derek SP CLE	-	Free Agent	4.555	191.7	128	0	13	1.4661	402
Coleman, Louis RP KC	-	Free Agent	2.866	59.7	64	1	1	1.1732	406
Lackey, John SP BOS 	-	Free Agent	4.802	183.7	134	0	12	1.4265	407
Lannan, John SP WAS 	-	Free Agent	4.045	178.0	89	0	9	1.4438	410
Wheeler, Dan RP BOS	-	Free Agent	3.658	51.7	43	2	3	1.0065	411
Nova, Ivan SP NYY	-	Titty`s Warriors	3.820	103.7	62	0	8	1.3601	413
Hammel, Jason SP COL	-	Floaters and Sinkers	4.629	175.0	123	0	9	1.4000	414
Bedard, Erik SP PIT 	-	User Abuser	3.311	70.7	72	0	3	1.2453	416
Qualls, Chad RP SD 	-	Free Agent	4.816	61.7	46	12	4	1.3946	417
Blanton, Joe SP PHI	-	Free Agent	4.456	137.3	111	0	7	1.3762	418
Crain, Jesse RP CHW 	-	Free Agent	3.357	61.7	58	1	5	1.2649	420
Affeldt, Jeremy RP SF 	-	Free Agent	2.793	58.0	51	2	3	1.2759	421
Pelfrey, Mike SP NYM	-	Free Agent	4.454	194.0	108	0	11	1.4485	427
Guerra, Javy RP LAD	-	Free Agent	2.314	23.3	19	10	1	1.1571	428
Melancon, Mark RP BOS 	-	Blue Crew	3.134	37.3	33	7	3	1.2589	431
Gonzalez, Mike RP TEX 	-	Free Agent	3.375	50.7	57	4	3	1.2829	432
Stutes, Michael RP PHI	-	Free Agent	3.629	62.0	58	0	6	1.2419	433
Peralta, Joel RP TB 	-	Free Agent	3.255	47.0	44	2	1	1.0000	435
Millwood, Kevin SP COL 	-	Free Agent	4.318	148.0	97	0	7	1.3986	440
Gee, Dillon SP NYM	-	Free Agent	4.097	96.7	66	0	8	1.3552	441
Ziegler, Brad RP ARI	-	Free Agent	2.812	64.0	46	3	3	1.3750	442
Kendrick, Kyle SP PHI	-	Disco Bush Horticulturists	4.109	107.3	53	0	7	1.3137	443
Narveson, Chris SP MIL 	-	Want-a-be Ghetto All Stars	4.596	125.3	103	0	8	1.3803	444
Saito, Takashi RP ARI 	-	Free Agent	2.581	45.3	48	1	3	1.1912	447
Coffey, Todd RP WAS	-	Free Agent	3.670	68.7	56	1	4	1.2524	448
Hernandez, Livan SP WAS	-	Free Agent	4.492	190.3	105	0	9	1.4238	449
Lindstrom, Matt RP COL	-	Free Agent	4.355	51.7	39	13	2	1.4903	450
Chen, Bruce SP KC	-	Sofa Kings	4.299	119.3	80	0	8	1.3827	451
Kuo, Hong-Chih RP LAD 	-	Free Agent	3.462	39.0	47	4	2	1.1026	453
Pauley, David RP DET	-	Free Agent	3.717	82.3	48	0	4	1.2389	454
Sherrill, George RP SEA 	-	Free Agent	3.255	47.0	41	7	2	1.3617	455
Bailey, Homer SP CIN	-	Shits & Giggles	4.500	118.0	97	0	7	1.3729	456
Rhodes, Arthur RP STL	-	Free Agent	2.872	47.0	40	0	3	1.1064	461
Padilla, Vicente RP LAD 	-	Floaters and Sinkers	4.303	83.7	63	1	6	1.3028	462
Holland, Derek SP TEX 	-	Floaters and Sinkers	4.728	131.3	108	0	9	1.4086	463
Niese, Jonathon SP NYM 	-	Free Agent	4.311	119.0	101	0	7	1.4286	464
Holland, Greg RP KC 	-	Free Agent	2.975	39.3	48	2	2	1.1186	465
Sanches, Brian RP PHI 	-	Free Agent	2.967	60.7	53	0	3	1.2857	467
Lohse, Kyle SP STL 	-	User Abuser	4.545	132.7	81	0	8	1.3719	468
Maholm, Paul SP PIT 	-	Free Agent	4.434	180.7	106	0	8	1.4391	469
Britton, Zach SP BAL 	-	Free Agent	4.607	154.3	97	0	11	1.4514	473
Wuertz, Michael RP OAK	-	Free Agent	3.908	50.7	58	3	3	1.2632	476
Cecil, Brett SP TOR 	-	Free Agent	4.638	130.0	91	0	9	1.4077	477
Harrison, Matt SP TEX 	-	Titty`s Warriors	4.211	109.0	69	1	7	1.4128	482
Beavan, Blake SP SEA	-	Free Agent	4.268	97.0	42	0	5	1.2474	484
Gorzelanny, Tom SP WAS	-	Free Agent	4.312	96.0	87	0	6	1.3854	485
Casilla, Santiago RP SF	-	Free Agent	3.135	51.7	45	3	3	1.3548	489
Hernandez, David RP ARI	-	Free Agent	4.536	83.3	72	4	6	1.4280	490
Karstens, Jeff SP PIT 	-	User Abuser	4.397	131.0	73	0	5	1.3435	491
Ondrusek, Logan RP CIN	-	Free Agent	3.450	60.0	40	0	5	1.2667	492
Meek, Evan RP PIT	-	Free Agent	2.736	49.3	43	1	2	1.2568	495
Alvarez, Henderson SP TOR 	-	Free Agent	3.534	63.7	40	0	1	1.1309	496
Bass, Anthony RP SD	-	Free Agent	1.676	48.3	24	0	2	1.2828	498
Sipp, Tony RP CLE	-	Free Agent	3.436	55.0	58	0	3	1.2545	499
Camp, Shawn RP TOR	-	Free Agent	3.592	72.7	45	1	4	1.3349	500
Pestano, Vinnie RP CLE	-	Free Agent	2.430	33.3	46	2	0	1.0800	502
Feldman, Scott RP TEX 	-	Free Agent	4.612	121.0	70	0	9	1.3884	506
Mota, Guillermo RP SF 	-	Free Agent	3.780	66.7	51	1	2	1.2450	508
Coke, Phil SP DET	-	Disco Bush Horticulturists	4.288	77.7	57	2	5	1.3519	510
Volstad, Chris SP CHC 	-	Free Agent	4.860	166.7	109	0	9	1.4220	514
Moyer, Jamie SP PHI 	-	Free Agent	4.927	91.3	52	0	7	1.2482	517
Howell, J.P. RP TB	-	Free Agent	3.897	32.3	35	6	3	1.3299	518
McDonald, James SP PIT	-	Free Agent	4.147	102.0	88	0	6	1.4608	519
Badenhop, Burke RP TB 	-	Free Agent	3.990	67.7	52	1	4	1.3153	520
Smith, Joe RP CLE	-	Free Agent	2.872	47.0	36	0	2	1.1915	524
Hawkins, LaTroy RP MIL 	-	Free Agent	2.953	42.7	30	4	1	1.2891	525
Bastardo, Antonio RP PHI	-	Free Agent	3.780	33.3	38	3	3	1.1700	529
Colon, Bartolo SP NYY	-	Sofa Kings	4.044	75.7	58	0	4	1.3216	531
Lynn, Lance RP STL	-	Free Agent	3.115	34.7	40	1	1	1.0385	533
Medlen, Kris RP ATL	-	Free Agent	3.792	59.3	52	0	3	1.2640	537
Slowey, Kevin SP COL 	-	Free Agent	5.029	102.0	75	0	8	1.3431	538
Teaford, Everett RP KC	-	Free Agent	3.273	44.0	28	1	2	1.1364	540
Washburn, Jarrod SP DET	-	Free Agent	3.835	58.7	33	0	3	1.1761	541
Moscoso, Guillermo SP OAK	-	Sofa Kings	3.399	47.7	29	0	3	1.1538	543
Humber, Philip SP CHW	-	SA`s	4.036	64.7	47	0	4	1.2680	544
Brothers, Rex RP COL	-	Free Agent	2.877	40.7	59	1	1	1.3033	545
Chamberlain, Joba RP NYY	-	Free Agent	4.395	86.0	78	1	5	1.4186	548
LeCure, Sam RP CIN	-	Free Agent	4.021	62.7	55	0	2	1.2287	550
Villanueva, Carlos SP TOR	-	Want-a-be Ghetto All Stars	4.641	85.3	73	1	4	1.3359	551
Moylan, Peter RP ATL 	-	Free Agent	2.979	48.3	41	0	5	1.4069	552
Choate, Randy RP MIA	-	Free Agent	3.311	35.3	33	2	2	1.1604	553
LeBlanc, Wade SP MIA	-	Free Agent	4.268	90.7	64	0	5	1.3787	554
Contreras, Jose RP PHI 	-	Free Agent	4.411	67.3	59	3	4	1.3960	555
Bray, Bill RP CIN	-	Free Agent	3.287	38.3	37	0	2	1.0957	557
Cishek, Steve RP MIA	-	Free Agent	2.454	29.3	29	2	1	1.1250	559
Gutierrez, Juan RP KC 	-	Free Agent	4.623	48.7	45	8	1	1.4178	560
Harden, Rich SP OAK	-	User Abuser	4.785	105.3	112	0	6	1.4525	561
De La Rosa, Rubby SP LAD 	-	Free Agent	3.709	60.7	60	0	4	1.4011	563
Ohlendorf, Ross SP PIT 	-	Free Agent	4.500	108.0	72	0	4	1.3611	564
Alburquerque, Al RP DET 	-	Free Agent	1.661	21.7	34	0	3	1.1077	566
Tateyama, Yoshinori RP TEX	-	Free Agent	4.500	44.0	43	1	2	1.0909	569
Belisario, Ronald RP LAD 	-	Free Agent	3.429	42.0	34	1	2	1.2143	573
Janssen, Casey RP TOR	-	Free Agent	3.787	54.7	47	1	4	1.3902	575
Marquis, Jason SP MIN 	-	Free Agent	4.511	135.7	74	0	8	1.4595	576
Hochevar, Luke SP KC	-	Free Agent	5.290	148.0	103	0	8	1.3784	577
Veras, Jose RP MIL 	-	Free Agent	4.154	56.3	58	0	3	1.2959	579
Blackburn, Nick SP MIN	-	User Abuser	4.614	171.7	81	0	9	1.4621	580
Frieri, Ernesto RP SD	-	Free Agent	2.227	32.3	40	0	1	1.2371	585
Thatcher, Joe RP SD	-	Free Agent	2.400	30.0	36	0	1	1.1333	586
Cobb, Alex SP TB 	-	Free Agent	3.418	52.7	37	0	3	1.3291	589
Wakefield, Tim SP BOS 	-	Free Agent	5.031	141.3	83	0	7	1.3797	592
Batista, Miguel SP NYM	-	SA`s	3.785	71.3	46	1	4	1.4439	595
Bergesen, Brad SP BAL	-	Free Agent	4.660	131.3	69	0	6	1.4010	596
Chapman, Aroldis RP CIN 	-	Shits & Giggles	3.410	31.7	45	0	3	1.2316	598
Lindblom, Josh RP LAD	-	Free Agent	2.730	29.7	28	0	1	1.0449	603
Carmona, Fausto SP CLE 	-	Free Agent	4.895	174.7	104	0	8	1.4485	605
Lopez, Wilton RP HOU 	-	Free Agent	3.611	52.3	38	0	2	1.2803	607
Collins, Tim RP KC	-	Free Agent	3.627	67.0	60	0	4	1.4925	608
Acosta, Manny RP NYM	-	Free Agent	3.484	41.3	40	2	3	1.4274	610
Feliciano, Pedro RP NYY	-	Free Agent	3.098	40.7	38	0	3	1.3525	612
MacDougal, Mike RP LAD 	-	Free Agent	3.739	43.3	30	7	2	1.5923	613
Martinez, Cristhian RP ATL	-	Free Agent	3.946	43.3	33	0	1	1.1077	619
Rzepczynski, Marc RP STL	-	Free Agent	4.043	62.3	59	0	3	1.3957	621
Tejeda, Robinson RP CLE 	-	Free Agent	3.613	47.3	48	0	2	1.3310	622
Wilhelmsen, Tom RP SEA	-	Free Agent	3.306	32.7	30	0	2	1.1633	627
Moseley, Dustin SP SD	-	Floaters and Sinkers	3.915	66.7	35	0	3	1.3500	631
Lopez, Javier RP SF	-	Free Agent	3.098	40.7	28	0	3	1.3525	635
Spence, Josh RP SD	-	Free Agent	2.730	29.7	31	0	0	1.1124	638
Lowe, Mark RP TEX	-	Free Agent	3.717	46.0	41	1	2	1.3696	639
Byrdak, Tim RP NYM	-	Free Agent	3.522	46.0	45	0	2	1.3696	640
Beato, Pedro RP NYM	-	Free Agent	4.298	67.0	39	0	2	1.2836	641
Gomes, Brandon RP TB	-	Free Agent	2.919	37.0	32	0	2	1.3514	648
