All Utility Players 3 Year Averages MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Value
Teixeira, Mark 1B NYY 	Shits & Giggles	565	96	168	95	40	1	32	112	86	111	1	0	0.2973	0.3927	0.5416	42
Morneau, Justin 1B MIN	Floaters and Sinkers	602	93	179	109	38	3	29	123	64	90	1	2	0.2973	0.3632	0.5150	43
Phillips, Brandon 2B CIN	Grape Apes	582	84	160	106	26	5	23	82	36	97	27	7	0.2749	0.3228	0.4553	44
Hunter, Torii CF ANA 	Disco Bush Horticulturists	569	88	160	97	34	2	27	94	45	106	16	7	0.2812	0.3376	0.4903	47
Dye, Jermaine RF CHW 	Shits & Giggles	546	89	157	86	34	2	35	98	49	110	4	2	0.2875	0.3488	0.5495	50
Figgins, Chone 3B ANA 	Shits & Giggles	500	82	144	115	20	5	4	47	59	87	42	14	0.2880	0.3622	0.3720	51
Ramirez, Aramis 3B CHC 	Whiteness	551	87	163	91	39	3	30	110	56	74	1	1	0.2958	0.3655	0.5408	53
Fielder, Prince 1B MIL 	Want-a-be Ghetto All Stars	577	92	160	88	33	2	37	101	78	127	4	2	0.2773	0.3719	0.5338	56
Markakis, Nick RF BAL 	Shits & Giggles	574	92	172	111	39	2	20	87	68	99	10	4	0.2997	0.3750	0.4791	57
Guillen, Carlos 3B DET	Free Agent	509	85	154	97	35	5	17	80	62	82	14	7	0.3026	0.3782	0.4912	59
Young, Michael SS TEX 	Floaters and Sinkers	658	92	200	144	42	2	12	93	50	104	10	2	0.3040	0.3534	0.4286	60
Ibanez, Raul LF PHI 	Disco Bush Horticulturists	611	89	178	111	37	4	26	113	61	107	1	3	0.2913	0.3544	0.4926	61
Bay, Jason LF BOS 	Want-a-be Ghetto All Stars	562	97	154	92	30	3	29	98	81	145	8	1	0.2740	0.3678	0.4929	62
Gonzalez, Adrian 1B SD 	Lazy Pukes	611	96	176	105	39	2	30	100	64	132	0	0	0.2881	0.3567	0.5057	63
Granderson, Curtis CF DET	Want-a-be Ghetto All Stars	587	108	165	97	32	15	21	69	63	142	15	3	0.2811	0.3531	0.4940	64
Kinsler, Ian 2B TEX 	Disco Bush Horticulturists	475	88	138	89	30	2	17	62	49	71	20	3	0.2905	0.3601	0.4695	66
Hamilton, Josh CF TEX 	Floaters and Sinkers	461	75	138	82	26	4	26	88	48	96	6	2	0.2993	0.3685	0.5423	68
Cabrera, Orlando SS MIN 	SA`s	635	96	183	136	38	1	8	72	50	64	22	4	0.2882	0.3381	0.3890	70
Tejada, Miguel SS HOU	Titty`s Warriors	598	88	182	132	31	1	18	82	37	69	5	3	0.3043	0.3509	0.4498	71
Thome, Jim DH CHW 	Free Agent	475	93	128	67	24	0	37	98	98	143	0	0	0.2695	0.3962	0.5537	72
Taveras, Willy CF CIN 	Free Agent	460	70	129	109	16	3	1	27	30	74	45	8	0.2804	0.3340	0.3348	73
Victorino, Shane CF PHI 	Want-a-be Ghetto All Stars	480	83	138	97	24	6	11	50	35	62	26	6	0.2875	0.3479	0.4313	74
Wells, Vernon CF TOR	SA`s	541	80	152	93	33	3	23	88	44	75	10	3	0.2810	0.3345	0.4806	75
Mauer, Joe C MIN 	Lazy Pukes	488	82	159	114	31	4	10	76	73	52	5	2	0.3258	0.4105	0.4672	76
Pence, Hunter RF HOU 	Grape Apes	526	68	154	95	32	6	21	76	33	110	11	8	0.2928	0.3357	0.4962	78
Youkilis, Kevin 1B BOS 	Evil Empire	545	92	160	98	40	3	19	90	77	111	4	3	0.2936	0.3879	0.4826	79
Ramirez, Alexei 2B CHW	Want-a-be Ghetto All Stars	480	65	139	94	22	2	21	77	18	61	13	9	0.2896	0.3168	0.4750	80
Dunn, Adam LF WAS 	Whiteness	533	93	130	64	25	1	40	99	112	174	6	1	0.2439	0.3786	0.5197	82
Byrnes, Eric LF ARI 	Free Agent	465	71	124	75	27	4	18	62	36	74	26	5	0.2667	0.3261	0.4581	83
Delgado, Carlos 1B NYM 	Shits & Giggles	553	85	147	82	31	1	33	105	66	121	2	0	0.2658	0.3501	0.5045	84
Beltre, Adrian 3B SEA 	User Abuser	590	83	159	96	36	2	25	88	45	104	11	3	0.2695	0.3245	0.4644	86
Hawpe, Brad RF COL 	Lazy Pukes	501	72	145	86	30	4	25	95	77	131	2	3	0.2894	0.3842	0.5150	87
Cano, Robinson 2B NYY 	Want-a-be Ghetto All Stars	565	75	172	113	39	4	16	82	28	68	4	4	0.3044	0.3400	0.4726	88
Martin, Russell C LA	Titty`s Warriors	503	80	143	99	28	2	14	74	67	76	16	7	0.2843	0.3713	0.4314	89
Uggla, Dan 2B FLA 	Titty`s Warriors	591	105	155	84	37	4	30	90	64	154	4	4	0.2623	0.3408	0.4907	90
Winn, Randy RF SF	Free Agent	588	80	170	117	38	3	12	62	50	79	17	4	0.2891	0.3467	0.4252	92
Ludwick, Ryan RF STL	Lazy Pukes	420	73	121	62	31	2	26	82	44	109	4	4	0.2881	0.3634	0.5571	94
Furcal, Rafael SS LA 	Free Agent	459	78	135	99	22	5	9	42	49	61	23	7	0.2941	0.3620	0.4227	97
Hart, Corey C. RF MIL 	Shits & Giggles	451	65	127	73	30	6	18	68	27	89	17	7	0.2816	0.3265	0.4945	98
Cameron, Mike CF MIL 	Free Agent	522	82	131	71	31	6	23	77	64	148	20	6	0.2510	0.3384	0.4655	99
McCann, Brian C ATL 	Sofa Kings	485	60	145	85	38	0	22	91	44	64	2	0	0.2990	0.3587	0.5134	101
Upton, B.J. CF TB	Shits & Giggles	393	64	110	76	22	1	11	53	58	109	26	9	0.2799	0.3720	0.4249	103
Lowell, Mike 3B BOS	Shits & Giggles	527	72	156	99	37	1	19	91	46	64	2	2	0.2960	0.3527	0.4782	104
Renteria, Edgar SS SF 	Free Agent	532	85	158	113	31	2	12	61	48	77	11	4	0.2970	0.3551	0.4305	105
Longoria, Evan 3B TB 	Grape Apes	448	67	122	62	31	2	27	85	46	122	7	0	0.2723	0.3425	0.5312	106
Lee, Derrek 1B CHC 	Disco Bush Horticulturists	455	71	137	88	31	1	17	67	56	91	7	4	0.3011	0.3784	0.4857	108
Ellsbury, Jacoby CF BOS 	Titty`s Warriors	335	59	98	74	14	4	6	32	24	48	30	6	0.2925	0.3452	0.4119	111
Aviles, Mike SS KC 	Free Agent	419	68	136	95	27	4	10	51	18	58	8	3	0.3246	0.3537	0.4797	112
Konerko, Paul 1B CHW 	Titty`s Warriors	518	76	141	84	28	0	29	88	68	95	1	0	0.2722	0.3595	0.4942	113
Polanco, Placido 2B DET 	Free Agent	543	84	171	133	29	2	7	59	30	33	5	2	0.3149	0.3579	0.4144	114
Huff, Aubrey 1B DET 	User Abuser	534	74	152	90	36	3	23	82	50	80	2	0	0.2846	0.3468	0.4925	115
Mora, Melvin 3B BAL 	Free Agent	535	80	148	103	26	1	18	82	46	84	8	4	0.2766	0.3406	0.4299	118
LaRoche, Adam 1B ATL 	Lazy Pukes	516	75	142	78	37	1	26	88	57	127	1	1	0.2752	0.3460	0.5019	121
DeRosa, Mark 2B STL 	Whiteness	509	82	148	97	33	3	15	78	57	100	4	2	0.2908	0.3668	0.4558	123
Zimmerman, Ryan 3B WAS 	Floaters and Sinkers	565	78	157	97	38	3	19	84	51	105	5	3	0.2779	0.3387	0.4566	125
Kemp, Matt CF LA 	Sofa Kings	351	57	105	70	19	4	12	47	24	91	17	5	0.2991	0.3413	0.4786	126
Patterson, Corey CF MIL	Free Agent	430	62	109	74	21	3	11	44	19	72	32	9	0.2535	0.2879	0.3930	128
Nady, Xavier RF NYY 	Want-a-be Ghetto All Stars	485	63	140	89	29	1	21	77	31	96	3	2	0.2887	0.3434	0.4825	129
Sanchez, Freddy 2B SF 	Whiteness	584	79	179	127	40	3	9	73	28	64	1	1	0.3065	0.3403	0.4315	130
Lopez, Felipe 2B MIL 	Lazy Pukes	567	77	151	111	27	4	9	49	59	106	25	10	0.2663	0.3365	0.3757	132
Pedroia, Dustin 2B BOS 	SA`s	421	70	132	90	32	1	9	47	35	34	9	1	0.3135	0.3699	0.4584	133
Rowand, Aaron CF SF	Titty`s Warriors	522	74	148	95	35	1	17	69	36	107	6	4	0.2835	0.3478	0.4521	134
Glaus, Troy 3B STL 	Free Agent	490	78	128	73	26	1	28	88	78	113	1	1	0.2612	0.3646	0.4898	135
Matthews, Gary RF ANA	Free Agent	521	78	142	93	30	4	15	66	53	99	12	5	0.2726	0.3402	0.4319	136
Burrell, Pat LF TB 	Free Agent	490	77	125	65	28	1	31	93	105	129	0	0	0.2551	0.3858	0.5061	137
Anderson, Garret LF ATL 	Free Agent	506	65	146	99	29	2	16	83	31	75	3	1	0.2885	0.3260	0.4486	138
Jackson, Conor 1B ARI 	SA`s	480	73	140	94	29	3	14	71	55	61	4	1	0.2917	0.3700	0.4521	142
Martinez, Victor C BOS	Want-a-be Ghetto All Stars	467	63	141	96	31	0	14	81	52	62	0	0	0.3019	0.3729	0.4582	143
Ethier, Andre RF LA 	Grape Apes	456	63	136	86	30	5	15	65	46	78	4	4	0.2982	0.3626	0.4846	144
DeJesus, David LF KC 	Free Agent	538	85	154	107	30	8	9	62	51	75	9	5	0.2862	0.3597	0.4219	145
McLouth, Nate CF ATL 	Disco Bush Horticulturists	399	75	104	58	28	3	15	49	41	76	18	2	0.2607	0.3407	0.4586	147
Helton, Todd 1B COL 	SA`s	467	73	141	93	33	2	13	67	89	63	1	1	0.3019	0.4139	0.4647	148
Wigginton, Ty 3B BAL	Free Agent	459	59	128	77	27	1	23	68	35	93	4	4	0.2789	0.3360	0.4924	150
Hudson, Orlando 2B LA 	SA`s	501	70	147	99	30	7	11	57	57	76	8	3	0.2934	0.3646	0.4471	151
Drew, J.D. RF BOS 	Free Agent	443	82	123	72	29	5	17	76	82	95	3	2	0.2777	0.3895	0.4808	153
Blake, Casey 3B LA	Shits & Giggles	508	72	140	88	31	2	19	76	49	112	4	2	0.2756	0.3456	0.4567	154
Bradley, Milton OF CHC 	Free Agent	325	56	98	63	18	1	16	55	54	73	7	2	0.3015	0.4057	0.5108	156
Hafner, Travis DH CLE 	Free Agent	399	67	108	61	22	1	24	80	76	94	1	1	0.2707	0.3926	0.5113	157
Crisp, Coco CF KC 	Free Agent	433	66	117	83	23	4	7	46	39	70	23	6	0.2702	0.3298	0.3903	158
Posada, Jorge C NYY 	Disco Bush Horticulturists	380	58	115	72	27	1	15	68	54	78	2	0	0.3026	0.3950	0.4974	160
Reynolds, Mark 3B ARI 	Titty`s Warriors	452	74	116	66	24	4	22	80	50	166	6	2	0.2566	0.3320	0.4735	161
Castillo, Luis 2B NYM	Sofa Kings	477	74	137	115	16	4	2	38	53	46	20	6	0.2872	0.3583	0.3501	163
Francoeur, Jeff RF NYM 	Free Agent	631	79	167	112	32	3	20	93	35	124	2	3	0.2647	0.3093	0.4200	165
Peralta, Jhonny SS CLE 	User Abuser	583	92	156	102	32	3	19	76	55	141	2	2	0.2676	0.3313	0.4305	166
Theriot, Ryan SS CHC	Disco Bush Horticulturists	417	66	122	97	20	3	2	33	46	42	21	6	0.2926	0.3648	0.3693	167
Giles, Brian RF SD 	Free Agent	549	80	154	104	35	2	13	66	85	58	5	4	0.2805	0.3791	0.4226	168
Encarnacion, Edwin 3B TOR 	Free Agent	471	67	128	79	29	1	19	72	47	89	5	1	0.2718	0.3508	0.4586	170
Griffey, Ken RF SEA	Free Agent	482	69	125	75	24	1	25	79	67	89	2	1	0.2593	0.3489	0.4689	175
Cuddyer, Michael RF MIN	Titty`s Warriors	451	73	124	78	27	5	14	75	50	92	5	0	0.2749	0.3535	0.4501	176
Teahen, Mark RF KC 	Free Agent	503	71	138	91	28	6	13	63	47	114	9	3	0.2744	0.3387	0.4314	177
Pena, Carlos 1B TB	Floaters and Sinkers	338	59	89	44	18	1	26	75	68	106	1	0	0.2633	0.3914	0.5533	178
Lopez, Jose 2B SEA 	Floaters and Sinkers	590	72	164	118	29	4	13	77	24	70	4	3	0.2780	0.3088	0.4068	179
Swisher, Nick CF NYY	Free Agent	531	92	130	75	27	1	27	81	93	139	2	2	0.2448	0.3621	0.4520	180
Rolen, Scott 3B CIN	User Abuser	440	69	122	72	34	2	14	68	46	65	6	2	0.2773	0.3520	0.4591	181
Weeks, Rickie 2B MIL 	Lazy Pukes	414	83	102	65	19	5	13	39	58	108	21	4	0.2464	0.3585	0.4106	182
Giambi, Jason 1B COL	Free Agent	386	64	95	50	17	0	28	83	75	94	2	0	0.2461	0.3838	0.5078	185
Willingham, Josh LF WAS	Shits & Giggles	458	64	122	70	27	4	21	71	56	104	4	1	0.2664	0.3616	0.4803	186
Kent, Jeff 2B LA	Free Agent	447	60	130	84	29	2	15	69	46	61	1	2	0.2908	0.3631	0.4653	187
Thomas, Frank DH OAK	Free Agent	414	56	111	71	16	0	24	80	67	77	0	0	0.2681	0.3735	0.4807	188
Matsui, Kazuo 2B HOU	Free Agent	343	58	98	69	21	4	4	32	29	56	21	3	0.2857	0.3396	0.4052	191
Young, Delmon LF MIN 	Free Agent	449	54	131	95	25	2	9	57	21	85	9	3	0.2918	0.3264	0.4165	192
Overbay, Lyle 1B TOR 	Free Agent	517	68	143	89	36	2	16	68	59	97	3	2	0.2766	0.3511	0.4468	195
Durham, Ray 2B MIL	Free Agent	444	66	118	72	29	3	14	70	52	69	8	3	0.2658	0.3426	0.4392	196
Roberts, Dave LF SF	Free Agent	334	53	91	70	12	8	1	25	38	48	28	5	0.2725	0.3467	0.3653	199
Molina, Bengie C SF 	Evil Empire	487	43	138	95	24	1	18	78	18	46	0	0	0.2834	0.3126	0.4476	201
Betancourt, Yuniesky SS KC 	Free Agent	551	69	157	111	34	4	8	55	16	48	7	5	0.2849	0.3042	0.4047	202
Lugo, Julio SS STL	Free Agent	422	56	109	77	24	1	7	44	40	70	23	6	0.2583	0.3241	0.3697	203
Hall, Bill 3B SEA 	Free Agent	464	70	117	62	32	2	21	68	47	138	6	7	0.2522	0.3205	0.4655	205
Sheffield, Gary DH NYM 	Free Agent	354	60	90	59	14	0	17	52	52	57	12	3	0.2542	0.3551	0.4379	206
Bartlett, Jason SS TB	Floaters and Sinkers	432	56	123	95	21	4	3	37	31	63	18	5	0.2847	0.3424	0.3727	207
Rodriguez, Ivan C TEX 	Grape Apes	482	56	138	99	26	3	10	56	19	83	7	2	0.2863	0.3149	0.4149	208
Iwamura, Akinori 2B TB 	Free Agent	559	86	156	114	26	10	6	41	64	122	10	7	0.2791	0.3529	0.3936	210
Jacobs, Mike 1B KC	Disco Bush Horticulturists	457	59	118	63	30	2	23	75	37	108	2	1	0.2582	0.3126	0.4836	211
Guillen, Jose RF KC 	Free Agent	477	59	127	81	28	1	17	79	26	91	3	1	0.2662	0.3179	0.4361	212
Matsui, Hideki LF NYY	Free Agent	352	58	102	69	18	1	14	59	46	48	2	1	0.2898	0.3713	0.4659	213
Escobar, Yunel SS ATL 	Grape Apes	416	62	126	93	24	1	8	44	43	53	4	4	0.3029	0.3734	0.4231	214
Gordon, Alex 3B KC	Sofa Kings	518	66	131	77	36	2	16	60	54	128	12	3	0.2529	0.3328	0.4228	215
Young, Chris B. CF ARI 	Free Agent	421	60	102	55	25	3	19	54	37	106	14	4	0.2423	0.3054	0.4513	216
Hardy, J.J. SS MIL	Free Agent	430	60	119	77	22	2	18	56	34	65	2	2	0.2767	0.3305	0.4628	217
Fukudome, Kosuke RF CHC 	Free Agent	501	79	129	91	25	3	10	58	81	104	12	4	0.2575	0.3588	0.3792	219
Loney, James 1B LA 	Want-a-be Ghetto All Stars	347	42	105	69	20	5	11	58	27	48	3	2	0.3026	0.3536	0.4841	221
Davis, Chris 3B TEX	Evil Empire	295	51	84	42	23	2	17	55	20	88	1	2	0.2847	0.3312	0.5492	224
Pierzynski, A.J. C CHW	Titty`s Warriors	505	62	141	101	26	0	14	58	22	70	1	0	0.2792	0.3178	0.4139	228
Cabrera, Melky CF NYY	Lazy Pukes	473	61	127	94	21	4	8	53	43	62	11	4	0.2685	0.3308	0.3805	234
Alou, Moises LF NYM	Free Agent	241	36	78	50	15	1	12	44	19	22	2	1	0.3237	0.3736	0.5436	235
Ellis, Mark 2B OAK	Free Agent	489	68	125	83	26	2	14	56	46	78	9	2	0.2556	0.3272	0.4029	237
Garko, Ryan 1B SF 	Free Agent	388	50	110	74	21	1	14	65	31	72	0	0	0.2835	0.3539	0.4510	238
Garciaparra, Nomar SS OAK	Free Agent	354	48	102	70	19	1	12	60	29	27	2	1	0.2881	0.3445	0.4492	239
Belliard, Ronnie 2B WAS 	Free Agent	450	52	127	85	29	1	12	57	36	70	3	2	0.2822	0.3381	0.4311	240
Bruce, Jay RF CIN 	SA`s	413	63	105	66	17	1	21	52	33	110	4	6	0.2542	0.3142	0.4528	241
Johnson, Kelly 2B ATL	Free Agent	356	59	100	64	22	5	9	46	44	77	7	4	0.2809	0.3614	0.4466	242
Gonzalez, Luis E. LF FLA 	Free Agent	464	64	126	77	34	2	13	63	55	52	2	2	0.2716	0.3510	0.4375	243
Izturis, Maicer SS ANA	Free Agent	326	52	93	69	17	2	5	44	32	34	11	3	0.2853	0.3490	0.3957	244
Brown, Emil LF NYM	Free Agent	432	56	114	78	23	2	11	67	37	77	7	2	0.2639	0.3229	0.4028	245
Iguchi, Tadahito 2B PHI	Free Agent	443	64	117	83	22	2	10	45	47	91	11	3	0.2641	0.3354	0.3905	246
Drew, Stephen SS ARI 	Shits & Giggles	454	59	124	76	28	7	13	50	38	86	5	1	0.2731	0.3273	0.4515	247
Bonds, Barry LF SF	Free Agent	236	50	64	34	12	0	18	48	82	35	3	0	0.2712	0.4644	0.5508	248
Hill, Aaron 2B TOR 	Want-a-be Ghetto All Stars	453	59	130	90	30	2	8	49	33	66	4	2	0.2870	0.3381	0.4150	249
Kearns, Austin RF WAS 	Free Agent	479	70	122	79	26	1	16	64	61	101	4	3	0.2547	0.3490	0.4134	252
Grudzielanek, Mark 2B KC	Free Agent	444	64	133	97	29	2	5	42	23	57	2	2	0.2995	0.3389	0.4077	253
Scott, Luke LF BAL	SA`s	353	49	96	50	25	4	17	55	45	80	2	1	0.2720	0.3589	0.5099	254
Hernandez, Ramon C CIN 	Evil Empire	443	52	117	77	23	1	16	73	37	67	1	1	0.2641	0.3272	0.4289	258
Johnson, Reed CF CHC 	Free Agent	356	56	104	73	23	1	7	38	23	68	6	3	0.2921	0.3586	0.4213	259
Jones, Andruw CF TEX 	Free Agent	449	70	103	58	21	1	23	79	60	114	3	1	0.2294	0.3257	0.4343	261
Gomez, Carlos CF MIN	Free Agent	351	46	89	67	14	4	4	36	16	84	22	7	0.2536	0.2941	0.3504	262
Byrd, Marlon CF TEX 	Free Agent	338	53	97	67	18	4	8	47	32	66	5	3	0.2870	0.3579	0.4349	264
Tulowitzki, Troy SS COL 	User Abuser	361	56	100	67	20	2	11	50	35	70	4	4	0.2770	0.3466	0.4349	265
Werth, Jayson RF PHI	Grape Apes	224	39	63	41	9	2	11	39	34	64	9	1	0.2812	0.3793	0.4866	267
Thames, Marcus LF DET	Free Agent	311	49	77	37	16	1	23	57	25	86	1	2	0.2476	0.3068	0.5273	270
Quentin, Carlos LF CHW 	Floaters and Sinkers	292	49	76	40	18	1	17	54	33	56	3	2	0.2603	0.3578	0.5034	272
Blalock, Hank 1B TEX	Whiteness	352	48	97	62	20	2	13	53	30	59	2	0	0.2756	0.3342	0.4545	275
Ross, Cody CF FLA	User Abuser	301	43	80	42	20	2	16	53	25	73	3	1	0.2658	0.3293	0.5050	276
Millar, Kevin 1B TOR	Free Agent	479	67	121	78	26	0	17	66	69	87	1	1	0.2526	0.3530	0.4134	277
Kendrick, Howie 2B ANA	Lazy Pukes	315	41	96	66	24	2	4	35	10	54	7	3	0.3048	0.3313	0.4317	278
Payton, Jay LF BAL	Free Agent	443	56	119	87	21	3	8	53	22	49	7	2	0.2686	0.3051	0.3837	279
Aurilia, Rich 1B SF 	Free Agent	392	45	110	74	22	1	13	52	29	51	1	0	0.2806	0.3310	0.4413	280
Hermida, Jeremy RF FLA	Free Agent	413	55	110	71	24	2	13	51	43	104	4	2	0.2663	0.3413	0.4286	282
Church, Ryan RF ATL 	Free Agent	328	44	90	52	25	1	12	51	36	83	4	2	0.2744	0.3522	0.4665	286
Feliz, Pedro 3B PHI 	Whiteness	528	60	131	82	27	3	19	76	32	79	1	1	0.2481	0.2903	0.4186	288
Johjima, Kenji C SEA 	Free Agent	457	47	124	87	24	0	13	59	18	40	2	1	0.2713	0.3135	0.4092	290
Cantu, Jorge 3B FLA	Sofa Kings	385	48	102	63	23	1	15	57	26	76	2	1	0.2649	0.3159	0.4468	292
Freel, Ryan P. CF KC 	Free Agent	287	43	77	54	17	2	4	18	28	54	19	8	0.2683	0.3458	0.3833	293
Kubel, Jason LF MIN 	Sofa Kings	367	49	98	62	20	2	14	56	33	72	2	0	0.2670	0.3243	0.4469	294
Jones, Jacque LF CIN	Free Agent	367	47	99	65	22	1	11	51	28	71	5	2	0.2698	0.3242	0.4251	296
Inge, Brandon 3B DET 	Grape Apes	466	63	109	66	23	3	17	68	44	124	7	3	0.2339	0.3098	0.4056	297
Podsednik, Scott CF CHW 	Disco Bush Horticulturists	300	46	77	55	16	4	2	24	28	53	21	9	0.2567	0.3223	0.3567	301
Vizquel, Omar SS TEX	Free Agent	453	55	119	94	17	5	3	44	41	43	14	6	0.2627	0.3240	0.3422	302
Vidro, Jose DH SEA	Free Agent	440	53	126	98	21	0	7	50	41	47	1	0	0.2864	0.3450	0.3818	303
Stairs, Matt DH PHI	Free Agent	347	49	91	54	20	1	16	55	42	81	1	1	0.2622	0.3452	0.4640	304
Tracy, Chad A. 1B ARI	Free Agent	366	49	100	62	25	1	12	51	33	74	2	0	0.2732	0.3342	0.4454	305
Diaz, Matt LF ATL 	Free Agent	263	30	84	63	13	1	7	30	10	48	4	2	0.3194	0.3523	0.4563	308
Duncan, Chris 1B BOS	Free Agent	292	46	78	48	13	1	16	47	40	81	1	1	0.2671	0.3563	0.4829	310
Spilborghs, Ryan RF COL 	Free Agent	221	35	67	47	11	2	7	36	27	39	5	2	0.3032	0.3755	0.4661	317
Crede, Joe 3B MIN 	Free Agent	349	43	91	56	18	0	17	57	23	42	0	2	0.2607	0.3105	0.4585	318
Butler, Billy 1B KC 	Whiteness	386	41	109	76	22	1	10	54	30	56	0	0	0.2824	0.3341	0.4223	320
Greene, Khalil SS STL 	Free Agent	471	58	113	66	28	2	17	62	31	105	5	1	0.2399	0.2913	0.4161	321
Sexson, Richie 1B NYY	Free Agent	435	54	102	57	23	0	22	69	53	113	1	0	0.2345	0.3198	0.4391	322
Jenkins, Geoff RF PHI	Free Agent	399	45	103	64	22	1	16	54	37	104	2	1	0.2581	0.3289	0.4386	323
Edmonds, Jim CF CHC	Free Agent	352	48	87	52	17	1	17	59	50	86	2	1	0.2472	0.3391	0.4460	326
Wilson, Jack SS SEA 	Free Agent	442	54	124	91	25	1	7	38	28	46	3	3	0.2805	0.3278	0.3891	329
Eckstein, David SS SD 	Free Agent	419	53	122	99	21	0	2	27	29	32	6	3	0.2912	0.3513	0.3556	330
Carroll, Jamey 2B CLE 	Free Agent	346	63	95	74	15	3	3	31	39	55	8	6	0.2746	0.3537	0.3613	331
Kouzmanoff, Kevin 3B SD 	Free Agent	388	44	102	64	21	2	15	56	20	82	0	0	0.2629	0.3095	0.4433	335
Napoli, Mike C ANA	Disco Bush Horticulturists	238	42	59	32	11	1	15	42	40	74	5	3	0.2479	0.3624	0.4916	336
Loretta, Mark 2B LA	Free Agent	452	51	129	100	24	1	4	46	41	45	2	1	0.2854	0.3499	0.3695	339
