All Players 2007 MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Beltre, Adrian 3B SEA 	User Abuser	595	87	164	95	41	2	26	99	38	104	14	2	0.2756	0.3192	0.4824	81
Victorino, Shane CF PHI 	Want-a-be Ghetto All Stars	456	78	128	90	23	3	12	46	37	62	37	4	0.2807	0.3465	0.4232	82
Renteria, Edgar SS SF 	Free Agent	494	87	164	121	30	1	12	57	46	77	11	2	0.3320	0.3900	0.4696	84
Martinez, Victor C BOS 	Want-a-be Ghetto All Stars	562	78	169	104	40	0	25	114	62	76	0	0	0.3007	0.3736	0.5053	86
Ramirez, Aramis 3B CHC 	Whiteness	506	72	157	92	35	4	26	101	43	66	0	0	0.3103	0.3656	0.5494	87
Hawpe, Brad RF COL	Blue Crew	516	80	150	84	33	4	29	116	81	137	0	2	0.2907	0.3868	0.5388	88
Matsui, Hideki DH NYY 	Free Agent	547	100	156	99	28	4	25	103	73	73	4	2	0.2852	0.3665	0.4881	89
Helton, Todd 1B COL	SA`s	557	86	178	117	42	2	17	91	116	74	0	1	0.3196	0.4340	0.4937	90
Gonzalez, Adrian 1B SD 	Blue Crew	646	101	182	103	46	3	30	100	65	140	0	0	0.2817	0.3472	0.5015	93
Guillen, Jose RF KC 	Free Agent	593	84	172	119	28	2	23	99	41	118	5	1	0.2901	0.3526	0.4604	94
Francoeur, Jeff RF NYM 	Free Agent	642	84	188	129	40	0	19	105	42	129	5	2	0.2928	0.3376	0.4439	95
Pence, Hunter RF HOU	Grape Apes	456	57	147	91	30	9	17	69	26	95	11	5	0.3224	0.3595	0.5395	96
Young, Chris B. CF ARI	Free Agent	569	85	135	71	29	3	32	68	43	141	27	6	0.2373	0.2953	0.4675	100
Winn, Randy RF SF 	Free Agent	593	73	178	121	42	1	14	65	44	85	15	3	0.3002	0.3529	0.4452	101
Griffey, Ken DH SEA 	Free Agent	528	78	146	91	24	1	30	93	85	99	6	1	0.2765	0.3724	0.4962	102
Kinsler, Ian 2B TEX	Free Agent	483	96	127	83	22	2	20	61	62	83	23	2	0.2629	0.3548	0.4410	103
Damon, Johnny LF NYY 	Titty`s Warriors	533	93	144	103	27	2	12	63	66	79	27	3	0.2702	0.3510	0.3959	104
Taveras, Willy CF CIN	Free Agent	372	64	119	102	13	2	2	24	21	55	33	9	0.3199	0.3666	0.3817	106
Thome, Jim DH LA 	Free Agent	432	79	119	65	19	0	35	96	95	134	0	1	0.2755	0.4104	0.5625	110
Morneau, Justin 1B MIN 	Floaters and Sinkers	590	84	160	95	31	3	31	111	64	91	1	1	0.2712	0.3428	0.4915	111
Matsui, Kazuo 2B HOU	Free Agent	410	84	118	84	24	6	4	37	34	69	32	4	0.2878	0.3416	0.4049	115
Patterson, Corey CF MIL 	Free Agent	461	65	124	88	26	2	8	45	21	65	37	9	0.2690	0.3041	0.3861	116
Ibanez, Raul LF PHI 	Disco Bush Horticulturists	573	80	167	106	35	5	21	105	53	97	0	0	0.2914	0.3506	0.4799	117
Young, Delmon LF MIN	Free Agent	645	65	186	135	38	0	13	93	26	127	10	3	0.2884	0.3157	0.4078	123
Ramirez, Manny LF LA 	Evil Empire	483	84	143	89	33	1	20	88	71	92	0	0	0.2961	0.3884	0.4928	124
Hill, Aaron 2B TOR	Want-a-be Ghetto All Stars	608	87	177	111	47	2	17	78	41	102	4	3	0.2911	0.3333	0.4589	127
Crisp, Coco CF KC 	Free Agent	526	85	141	100	28	7	6	60	50	84	28	6	0.2681	0.3299	0.3821	129
Hardy, J.J. SS MIN 	Free Agent	592	89	164	107	30	1	26	80	40	73	2	3	0.2770	0.3233	0.4628	130
Pedroia, Dustin 2B BOS 	SA`s	520	86	165	117	39	1	8	50	47	42	7	1	0.3173	0.3802	0.4423	131
Zimmerman, Ryan 3B WAS	Floaters and Sinkers	653	99	174	102	43	5	24	91	61	125	4	1	0.2665	0.3296	0.4579	132
Ellis, Mark 2B OAK	Free Agent	583	84	161	106	33	3	19	76	44	94	9	4	0.2762	0.3359	0.4408	133
Castillo, Luis 2B NYM	Sofa Kings	548	91	165	140	19	5	1	38	53	45	19	6	0.3011	0.3615	0.3595	135
Youkilis, Kevin 1B BOS	Free Agent	528	85	152	99	35	2	16	83	77	105	4	2	0.2879	0.3904	0.4527	136
Tejada, Miguel SS HOU 	Titty`s Warriors	514	72	152	114	19	1	18	81	41	55	2	1	0.2957	0.3574	0.4416	137
Encarnacion, Edwin 3B TOR 	Free Agent	502	66	145	103	25	1	16	76	39	86	8	1	0.2888	0.3561	0.4382	138
Sanchez, Freddy 2B SF 	Whiteness	602	77	183	126	42	4	11	81	32	76	0	1	0.3040	0.3425	0.4419	139
Johnson, Kelly 2B ATL	Free Agent	521	91	144	92	26	10	16	68	79	117	9	5	0.2764	0.3746	0.4568	140
Willits, Reggie LF ANA	Free Agent	430	74	126	105	20	1	0	34	69	83	27	8	0.2930	0.3905	0.3442	142
Willingham, Josh LF WAS	Free Agent	521	75	138	81	32	4	21	89	66	122	8	1	0.2649	0.3642	0.4626	143
Furcal, Rafael SS LA	Free Agent	581	87	157	124	23	4	6	47	55	68	25	6	0.2702	0.3328	0.3546	144
Young, Dmitri 1B WAS 	Free Agent	460	57	147	95	38	1	13	74	44	74	0	0	0.3196	0.3780	0.4913	145
Greene, Khalil SS STL 	Free Agent	611	89	155	81	44	3	27	97	32	128	4	0	0.2537	0.2914	0.4681	148
Hafner, Travis DH CLE	Free Agent	545	80	145	94	25	2	24	100	102	115	1	1	0.2661	0.3854	0.4514	149
Matthews, Gary RF ANA	Free Agent	516	79	130	83	26	3	18	72	55	102	18	4	0.2519	0.3230	0.4186	150
Cameron, Mike CF MIL 	Free Agent	571	88	138	78	33	6	21	78	67	160	18	5	0.2417	0.3282	0.4308	151
Uggla, Dan 2B FLA	Titty`s Warriors	632	113	155	72	49	3	31	88	68	167	2	1	0.2453	0.3260	0.4794	152
Burrell, Pat DH TB	Free Agent	472	77	121	65	26	0	30	97	114	120	0	0	0.2564	0.3997	0.5021	153
Hudson, Orlando 2B LA 	Free Agent	517	69	152	105	28	9	10	63	70	87	10	2	0.2940	0.3758	0.4410	156
Cuddyer, Michael RF MIN 	Titty`s Warriors	547	87	151	102	28	5	16	81	64	107	5	0	0.2761	0.3563	0.4333	157
Kemp, Matt CF LA	Sofa Kings	292	47	100	73	12	5	10	42	16	66	10	5	0.3425	0.3730	0.5205	159
Anderson, Garret LF ATL 	Free Agent	417	67	124	76	31	1	16	80	27	54	1	0	0.2974	0.3356	0.4916	164
Theriot, Ryan SS CHC	Disco Bush Horticulturists	537	80	143	108	30	2	3	45	49	50	28	4	0.2663	0.3260	0.3464	166
Konerko, Paul 1B CHW	Titty`s Warriors	549	71	142	77	34	0	31	90	78	102	0	1	0.2587	0.3506	0.4900	167
Peralta, Jhonny 3B CLE	User Abuser	574	87	155	106	27	1	21	72	61	146	4	4	0.2700	0.3406	0.4303	169
Lugo, Julio SS STL	Free Agent	570	71	135	89	36	2	8	73	48	82	33	6	0.2368	0.2942	0.3491	170
Teahen, Mark 3B CHW 	Free Agent	544	78	155	109	31	8	7	60	55	127	13	5	0.2849	0.3526	0.4099	171
Loney, James 1B LA	Want-a-be Ghetto All Stars	344	41	114	77	18	4	15	67	28	48	0	1	0.3314	0.3813	0.5378	173
Diaz, Matt LF ATL 	Free Agent	358	44	121	88	21	0	12	45	16	63	4	0	0.3380	0.3681	0.4972	174
Byrd, Marlon CF TEX 	Free Agent	414	60	127	92	17	8	10	70	29	88	5	3	0.3068	0.3546	0.4589	175
Wigginton, Ty 3B BAL	Free Agent	547	71	152	97	33	0	22	67	41	113	3	4	0.2779	0.3328	0.4589	176
LaRoche, Adam 1B ATL 	Blue Crew	563	71	153	90	42	0	21	88	62	131	1	1	0.2718	0.3449	0.4583	179
Hermida, Jeremy RF BOS 	Free Agent	429	54	127	76	32	1	18	63	47	105	3	4	0.2960	0.3685	0.5012	180
Blake, Casey 3B LA	Shits & Giggles	588	81	159	101	36	4	18	78	54	123	4	5	0.2704	0.3394	0.4371	181
Weeks, Rickie 2B MIL 	Blue Crew	409	87	96	53	21	6	16	36	78	116	25	2	0.2347	0.3738	0.4328	183
Delgado, Carlos 1B NYM 	Shits & Giggles	538	71	139	85	30	0	24	87	52	118	4	0	0.2584	0.3328	0.4480	184
Swisher, Nick CF NYY 	Free Agent	539	84	141	82	36	1	22	78	100	131	3	2	0.2616	0.3815	0.4545	185
Stairs, Matt LF PHI 	Free Agent	357	58	103	53	28	1	21	64	44	66	2	1	0.2885	0.3679	0.5490	186
McLouth, Nate CF ATL	Disco Bush Horticulturists	329	62	85	48	21	3	13	38	39	77	22	1	0.2584	0.3509	0.4590	188
Garko, Ryan 1B SF	Free Agent	484	62	140	89	29	1	21	61	34	94	0	1	0.2893	0.3586	0.4835	189
Cabrera, Melky CF NYY 	Free Agent	545	66	149	109	24	8	8	73	43	68	13	5	0.2734	0.3272	0.3908	194
Betancourt, Yuniesky SS KC	Free Agent	536	72	155	106	38	2	9	67	15	48	5	4	0.2892	0.3076	0.4179	197
Nady, Xavier RF NYY 	Want-a-be Ghetto All Stars	431	55	120	76	23	1	20	72	23	101	3	1	0.2784	0.3298	0.4756	198
Bartlett, Jason SS TB	Floaters and Sinkers	510	75	135	103	20	7	5	43	50	73	23	3	0.2647	0.3386	0.3608	200
Dye, Jermaine RF CHW 	Shits & Giggles	508	68	129	67	34	0	28	78	45	107	2	1	0.2539	0.3173	0.4862	201
Kotchman, Casey 1B BOS	Free Agent	443	64	131	80	37	3	11	68	53	43	2	4	0.2957	0.3723	0.4673	205
Mora, Melvin 3B BAL 	Free Agent	467	67	128	90	23	1	14	58	47	83	9	3	0.2741	0.3410	0.4176	206
Harris, Brendan 3B MIN	Free Agent	521	72	149	99	35	3	12	59	42	96	4	1	0.2860	0.3433	0.4338	207
Iwamura, Akinori 2B PIT 	Free Agent	491	82	140	102	21	10	7	34	58	114	12	8	0.2851	0.3586	0.4114	208
Wilson, Jack SS SEA 	Free Agent	477	67	141	98	29	2	12	56	38	46	2	5	0.2956	0.3504	0.4403	209
Cust, Jack LF OAK	Free Agent	395	61	101	56	18	1	26	82	105	164	0	2	0.2557	0.4083	0.5038	210
DeRosa, Mark 3B STL 	Whiteness	502	64	147	106	28	3	10	72	58	93	1	2	0.2928	0.3713	0.4203	211
Huff, Aubrey 1B DET 	User Abuser	550	68	154	100	34	5	15	72	48	87	1	1	0.2800	0.3367	0.4418	213
Roberts, Dave LF SF	Free Agent	396	61	103	75	17	9	2	23	42	66	31	5	0.2601	0.3311	0.3636	214
Mauer, Joe C MIN 	Blue Crew	406	62	119	82	27	3	7	60	57	51	7	1	0.2931	0.3817	0.4261	217
Kearns, Austin RF WAS 	Free Agent	587	84	156	104	35	1	16	74	71	106	2	2	0.2658	0.3546	0.4106	218
Hamilton, Josh CF TEX 	Floaters and Sinkers	298	52	87	49	17	2	19	47	33	65	3	3	0.2919	0.3680	0.5537	219
Kouzmanoff, Kevin 3B SD	Free Agent	484	57	133	83	30	2	18	74	32	94	1	0	0.2748	0.3289	0.4566	222
Wells, Vernon CF TOR 	Free Agent	584	85	143	87	36	4	16	80	49	89	10	4	0.2449	0.3037	0.4024	223
Bay, Jason LF BOS 	Want-a-be Ghetto All Stars	538	78	133	85	25	2	21	84	59	141	4	1	0.2472	0.3274	0.4182	224
McCann, Brian C ATL	Sofa Kings	504	51	136	80	38	0	18	92	35	74	0	1	0.2698	0.3200	0.4524	225
Eckstein, David 2B SD	Free Agent	434	58	134	108	23	0	3	31	24	22	10	1	0.3088	0.3564	0.3825	226
Owens, Jerry CF SEA	Free Agent	356	44	95	83	9	2	1	17	27	63	32	8	0.2669	0.3238	0.3118	227
Belliard, Ronnie 2B LA 	Free Agent	511	57	148	101	35	1	11	58	34	72	3	0	0.2896	0.3321	0.4266	230
Kendrick, Howie 2B ANA	Blue Crew	338	55	109	78	24	2	5	39	9	61	5	4	0.3225	0.3466	0.4497	231
Drew, J.D. RF BOS	Free Agent	466	84	126	81	30	4	11	64	79	100	4	2	0.2704	0.3732	0.4227	232
Jackson, Conor LF ARI 	SA`s	415	56	118	73	29	1	15	60	53	50	2	2	0.2843	0.3684	0.4675	233
Lopez, Felipe 2B MIL 	Blue Crew	603	70	148	108	25	6	9	50	53	109	24	9	0.2454	0.3078	0.3516	234
Grudzielanek, Mark 2B KC	Free Agent	453	70	137	96	32	3	6	51	23	60	1	2	0.3024	0.3457	0.4260	238
Molina, Bengie C SF	Free Agent	497	38	137	98	19	1	19	81	15	53	0	0	0.2757	0.2984	0.4326	239
Hopper, Norris LF WAS	Free Agent	307	51	101	85	14	2	0	14	20	33	14	6	0.3290	0.3708	0.3876	240
Reynolds, Mark 3B ARI	Titty`s Warriors	366	62	102	61	20	4	17	62	37	129	0	1	0.2787	0.3487	0.4945	241
Church, Ryan RF ATL	Free Agent	470	57	128	69	43	1	15	70	49	107	3	2	0.2723	0.3491	0.4638	242
Iguchi, Tadahito 2B PHI	Free Agent	465	67	124	84	27	4	9	43	57	88	14	2	0.2667	0.3465	0.4000	243
DeJesus, David LF KC	Free Agent	605	101	157	112	29	9	7	58	64	83	10	4	0.2595	0.3506	0.3719	244
Johjima, Kenji C SEA 	Free Agent	485	52	139	96	29	0	14	61	15	41	0	2	0.2866	0.3216	0.4330	247
Duncan, Chris LF BOS	Free Agent	375	51	97	56	20	0	21	70	55	123	2	1	0.2587	0.3542	0.4800	248
Escobar, Yunel SS ATL	Grape Apes	319	54	104	74	25	0	5	28	27	44	5	3	0.3260	0.3853	0.4514	249
Gordon, Alex 3B KC	Sofa Kings	543	60	134	79	36	4	15	60	41	137	14	4	0.2468	0.3139	0.4107	252
Jones, Andruw DH CHW 	Free Agent	572	83	127	72	27	2	26	94	70	138	5	2	0.2220	0.3111	0.4126	253
Kubel, Jason LF MIN	Sofa Kings	418	49	114	68	31	2	13	65	41	79	5	0	0.2727	0.3355	0.4498	254
Giles, Brian RF SD 	Free Agent	483	72	131	89	27	2	13	51	64	61	4	6	0.2712	0.3605	0.4161	255
Ethier, Andre RF LA	Grape Apes	447	50	127	80	32	2	13	64	46	68	0	4	0.2841	0.3505	0.4519	259
Glaus, Troy 3B STL 	Free Agent	385	60	101	61	19	1	20	62	61	102	0	1	0.2623	0.3662	0.4727	260
Bautista, Jose A. LF TOR	Free Agent	532	75	135	82	36	2	15	63	68	101	6	3	0.2538	0.3393	0.4135	261
Werth, Jayson RF PHI 	Grape Apes	255	43	76	54	11	3	8	49	44	73	7	1	0.2980	0.4040	0.4588	262
Spilborghs, Ryan RF COL	Free Agent	264	40	79	53	14	1	11	51	28	45	4	1	0.2992	0.3633	0.4848	264
Gomes, Jonny LF CIN	Free Agent	348	48	85	46	20	2	17	49	35	126	12	4	0.2443	0.3223	0.4598	265
Rodriguez, Ivan C TEX 	Grape Apes	502	50	141	96	31	3	11	63	9	96	2	2	0.2809	0.2938	0.4203	269
Bradley, Milton OF CHC 	Free Agent	209	37	64	41	9	1	13	37	31	41	5	2	0.3062	0.4016	0.5455	272
Feliz, Pedro 3B PHI 	Whiteness	557	61	141	91	28	2	20	72	29	70	2	2	0.2531	0.2898	0.4183	274
Ross, Cody CF FLA	User Abuser	173	35	58	27	19	0	12	39	20	38	2	0	0.3353	0.4112	0.6532	275
Izturis, Maicer 2B ANA	Free Agent	336	47	97	72	17	2	6	51	33	39	7	1	0.2887	0.3485	0.4048	276
Fields, Josh D. 3B KC 	Free Agent	373	54	91	50	17	1	23	67	35	125	1	1	0.2440	0.3083	0.4799	281
Harris, Willie LF WAS	Free Agent	344	56	93	63	20	8	2	32	40	71	17	11	0.2703	0.3487	0.3924	282
Scott, Luke LF BAL 	Free Agent	369	49	94	43	28	5	18	64	53	95	3	1	0.2547	0.3506	0.5041	283
Gonzalez, Alex SS TOR 	Free Agent	393	55	107	63	27	1	16	55	24	75	0	1	0.2723	0.3248	0.4682	284
Jacobs, Mike DH KC	Free Agent	426	57	113	67	27	2	17	54	31	101	1	2	0.2653	0.3174	0.4577	286
Varitek, Jason C BOS 	Free Agent	435	57	111	76	15	3	17	68	71	122	1	2	0.2552	0.3668	0.4207	289
Brown, Emil LF NYM	Free Agent	366	44	94	74	13	1	6	62	24	71	12	2	0.2568	0.2997	0.3470	291
Hall, Bill 3B SEA	Free Agent	452	59	115	66	35	0	14	63	40	128	4	5	0.2544	0.3147	0.4248	292
Ludwick, Ryan RF STL	Evil Empire	303	42	81	45	22	0	14	52	26	72	4	4	0.2673	0.3393	0.4785	293
Millar, Kevin 1B TOR 	Free Agent	476	63	121	77	26	1	17	63	76	94	1	1	0.2542	0.3648	0.4202	294
Wilkerson, Brad B. RF BOS	Free Agent	338	54	79	41	17	1	20	62	43	107	4	1	0.2337	0.3187	0.4675	295
Gutierrez, Franklin RF SEA	SA`s	271	41	72	44	13	2	13	36	21	77	8	3	0.2657	0.3176	0.4723	296
Inge, Brandon 3B DET 	Grape Apes	508	64	120	79	25	2	14	71	47	150	9	2	0.2362	0.3123	0.3760	297
Keppinger, Jeff 3B HOU	Free Agent	241	39	80	57	16	2	5	32	24	12	2	1	0.3320	0.4000	0.4772	298
Logan, Nook CF LA	Free Agent	325	39	86	64	18	4	0	21	19	86	23	5	0.2646	0.3043	0.3446	299
Garciaparra, Nomar DH OAK 	Free Agent	431	39	122	98	17	0	7	59	31	41	3	1	0.2831	0.3283	0.3712	301
Rolen, Scott 3B CIN	User Abuser	392	55	104	70	24	2	8	58	37	56	5	3	0.2653	0.3311	0.3980	304
Davis, Rajai CF OAK	Evil Empire	190	32	53	39	11	2	1	9	21	28	22	6	0.2789	0.3611	0.3737	306
Dobbs, Greg 3B PHI 	Free Agent	324	45	88	54	20	4	10	55	29	67	3	0	0.2716	0.3296	0.4506	309
Lamb, Mike 3B MIL	Free Agent	311	45	90	63	14	2	11	40	36	45	0	0	0.2894	0.3665	0.4534	311
Butler, Billy 1B KC	Whiteness	329	38	96	63	23	2	8	52	27	55	0	0	0.2918	0.3472	0.4468	313
Gload, Ross 1B FLA 	Free Agent	320	37	92	60	22	3	7	51	16	39	2	2	0.2875	0.3179	0.4406	317
Paulino, Ronny C FLA	Free Agent	457	56	120	84	25	0	11	55	33	79	2	2	0.2626	0.3138	0.3895	319
Pierzynski, A.J. C CHW	Titty`s Warriors	472	54	124	86	24	0	14	50	25	66	1	1	0.2627	0.3091	0.4025	320
Taguchi, So LF CHC 	Free Agent	307	48	89	71	15	0	3	30	23	32	7	4	0.2899	0.3501	0.3681	321
Lo Duca, Paul C FLA	Free Agent	445	46	121	93	18	1	9	54	24	33	2	0	0.2719	0.3113	0.3775	323
Estrada, Johnny C WAS	Free Agent	442	40	123	88	25	0	10	54	12	43	0	0	0.2783	0.2959	0.4027	324
Blalock, Hank 1B TEX 	Whiteness	208	32	61	32	16	3	10	33	21	38	4	1	0.2933	0.3578	0.5433	325
German, Esteban 3B TEX	Free Agent	348	49	92	67	15	6	4	37	43	60	11	7	0.2644	0.3509	0.3764	326
Thames, Marcus LF DET 	Free Agent	269	37	65	32	15	0	18	54	13	72	2	1	0.2416	0.2782	0.4981	330
Buck, Travis RF OAK	Free Agent	285	41	82	48	22	5	7	34	39	66	4	1	0.2877	0.3765	0.4737	331
Loretta, Mark 3B LA 	Free Agent	460	52	132	103	23	2	4	41	44	41	1	2	0.2870	0.3524	0.3717	334
Drew, Stephen SS ARI	Shits & Giggles	543	60	129	85	28	4	12	60	60	100	9	0	0.2376	0.3127	0.3702	338
Floyd, Cliff LF SD 	Free Agent	282	40	80	60	10	1	9	45	35	47	0	0	0.2837	0.3727	0.4220	339
Ellsbury, Jacoby CF BOS	Titty`s Warriors	116	20	41	30	7	1	3	18	8	15	9	0	0.3534	0.3937	0.5086	340
Bard, Josh C WAS 	Free Agent	389	42	111	77	27	2	5	51	50	58	0	1	0.2853	0.3643	0.4036	342
Catalanotto, Frank LF MIL 	Free Agent	331	52	86	51	20	4	11	44	28	37	2	1	0.2598	0.3369	0.4441	343
Vizquel, Omar SS CHW 	Free Agent	513	54	126	101	18	3	4	51	44	48	14	6	0.2456	0.3048	0.3158	344
Miles, Aaron 2B CHC	Free Agent	414	55	120	101	16	1	2	32	25	40	2	1	0.2899	0.3281	0.3478	345
Barfield, Josh 2B CLE	Free Agent	420	53	102	77	19	3	3	50	14	90	14	5	0.2429	0.2698	0.3238	346
Clark, Tony 1B ARI	Free Agent	221	31	55	32	5	1	17	51	21	59	0	0	0.2489	0.3102	0.5113	349
Lopez, Jose 2B SEA	Floaters and Sinkers	524	58	132	102	17	2	11	62	20	64	2	3	0.2519	0.2844	0.3550	350
Ankiel, Rick CF STL 	Whiteness	172	31	49	29	8	1	11	39	13	41	1	0	0.2849	0.3280	0.5349	351
