All Starting Pitchers Projections MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Myers, Brett SP PHI 	User Abuser	181.0	29	14	2	12	12	2	1	168	63	181	4.43	1.35	268
Porcello, Rick SP DET	Disco Bush Horticulturists	199.0	33	15	1	14	10	0	0	108	61	206	3.98	1.34	269
Feldman, Scott SP TEX	Free Agent	200.0	33	18	2	15	10	0	0	121	70	198	4.18	1.34	270
Saunders, Joe SP ANA	Shits & Giggles	200.0	33	17	2	16	8	0	0	115	62	210	4.09	1.36	271
Liriano, Francisco SP MIN	Grape Apes	181.0	28	14	1	11	12	1	1	163	69	176	4.18	1.35	273
Strasburg, Stephen SP WAS 	Free Agent	150.0	25	12	2	10	10	0	0	125	59	140	3.60	1.33	276
Penny, Brad SP STL 	Free Agent	190.0	31	19	1	15	9	0	0	123	60	195	4.17	1.34	277
Morrow, Brandon SP TOR 	Sofa Kings	175.0	25	12	0	8	9	3	2	166	92	150	3.96	1.38	278
Pineiro, Joel SP STL 	Want-a-be Ghetto All Stars	200.0	32	17	2	11	11	0	0	107	27	221	4.37	1.24	279
Bailey, Homer SP CIN	Free Agent	180.0	33	15	2	12	12	0	0	172	72	172	4.25	1.36	281
Arroyo, Bronson SP CIN	SA`s	211.0	34	21	2	13	13	0	0	124	64	215	4.22	1.32	282
Wells, Randy SP CHC	Titty`s Warriors	192.0	31	20	1	12	11	0	0	114	61	193	3.98	1.32	283
Marcum, Shaun SP TOR 	Free Agent	181.0	30	18	0	11	11	0	0	136	60	180	4.03	1.33	284
Millwood, Kevin SP BAL 	Blue Crew	200.0	33	16	2	12	13	0	0	130	65	205	4.00	1.35	286
Matusz, Brian SP BAL	Whiteness	180.0	31	15	1	11	13	0	0	153	56	180	4.40	1.31	294
Tillman, Chris SP BAL	Grape Apes	180.0	31	14	2	9	10	0	0	167	61	180	4.25	1.34	298
Cook, Aaron SP COL	Shits & Giggles	191.0	30	17	2	15	8	0	0	90	55	205	4.01	1.36	301
Sanchez, Jonathan O. SP SF	Grape Apes	180.0	30	14	1	11	11	0	0	180	90	165	4.15	1.42	304
Latos, Mat SP SD	Grape Apes	169.0	31	15	0	11	11	0	0	130	75	150	4.15	1.33	305
Marquis, Jason SP WAS 	User Abuser	205.0	33	17	2	13	13	0	0	120	75	209	4.04	1.39	306
Cahill, Trevor SP OAK	Free Agent	200.0	33	17	2	12	14	0	0	118	70	200	4.14	1.35	307
Romero, Ricky SP TOR	Sofa Kings	199.0	33	18	1	13	14	0	0	155	79	205	4.07	1.43	309
Bumgarner, Madison SP SF 	Disco Bush Horticulturists	150.0	26	12	2	10	8	0	0	110	50	143	4.02	1.29	310
Blackburn, Nick SP MIN	Free Agent	210.0	33	20	2	11	11	0	0	103	42	237	4.11	1.33	312
Masterson, Justin SP CLE	User Abuser	165.0	19	8	1	8	11	2	3	142	76	150	3.98	1.37	314
Pavano, Carl SP MIN 	Free Agent	204.0	33	17	2	13	11	0	0	150	41	237	4.46	1.36	321
Hunter, Tommy SP TEX	Free Agent	180.0	32	14	2	12	12	0	0	107	53	180	4.35	1.29	325
Bergesen, Brad SP BAL 	Free Agent	180.0	31	16	1	10	9	0	0	100	47	185	4.25	1.29	338
Rowland-Smith, Ryan SP SEA	Free Agent	180.0	27	14	2	9	10	0	1	122	64	180	4.00	1.36	341
Looper, Braden SP MIL	Free Agent	200.0	33	17	0	12	15	0	0	110	50	220	4.37	1.35	349
Smoltz, John SP STL	Sofa Kings	120.0	18	9	0	7	8	1	2	105	32	120	4.58	1.27	362
Pelfrey, Mike SP NYM	Free Agent	200.0	33	16	1	12	12	0	0	115	60	210	4.54	1.35	365
Lohse, Kyle SP STL	Free Agent	180.0	32	15	1	11	12	0	0	110	50	195	4.65	1.36	375
Meche, Gil SP KC 	Free Agent	165.0	27	16	1	10	12	0	0	125	60	167	4.36	1.38	381
Garland, Jon SP LA 	Free Agent	200.0	32	20	1	11	11	0	0	100	58	215	4.37	1.36	382
Maholm, Paul SP PIT	Whiteness	195.0	32	16	1	9	11	0	0	119	60	216	4.34	1.42	387
Norris, Bud SP HOU	Free Agent	181.0	32	16	1	10	12	0	0	173	76	186	4.48	1.45	388
Volstad, Chris SP FLA	Blue Crew	183.0	32	17	1	11	13	0	0	119	71	182	4.43	1.38	390
Washburn, Jarrod SP DET 	Free Agent	170.0	29	16	1	7	11	0	0	98	54	174	4.13	1.34	391
Kawakami, Kenshin SP ATL	Free Agent	165.0	26	14	1	7	11	0	1	111	62	165	4.04	1.38	393
Young, Chris R. SP SD 	Blue Crew	150.0	26	15	0	7	10	0	0	128	68	138	4.32	1.37	411
Martinez, Pedro SP PHI 	SA`s	105.0	19	7	0	7	5	0	0	90	23	112	4.20	1.29	422
Perez, Oliver SP NYM 	Free Agent	180.0	30	15	0	10	12	0	0	170	94	170	4.55	1.47	428
Lannan, John SP WAS	Free Agent	200.0	34	20	1	8	13	0	0	95	72	205	3.92	1.39	430
Correia, Kevin SP SD 	Whiteness	191.0	33	15	1	8	12	0	0	135	70	202	4.38	1.42	436
Zito, Barry SP SF 	Free Agent	199.0	33	17	0	11	12	0	0	145	80	190	4.30	1.36	437
Wakefield, Tim SP BOS 	Free Agent	125.0	22	11	1	9	6	0	0	73	46	121	4.25	1.34	439
Duchscherer, Justin SP OAK 	Sofa Kings	145.0	22	14	1	7	11	0	1	95	43	144	4.66	1.29	440
Rzepczynski, Marc SP TOR	Free Agent	181.0	32	18	2	6	11	0	0	156	90	181	4.03	1.50	444
Chamberlain, Joba SP NYY	Sofa Kings	180.0	32	15	0	10	6	1	2	155	77	170	3.60	1.37	446
Braden, Dallas SP OAK 	Want-a-be Ghetto All Stars	180.0	32	15	0	10	12	0	0	113	60	195	4.50	1.42	450
Gonzalez, Gio SP OAK	Free Agent	169.0	28	13	1	8	12	0	0	182	75	166	4.95	1.43	454
McGowan, Dustin SP TOR 	Free Agent	100.0	15	7	0	5	6	0	0	82	35	100	4.68	1.35	463
Bush, Dave SP MIL	Free Agent	165.0	28	14	0	9	10	0	0	115	44	170	4.69	1.30	465
Guthrie, Jeremy SP BAL	Free Agent	185.0	25	16	1	8	12	0	1	101	60	200	4.38	1.41	469
Villanueva, Carlos SP MIL	Free Agent	90.0	5	2	0	6	8	1	4	78	33	90	4.50	1.37	474
Bannister, Brian SP KC 	Free Agent	165.0	28	12	1	8	12	0	0	100	51	175	4.80	1.37	495
Gaudin, Chad SP NYY	Free Agent	87.0	3	1	0	3	5	0	1	73	41	87	4.45	1.47	499
Davis, Doug SP ARI	Disco Bush Horticulturists	180.0	30	16	0	9	12	0	0	135	80	190	4.30	1.50	501
Niese, Jonathon SP NYM 	Free Agent	178.0	28	13	2	8	11	0	0	127	74	184	4.65	1.45	511
Holland, Derek SP TEX	Floaters and Sinkers	180.0	30	12	2	12	13	0	0	141	61	205	4.95	1.48	512
Duensing, Brian SP MIN	Want-a-be Ghetto All Stars	80.0	5	2	0	4	2	0	1	50	30	80	3.71	1.38	521
Escobar, Kelvim SP NYM 	Sofa Kings	66.0	0	0	0	2	3	2	3	60	24	66	3.41	1.36	524
Moyer, Jamie SP PHI 	Free Agent	149.0	24	13	0	8	8	0	1	88	46	165	4.53	1.42	527
Carmona, Fausto SP CLE	Free Agent	165.0	25	12	1	8	12	0	0	98	73	173	4.69	1.49	531
Hudson, Daniel SP CHW	Free Agent	100.0	15	6	0	5	5	0	0	75	48	87	4.32	1.35	535
Kennedy, Ian SP ARI 	Free Agent	150.0	25	12	0	9	10	0	0	107	66	155	4.44	1.47	538
McCutchen, Daniel SP PIT	Free Agent	169.0	27	14	2	6	9	0	0	92	53	177	4.74	1.36	540
Olsen, Scott SP WAS 	Free Agent	154.0	25	11	0	7	10	0	0	109	59	161	4.62	1.43	542
Wang, Chien-Ming SP NYY 	Free Agent	100.0	15	8	0	5	5	0	0	55	30	104	4.14	1.34	547
Hellickson, Jeremy SP TB	Free Agent	65.0	9	4	1	4	2	2	1	61	29	60	4.02	1.37	553
Wood, Travis SP CIN	Free Agent	85.0	16	7	2	7	5	0	0	77	36	81	4.55	1.38	554
Garcia, Jaime SP STL	Free Agent	100.0	16	7	1	6	7	0	0	68	38	101	4.23	1.39	555
Francis, Jeff SP COL 	Free Agent	165.0	27	13	0	9	11	0	0	119	52	180	4.75	1.41	556
Drabek, Kyle SP TOR 	Free Agent	65.0	12	5	1	3	4	0	0	59	22	59	4.02	1.25	557
Litsch, Jesse SP TOR 	Free Agent	93.0	14	7	0	5	7	0	0	45	25	100	3.97	1.34	563
Friedrich, Christian SP COL	Free Agent	75.0	15	7	1	6	3	0	0	70	29	75	4.20	1.39	566
Marshall, Sean SP CHC	Free Agent	150.0	27	13	1	9	11	0	1	114	63	150	4.56	1.42	578
Wellemeyer, Todd SP STL	Free Agent	131.0	21	8	0	8	7	0	0	91	53	138	4.53	1.46	583
Smith, Greg SP COL 	Free Agent	95.0	16	6	1	4	8	0	0	56	44	84	4.17	1.35	588
Galarraga, Armando SP DET	Free Agent	180.0	30	14	0	10	11	0	0	125	73	180	4.65	1.41	589
Uehara, Koji SP BAL 	SA`s	67.0	12	6	0	2	4	0	0	48	12	71	4.03	1.24	596
Tazawa, Junichi SP BOS 	Free Agent	100.0	15	6	0	6	8	0	0	55	36	104	4.32	1.40	610
Ray, Bobby SP TOR 	Free Agent	81.0	13	5	0	3	5	0	1	43	20	81	4.56	1.25	629
Padilla, Vicente SP LA 	Titty`s Warriors	150.0	26	10	0	10	10	0	0	101	58	165	4.86	1.49	632
Lowry, Noah SP SF 	Free Agent	117.0	18	9	0	5	7	0	0	65	55	117	4.08	1.47	633
Miner, Zach SP DET	Free Agent	88.0	6	3	0	6	5	0	0	53	38	92	3.99	1.48	645
Snell, Ian SP SEA	Free Agent	172.0	30	16	1	8	11	0	0	134	80	186	4.60	1.55	648
Mejia, Jenrry SP NYM	Free Agent	49.0	5	2	0	3	4	1	1	45	19	45	4.22	1.31	658
Owings, Micah SP CIN	Free Agent	157.0	25	12	0	9	12	0	1	107	65	154	4.99	1.39	661
Fister, Doug W. SP SEA	Free Agent	61.0	10	5	0	3	4	0	0	36	15	63	4.13	1.28	664
Rondon, Hector SP CLE	Free Agent	65.0	9	4	0	3	5	1	1	65	31	62	4.29	1.43	673
Tallet, Brian SP TOR	Free Agent	93.0	8	4	0	3	5	0	0	74	41	90	4.45	1.41	676
Redding, Tim SP NYM 	Free Agent	129.0	22	10	0	5	8	0	0	81	51	134	4.67	1.43	684
Crosby, Casey SP DET	Free Agent	65.0	12	5	1	5	4	0	0	51	25	66	4.43	1.40	686
Outman, Josh SP OAK 	User Abuser	47.0	8	4	0	2	2	0	0	36	16	44	3.83	1.28	697
Ohlendorf, Ross SP PIT	Want-a-be Ghetto All Stars	193.0	30	15	1	9	12	0	0	125	65	200	4.01	1.37	699
Palmer, Matt SP ANA	Free Agent	67.0	8	2	0	6	2	0	0	36	34	61	4.30	1.42	701
Arrieta, Jake SP BAL	Free Agent	90.0	16	7	1	5	6	1	1	81	41	95	4.60	1.51	706
Stammen, Craig SP WAS 	Free Agent	106.0	19	7	1	4	7	0	0	48	24	112	5.09	1.28	709
Bonser, Boof SP BOS 	Free Agent	73.0	5	1	0	2	4	0	1	58	25	75	4.32	1.37	710
Park, Chan Ho SP PHI 	Free Agent	61.0	4	1	0	2	3	1	0	52	24	62	4.13	1.41	716
Sonnanstine, Andy SP TB	Free Agent	141.0	24	9	0	8	9	0	0	94	32	165	5.43	1.40	720
Volquez, Edinson SP CIN 	SA`s	45.0	8	3	0	3	2	0	0	45	23	40	3.80	1.40	722
Cashner, Andrew SP CHC	Free Agent	65.0	8	3	1	4	5	0	0	57	33	61	4.29	1.45	730
Kendrick, Kyle SP PHI	Free Agent	101.0	17	9	0	8	5	0	0	44	30	117	4.63	1.46	733
Erbe, Brandon SP BAL	Free Agent	71.0	10	4	1	4	5	0	1	65	31	71	4.56	1.44	737
Patton, Troy SP BAL	Free Agent	80.0	11	5	0	4	5	0	0	55	25	85	4.72	1.38	738
Perez, Martin SP TEX	Free Agent	30.0	5	2	0	3	1	0	0	30	12	25	3.90	1.23	743
Gorzelanny, Tom SP CHC	Floaters and Sinkers	165.0	28	13	0	10	10	0	0	116	70	175	4.53	1.48	744
Rogers, Esmil SP COL	Free Agent	60.0	9	4	1	4	5	0	0	52	27	59	4.35	1.43	746
Hammel, Jason SP COL	Free Agent	190.0	32	15	2	10	12	0	0	135	60	215	4.59	1.45	747
Carrasco, Carlos SP CLE 	Free Agent	100.0	17	6	0	5	6	0	1	76	45	102	4.68	1.47	748
Moehler, Brian SP HOU 	Free Agent	121.0	18	7	0	7	8	0	0	70	35	140	4.91	1.45	749
Hill, Rich J. SP BAL 	Free Agent	73.0	13	6	0	3	3	0	0	60	31	73	4.44	1.42	754
Lincoln, Brad SP PIT	Free Agent	81.0	15	6	1	5	6	0	0	60	39	80	4.56	1.47	759
Jeffress, Jeremy SP MIL	Free Agent	65.0	9	4	1	4	4	0	1	58	34	61	4.43	1.46	760
Duke, Zach SP PIT	Free Agent	210.0	33	18	2	12	14	0	0	104	50	240	4.29	1.38	764
Westbrook, Jake SP CLE 	Free Agent	62.0	10	6	0	2	4	0	0	37	21	64	4.06	1.37	766
Rivas, Amaury SP MIL	Free Agent	45.0	8	4	0	3	2	0	0	35	19	42	4.20	1.36	773
Byrd, Paul SP BOS	Free Agent	68.0	11	5	0	3	3	0	0	30	12	75	4.76	1.28	775
Contreras, Jose A. SP COL	Free Agent	147.0	24	10	1	8	12	0	0	96	50	168	5.08	1.48	779
Hendrickson, Mark SP BAL	Free Agent	120.0	15	3	0	6	7	0	0	78	37	135	5.10	1.43	783
Thompson, Brad SP KC 	Free Agent	75.0	10	4	0	3	5	0	0	33	22	80	4.44	1.36	784
Alderson, Timothy SP PIT	Shits & Giggles	81.0	14	6	2	5	7	0	0	59	37	82	4.67	1.47	786
Janssen, Casey SP TOR	Free Agent	38.0	2	1	0	1	2	2	0	21	11	42	3.55	1.39	790
Holt, Bradley SP NYM	Free Agent	65.0	10	4	0	4	6	0	1	55	25	70	4.57	1.46	794
West, Sean SP FLA	Free Agent	103.0	20	7	0	8	6	0	0	70	44	115	4.81	1.54	802
Rogers, Mark SP MIL	Free Agent	65.0	11	5	1	5	3	0	0	55	35	65	4.43	1.54	807
Richard, Clayton SP SD	Grape Apes	100.0	17	6	0	6	5	0	0	72	42	108	4.86	1.50	809
McAllister, Zachary SP NYY	Free Agent	45.0	7	3	0	3	2	0	0	41	19	43	4.60	1.38	810
Petit, Yusmeiro SP SEA	Free Agent	65.0	7	3	0	2	4	0	1	55	21	66	4.98	1.34	811
Perkins, Glen SP MIN	Free Agent	92.0	14	6	0	6	4	0	0	46	25	109	4.79	1.46	818
Aumont, Phillippe SP PHI 	Free Agent	33.0	0	0	0	1	2	1	2	30	14	30	4.09	1.33	820
McCarthy, Brandon SP TEX	Free Agent	180.0	30	15	1	12	11	0	0	109	70	178	4.60	1.38	824
Laffey, Aaron SP CLE	SA`s	88.0	15	7	0	5	6	0	0	42	33	99	4.40	1.50	829
Maloney, Matt SP CIN	Free Agent	41.0	7	2	0	2	4	0	0	28	8	43	4.83	1.24	834
Crow, Aaron SP KC	Free Agent	35.0	6	2	0	2	3	0	0	27	15	32	4.11	1.34	837
Lofgren, Chuck SP MIL 	Free Agent	79.0	10	4	1	4	5	0	1	67	35	85	4.67	1.52	841
Mills, Brad SP TOR	Free Agent	87.0	15	6	0	4	6	0	0	80	40	95	4.66	1.55	845
Capuano, Chris SP MIL	Free Agent	75.0	12	3	0	2	4	0	0	66	27	80	4.92	1.43	857
Karstens, Jeff SP PIT 	Free Agent	80.0	10	4	0	2	5	0	0	37	23	83	4.95	1.32	859
Tejeda, Robinson SP KC	Free Agent	71.0	9	2	0	4	4	0	0	67	45	60	5.07	1.48	862
Silva, Carlos SP CHC 	Free Agent	84.0	12	5	1	4	7	0	1	38	17	100	4.93	1.39	864
Reyes, Anthony SP CLE 	Free Agent	64.0	11	4	0	3	4	0	0	42	25	64	4.92	1.39	870
Deduno, Samuel SP COL	Free Agent	65.0	7	3	0	2	4	0	1	42	33	65	4.02	1.51	871
Richmond, Scott SP TOR	Free Agent	83.0	14	5	1	4	7	0	0	68	30	90	5.20	1.45	874
Kiker, Kasey SP TEX	Free Agent	40.0	5	2	0	2	2	0	0	32	15	40	4.50	1.38	876
Chacin, Gustavo SP HOU 	Free Agent	80.0	12	5	0	3	6	0	0	35	23	86	4.95	1.36	878
James, Chuck SP ATL	Free Agent	64.0	12	4	0	4	5	0	0	46	26	67	4.92	1.45	879
Hill, Shawn SP SD 	Free Agent	45.0	6	2	0	1	2	0	0	28	13	47	4.40	1.33	885
Figueroa, Nelson SP NYM	Disco Bush Horticulturists	58.0	8	4	0	3	6	0	0	48	25	64	4.34	1.53	889
Jakubauskas, Chris SP PIT	Free Agent	51.0	2	0	0	2	4	0	0	26	15	51	4.94	1.29	891
Jukich, Ben SP STL 	Free Agent	35.0	0	0	0	2	4	0	1	33	14	36	4.37	1.43	896
Kelly, Casey SP BOS 	Free Agent	15.0	1	0	0	0	0	0	0	15	4	12	3.00	1.07	900
Withrow, Christopher SP LA	Free Agent	50.0	11	5	0	3	4	0	0	45	25	50	4.68	1.50	905
Germano, Justin SP SD	Free Agent	59.0	10	5	0	2	4	0	0	32	18	62	4.88	1.36	910
Mulvey, Kevin SP ARI	Free Agent	80.0	13	0	0	4	6	0	0	62	35	90	4.61	1.56	921
Talbot, Mitch SP CLE 	Free Agent	65.0	7	3	0	3	4	0	1	40	25	70	4.71	1.46	923
Knapp, Jason SP CLE 	Free Agent	27.0	5	2	0	2	2	0	0	21	14	25	4.00	1.44	931
Garcia, Freddy An. SP CHW	Free Agent	43.0	8	4	0	2	3	0	0	33	12	47	5.02	1.37	936
Tomko, Brett D. SP OAK 	Free Agent	65.0	5	1	0	1	3	0	0	47	20	70	4.98	1.38	939
Lewis, Scott SP CLE	Free Agent	14.0	2	1	0	2	0	0	0	9	4	14	3.86	1.29	952
Davies, Kyle SP KC 	Free Agent	124.0	24	8	0	8	10	0	0	85	60	133	5.23	1.56	969
Geer, Josh SP SD	Free Agent	65.0	11	4	0	2	4	0	0	35	16	72	5.26	1.35	971
Suppan, Jeff SP MIL	Free Agent	180.0	31	14	0	10	12	0	0	94	69	210	4.70	1.55	978
Lopez, Rodrigo SP ARI	Free Agent	33.0	2	0	0	1	1	0	1	21	10	35	4.64	1.36	983
Martin, J.D. SP WAS	Free Agent	26.0	5	2	0	2	1	0	0	12	8	28	4.50	1.38	986
Robertson, Tyler SP MIN	Free Agent	35.0	6	2	0	2	3	0	0	27	15	37	4.63	1.49	990
Hirsh, Jason SP COL	Free Agent	40.0	7	3	0	2	2	0	0	27	17	39	5.17	1.40	1013
Misch, Pat SP NYM	Free Agent	52.0	6	1	0	1	4	0	0	29	16	57	4.85	1.40	1019
Sanchez, Anibal SP FLA	Floaters and Sinkers	180.0	30	13	0	10	13	0	0	142	81	180	4.00	1.45	1031
LeBlanc, Wade SP SD	Free Agent	34.0	6	2	0	2	2	0	0	22	17	32	5.03	1.44	1040
Colon, Bartolo SP CHW	Free Agent	67.0	12	5	0	4	5	0	0	47	20	82	5.24	1.52	1044
Montgomery, Michael SP KC	Free Agent	15.0	2	1	0	0	1	0	0	11	6	13	4.20	1.27	1049
Stults, Eric SP LA	Free Agent	42.0	7	2	1	2	3	0	0	31	19	46	4.71	1.55	1056
Brackman, Andrew SP NYY	Free Agent	20.0	2	0	0	2	1	0	0	16	8	22	4.95	1.50	1058
Bonine, Eddie SP DET	Free Agent	31.0	4	2	0	2	1	0	0	14	8	38	4.65	1.48	1061
Baek, Cha Seung SP SD 	Free Agent	32.0	4	1	0	0	1	0	0	21	9	35	4.78	1.38	1065
Martis, Shairon SP WAS	Free Agent	53.0	10	3	0	3	3	0	0	28	26	50	5.43	1.43	1073
Nippert, Dustin SP TEX	Want-a-be Ghetto All Stars	62.0	5	1	0	3	3	0	0	49	27	68	5.23	1.53	1075
