All Relief Pitchers Projections MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Frasor, Jason RP TOR	Free Agent	60.0	0	0	0	4	3	20	4	60	20	50	3.30	1.17	204
Capps, Matt RP WAS 	Free Agent	60.0	0	0	0	2	4	25	5	48	12	60	3.75	1.20	211
Happ, J.A. SP PHI 	Want-a-be Ghetto All Stars	199.0	30	17	3	13	9	0	0	148	71	195	3.84	1.34	218
Howell, J.P. RP TB	Grape Apes	70.0	0	0	0	4	3	10	4	80	34	50	3.09	1.20	221
Hughes, Phil SP NYY	Shits & Giggles	150.0	22	10	1	10	8	2	1	137	56	136	4.20	1.28	265
Myers, Brett SP PHI 	User Abuser	181.0	29	14	2	12	12	2	1	168	63	181	4.43	1.35	268
Liriano, Francisco SP MIN	Grape Apes	181.0	28	14	1	11	12	1	1	163	69	176	4.18	1.35	273
Morrow, Brandon SP TOR 	Sofa Kings	175.0	25	12	0	8	9	3	2	166	92	150	3.96	1.38	278
Feliz, Neftali RP TEX	SA`s	150.0	24	10	0	9	8	2	1	170	64	140	4.02	1.36	280
Lindstrom, Matt RP HOU 	Free Agent	60.0	0	0	0	3	3	21	5	55	25	61	3.90	1.43	299
Thornton, Matt RP CHW	Shits & Giggles	70.0	0	0	0	5	3	4	3	80	20	59	2.96	1.13	313
Masterson, Justin SP CLE	User Abuser	165.0	19	8	1	8	11	2	3	142	76	150	3.98	1.37	314
Johnson, Jim R. RP BAL 	Grape Apes	69.0	0	0	0	4	5	15	4	52	23	67	3.65	1.30	316
Wuertz, Michael RP OAK	Free Agent	70.0	0	0	0	4	2	4	4	90	20	57	3.21	1.10	322
Lyon, Brandon RP HOU 	Free Agent	70.0	0	0	0	2	4	14	4	50	25	66	3.47	1.30	345
Madson, Ryan RP PHI	Blue Crew	75.0	0	0	0	4	3	7	5	65	22	71	3.24	1.24	348
Bard, Daniel RP BOS	Free Agent	62.0	0	0	0	3	3	5	3	81	27	48	2.90	1.21	360
Gregg, Kevin RP CHC 	Free Agent	70.0	0	0	0	2	4	13	4	70	35	60	3.86	1.36	363
Sherrill, George RP LA	Free Agent	65.0	0	0	0	5	2	4	2	65	25	56	2.77	1.25	364
Rodney, Fernando RP ANA 	Floaters and Sinkers	60.0	0	0	0	4	5	7	4	65	29	45	3.30	1.23	368
Wilson, C.J. RP TEX 	User Abuser	70.0	0	0	0	4	3	9	4	75	30	65	3.60	1.36	370
Wheeler, Dan RP TB	Free Agent	65.0	0	0	0	4	5	2	4	55	13	52	3.46	1.00	371
Putz, J.J. RP CHW 	Free Agent	55.0	0	0	0	4	3	7	4	59	20	50	2.95	1.27	379
Downs, Scott RP TOR 	Whiteness	60.0	0	0	0	2	3	7	3	54	24	52	3.00	1.27	383
Weathers, David RP MIL	Free Agent	60.0	0	0	0	3	4	1	3	35	23	60	3.75	1.38	384
Ziegler, Brad RP OAK	Free Agent	75.0	0	0	0	3	3	5	4	52	28	73	2.52	1.35	386
Kawakami, Kenshin SP ATL	Free Agent	165.0	26	14	1	7	11	0	1	111	62	165	4.04	1.38	393
Gutierrez, Juan RP ARI	Free Agent	70.0	5	2	0	6	3	7	4	66	27	68	3.86	1.36	401
Heilman, Aaron RP ARI	Free Agent	78.0	0	0	0	6	5	6	4	71	30	78	3.69	1.38	402
Adams, Mike M. RP SD	Free Agent	60.0	0	0	0	0	1	0	1	68	16	45	2.55	1.02	403
Guerrier, Matt RP MIN	Free Agent	75.0	0	0	0	4	4	1	3	53	22	64	3.24	1.15	405
Neshek, Pat RP MIN 	Free Agent	55.0	0	0	0	3	2	1	3	55	20	36	2.95	1.02	407
Gregerson, Luke RP SD	Free Agent	70.0	0	0	0	1	3	2	4	85	30	60	3.34	1.29	408
Aceves, Alfredo RP NYY	Free Agent	80.0	2	1	0	6	3	1	3	60	20	71	3.26	1.14	415
Coke, Phil RP DET 	Free Agent	65.0	0	0	0	2	3	3	3	55	19	50	3.74	1.06	418
Moylan, Peter RP ATL	Free Agent	75.0	0	0	0	5	3	1	4	60	35	60	3.00	1.27	429
Saito, Takashi RP ATL 	Free Agent	58.0	0	0	0	2	2	6	4	56	25	54	2.64	1.36	431
Betancourt, Rafael RP COL 	Free Agent	65.0	0	0	0	1	2	1	3	65	20	53	3.05	1.12	432
Accardo, Jeremy RP TOR	Free Agent	50.0	0	0	0	1	2	1	3	39	22	43	3.78	1.30	433
Bruney, Brian RP WAS 	Free Agent	55.0	0	0	0	5	4	5	4	55	27	41	3.76	1.24	434
Springer, Russ RP TB	Free Agent	40.0	0	0	0	0	2	0	0	40	13	40	4.05	1.32	435
Okajima, Hideki RP BOS	Free Agent	60.0	0	0	0	4	1	0	1	52	20	50	2.85	1.17	441
Corpas, Manny RP COL 	Free Agent	55.0	0	0	0	1	2	4	3	40	15	55	3.76	1.27	443
Troncoso, Ramon RP LA	Free Agent	75.0	0	0	0	4	3	4	3	55	29	75	3.12	1.39	445
Perez, Chris RP CLE	Free Agent	62.0	0	0	0	2	2	5	3	72	30	47	3.92	1.24	447
Hawkins, LaTroy RP MIL 	Free Agent	61.0	0	0	0	2	2	5	4	44	17	59	3.25	1.25	449
Rauch, Jon RP MIN	Free Agent	70.0	0	0	0	6	3	1	3	55	20	67	3.73	1.24	452
Carlson, Jesse RP TOR	Free Agent	65.0	0	0	0	2	3	1	3	55	21	55	3.60	1.17	453
Pena, Tony A. RP CHW	Free Agent	72.0	0	0	0	4	3	3	4	53	25	72	4.12	1.35	468
Oliver, Darren RP TEX 	Free Agent	70.0	0	0	0	5	1	1	2	55	21	65	3.86	1.23	473
Villanueva, Carlos SP MIL	Free Agent	90.0	5	2	0	6	8	1	4	78	33	90	4.50	1.37	474
MacDougal, Mike RP WAS 	User Abuser	60.0	0	0	0	4	4	4	3	50	33	55	4.05	1.47	475
Affeldt, Jeremy RP SF	Free Agent	65.0	0	0	0	3	2	0	2	61	29	54	2.77	1.28	477
Dotel, Octavio RP CHW 	Free Agent	61.0	0	0	0	3	3	1	3	75	31	52	3.69	1.36	486
Howry, Bob RP ARI 	Free Agent	65.0	0	0	0	3	3	1	4	53	15	65	3.60	1.23	491
Romo, Sergio RP SF	Free Agent	55.0	0	0	0	4	2	2	4	62	15	50	3.76	1.18	493
Feliciano, Pedro RP NYM	Free Agent	56.0	0	0	0	4	3	0	2	54	20	50	3.21	1.25	494
Gaudin, Chad SP NYY	Free Agent	87.0	3	1	0	3	5	0	1	73	41	87	4.45	1.47	499
Balfour, Grant RP TB 	Free Agent	65.0	0	0	0	4	2	6	4	70	33	51	4.02	1.29	503
Holland, Derek SP TEX	Floaters and Sinkers	180.0	30	12	2	12	13	0	0	141	61	205	4.95	1.48	512
Duensing, Brian SP MIN	Want-a-be Ghetto All Stars	80.0	5	2	0	4	2	0	1	50	30	80	3.71	1.38	521
Wade, Cory RP LA	Free Agent	50.0	0	0	0	0	3	0	0	35	13	40	3.24	1.06	525
Moyer, Jamie SP PHI 	Free Agent	149.0	24	13	0	8	8	0	1	88	46	165	4.53	1.42	527
Bowden, Michael RP BOS	Want-a-be Ghetto All Stars	145.0	17	8	1	7	6	0	0	92	57	150	4.41	1.43	528
Delcarmen, Manny RP BOS	Free Agent	65.0	0	0	0	4	2	1	3	58	31	55	3.88	1.32	529
Kuo, Hong-Chih RP LA	Free Agent	65.0	0	0	0	4	3	1	3	72	24	60	3.74	1.29	533
League, Brandon RP SEA 	Free Agent	70.0	0	0	0	3	4	2	3	70	25	70	3.99	1.36	534
O'Day, Darren RP TEX	Free Agent	60.0	0	0	0	1	2	2	4	50	20	53	3.75	1.22	539
Perez, Rafael RP CLE	Free Agent	65.0	0	0	0	3	3	1	4	63	22	65	4.02	1.34	541
Breslow, Craig A. RP OAK	Free Agent	60.0	0	0	0	3	4	0	3	49	25	50	3.45	1.25	549
Shields, Scot RP ANA 	Free Agent	60.0	0	0	0	3	4	2	4	58	29	51	3.60	1.33	551
Poreda, Aaron RP SD	Free Agent	155.0	26	12	1	8	11	0	0	120	75	160	4.35	1.52	552
Cruz, Juan RP KC	Free Agent	60.0	0	0	0	3	4	3	4	72	34	50	4.20	1.40	558
Chacin, Jhoulys RP COL	Free Agent	110.0	19	8	0	6	8	0	0	101	51	105	4.58	1.42	559
Grabow, John RP CHC	Free Agent	75.0	0	0	0	3	3	1	3	60	36	70	3.48	1.41	562
Durbin, Chad RP PHI	Free Agent	95.0	6	2	0	5	4	1	0	64	44	90	4.07	1.41	565
Belisario, Ronald RP LA	Free Agent	35.0	0	0	0	2	2	0	0	32	14	26	2.06	1.14	573
McClellan, Kyle RP STL	Free Agent	71.0	0	0	0	3	6	2	0	55	30	68	3.80	1.38	574
Baez, Danys RP PHI 	Free Agent	70.0	0	0	0	3	4	2	4	40	26	63	4.11	1.27	575
Ramirez, Ramon RP BOS	Free Agent	65.0	0	0	0	5	3	0	3	54	30	60	3.32	1.38	576
Lewis, Jensen RP CLE	Free Agent	54.0	0	0	0	1	3	5	0	49	22	52	3.83	1.37	577
Marshall, Sean SP CHC	Free Agent	150.0	27	13	1	9	11	0	1	114	63	150	4.56	1.42	578
Wellemeyer, Todd SP STL	Free Agent	131.0	21	8	0	8	7	0	0	91	53	138	4.53	1.46	583
Storen, Drew RP WAS	Free Agent	49.0	0	0	0	0	3	6	4	45	26	45	3.31	1.45	584
Marte, Damaso RP NYY	Free Agent	41.0	0	0	0	3	2	2	0	45	17	33	3.95	1.22	585
Sampson, Chris RP HOU	Free Agent	98.0	10	5	0	6	5	1	0	48	25	107	4.50	1.35	586
Rhodes, Arthur RP CIN 	Free Agent	30.0	0	0	0	2	1	1	0	29	12	22	2.40	1.13	591
Zavada, Clay RP ARI	Free Agent	51.0	0	0	0	3	3	0	0	52	24	45	3.35	1.35	601
Burton, Jared RP CIN	Free Agent	54.0	0	0	0	3	1	0	0	46	23	48	3.50	1.31	604
Kelley, Shawn RP SEA	Free Agent	46.0	0	0	0	5	4	0	0	41	9	45	4.50	1.17	605
Condrey, Clay RP MIN 	Free Agent	50.0	0	0	0	4	2	1	3	30	15	50	3.60	1.30	606
Romero, J.C. RP PHI 	Free Agent	44.0	0	0	0	2	2	1	0	35	30	31	2.45	1.39	608
Beimel, Joe RP COL	Free Agent	57.0	0	0	0	3	3	1	0	35	21	57	3.32	1.37	609
Byrdak, Tim RP HOU	Free Agent	54.0	0	0	0	2	1	0	0	51	30	41	3.50	1.31	614
Benoit, Joaquin RP TEX 	Free Agent	42.0	0	0	0	3	2	2	0	43	21	36	3.64	1.36	617
Carrasco, D.J. RP CHW 	Free Agent	66.0	0	0	0	3	0	0	0	46	22	66	3.82	1.33	618
Campillo, Jorge RP KC 	Free Agent	75.0	10	4	0	3	4	0	0	50	20	78	4.20	1.31	620
Igarashi, Ryota RP NYM 	Free Agent	50.0	0	0	0	3	3	2	0	44	19	50	3.78	1.38	621
Miller, Trever RP STL	Free Agent	44.0	0	0	0	2	0	1	0	45	18	38	3.68	1.27	626
Ray, Chris RP TEX 	Free Agent	57.0	0	0	0	2	4	4	4	55	25	57	4.26	1.44	634
Mahay, Ron RP MIN	Free Agent	61.0	0	0	0	3	0	0	0	49	29	58	3.39	1.43	637
Shouse, Brian RP TB 	Free Agent	42.0	0	0	0	2	1	1	0	27	12	41	3.21	1.26	638
Embree, Alan RP COL 	Free Agent	51.0	0	0	0	2	3	6	0	40	20	51	4.76	1.39	642
Daley, Matt RP COL	Free Agent	51.0	0	0	0	1	1	0	0	55	18	43	4.24	1.20	643
Miner, Zach SP DET	Free Agent	88.0	6	3	0	6	5	0	0	53	38	92	3.99	1.48	645
Devine, Joey RP OAK 	Blue Crew	18.0	0	0	0	2	0	0	0	19	8	10	0.50	1.00	647
Linebrink, Scott RP CHW	Free Agent	58.0	0	0	0	3	5	1	0	48	19	60	4.03	1.36	651
Medlen, Kris RP ATL	Free Agent	68.0	4	1	0	3	5	0	0	72	30	65	4.24	1.40	652
Kilby, Brad RP OAK	Free Agent	17.0	1	0	0	1	0	0	0	20	4	10	0.53	0.82	653
Ni, Fu-Te RP DET	Free Agent	31.0	0	0	0	0	0	0	0	21	11	20	2.61	1.00	659
Owings, Micah SP CIN	Free Agent	157.0	25	12	0	9	12	0	1	107	65	154	4.99	1.39	661
Seay, Bobby RP DET	Free Agent	50.0	0	0	0	3	2	0	0	44	19	48	3.78	1.34	665
Pinto, Renyel RP FLA	Free Agent	62.0	0	0	0	3	3	0	0	57	39	50	3.77	1.44	667
Smith, Joe RP CLE 	Free Agent	47.0	0	0	0	3	2	0	0	42	22	43	3.45	1.38	670
Narveson, Chris RP MIL	Free Agent	47.0	4	0	0	2	0	0	0	46	16	45	3.83	1.30	675
Tallet, Brian SP TOR	Free Agent	93.0	8	4	0	3	5	0	0	74	41	90	4.45	1.41	676
Nelson, Joe RP TB	Free Agent	31.0	0	0	0	2	0	1	0	32	16	25	2.90	1.32	679
Bradford, Chad RP TB	Free Agent	45.0	0	0	0	3	3	1	0	17	11	53	2.80	1.42	680
Shell, Steven RP WAS	Free Agent	27.0	0	0	0	1	1	1	0	23	11	20	2.67	1.15	681
Speier, Justin RP ANA	Free Agent	53.0	0	0	0	3	4	0	0	47	18	50	4.42	1.28	683
Redding, Tim SP NYM 	Free Agent	129.0	22	10	0	5	8	0	0	81	51	134	4.67	1.43	684
Mota, Guillermo RP LA	Free Agent	61.0	0	0	0	3	4	0	0	45	23	56	4.43	1.30	685
Herges, Matt RP KC 	Free Agent	35.0	0	0	0	0	2	0	1	24	11	35	3.86	1.31	690
Bergmann, Jason RP WAS	Free Agent	101.0	14	7	0	3	7	0	0	74	38	101	4.72	1.38	691
Walker, Tyler RP PHI	Free Agent	34.0	0	0	0	3	3	0	0	28	11	30	3.71	1.21	694
Caridad, Esmailin RP CHC	Free Agent	19.0	0	0	0	1	0	0	0	17	3	15	1.42	0.95	695
Palmer, Matt SP ANA	Free Agent	67.0	8	2	0	6	2	0	0	36	34	61	4.30	1.42	701
Mijares, Jose RP MIN	Free Agent	24.0	0	0	0	1	1	0	0	20	8	18	2.25	1.08	711
Hanrahan, Joel RP PIT	Free Agent	66.0	4	1	0	4	3	5	0	69	38	68	4.77	1.61	712
Meredith, Cla C. RP BAL 	Free Agent	72.0	0	0	0	3	4	0	0	48	22	82	3.88	1.44	714
Park, Chan Ho SP PHI 	Free Agent	61.0	4	1	0	2	3	1	0	52	24	62	4.13	1.41	716
Fulchino, Jeff RP HOU	Free Agent	48.0	0	0	0	3	2	0	0	42	18	46	4.12	1.33	717
Speier, Ryan RP WAS 	Free Agent	56.0	0	0	0	1	2	1	2	38	20	56	3.86	1.36	731
Kendrick, Kyle SP PHI	Free Agent	101.0	17	9	0	8	5	0	0	44	30	117	4.63	1.46	733
Guzman, Angel RP CHC 	Free Agent	34.0	1	0	0	1	1	0	0	28	12	28	3.44	1.18	734
Coffey, Todd RP MIL	Free Agent	54.0	0	0	0	2	2	1	0	41	16	59	4.00	1.39	735
Reckling, Trevor RP ANA	Free Agent	50.0	8	3	0	3	4	0	0	37	15	50	4.32	1.30	736
Robertson, David RP NYY	Free Agent	37.0	0	0	0	3	0	0	0	50	19	32	4.14	1.38	741
Masset, Nick RP CIN	Free Agent	59.0	1	0	0	3	1	0	0	45	25	59	3.97	1.42	742
Gorzelanny, Tom SP CHC	Floaters and Sinkers	165.0	28	13	0	10	10	0	0	116	70	175	4.53	1.48	744
Chavez, Jesse RP ATL 	Free Agent	70.0	0	0	0	0	2	0	1	50	25	70	3.99	1.36	751
Reyes, Dennys RP STL	Free Agent	39.0	0	0	0	2	1	0	0	31	19	36	3.00	1.41	752
Schlereth, Daniel RP DET 	Free Agent	60.0	0	0	0	1	3	1	2	72	41	49	4.05	1.50	753
Buchholz, Taylor RP COL 	Free Agent	37.0	0	0	0	0	3	0	0	27	9	35	3.41	1.19	756
Jackson, Steven RP PIT	Free Agent	43.0	0	0	0	2	3	0	0	21	22	38	3.14	1.40	774
Crain, Jesse RP MIN	Free Agent	44.0	0	0	0	4	3	0	0	34	18	43	4.30	1.39	776
Contreras, Jose A. SP COL	Free Agent	147.0	24	10	1	8	12	0	0	96	50	168	5.08	1.48	779
Gardner, Lee RP FLA	Free Agent	27.0	0	0	0	1	1	1	0	19	7	29	2.67	1.33	780
Clippard, Tyler RP WAS	Free Agent	33.0	3	1	0	3	1	0	0	31	19	26	3.82	1.36	781
Calero, Kiko RP FLA	Free Agent	35.0	0	0	0	1	2	0	0	36	18	28	3.60	1.31	782
Hendrickson, Mark SP BAL	Free Agent	120.0	15	3	0	6	7	0	0	78	37	135	5.10	1.43	783
Thompson, Brad SP KC 	Free Agent	75.0	10	4	0	3	5	0	0	33	22	80	4.44	1.36	784
Riske, David RP MIL 	Free Agent	38.0	0	0	0	1	2	2	0	26	17	37	3.55	1.42	787
Ambriz, Hector RP CLE 	Free Agent	45.0	0	0	0	0	0	1	1	41	15	47	3.80	1.38	788
Janssen, Casey SP TOR	Free Agent	38.0	2	1	0	1	2	2	0	21	11	42	3.55	1.39	790
Veras, Jose RP CLE 	Free Agent	50.0	0	0	0	2	2	0	1	47	27	42	4.32	1.38	791
Badenhop, Burke RP FLA	Free Agent	60.0	5	1	0	4	4	0	0	46	22	63	4.65	1.42	796
Acosta, Manny RP ATL	Free Agent	38.0	0	0	0	2	2	1	0	28	20	35	3.55	1.45	797
Motte, Jason RP STL	Free Agent	34.0	0	0	0	2	2	0	0	35	13	31	4.24	1.29	798
Stetter, Mitch RP MIL	Free Agent	25.0	0	0	0	3	1	0	0	26	16	18	3.60	1.36	800
Bulger, Jason RP ANA	Free Agent	29.0	0	0	0	2	0	0	0	32	14	22	4.34	1.24	804
Green, Sean RP NYM	Free Agent	72.0	0	0	0	3	4	1	0	56	35	74	4.38	1.51	808
Richard, Clayton SP SD	Grape Apes	100.0	17	6	0	6	5	0	0	72	42	108	4.86	1.50	809
Petit, Yusmeiro SP SEA	Free Agent	65.0	7	3	0	2	4	0	1	55	21	66	4.98	1.34	811
Geary, Geoff RP TEX 	Free Agent	48.0	0	0	0	1	2	0	1	35	18	46	4.12	1.33	812
Gray, Jeff RP CHC 	Free Agent	46.0	0	0	0	0	1	0	1	35	9	50	4.11	1.28	815
Ohman, Will RP LA 	Free Agent	36.0	0	0	0	2	2	1	0	31	15	35	4.25	1.39	819
McClung, Seth RP MIL 	Free Agent	60.0	5	2	0	3	3	0	0	46	33	55	4.35	1.47	822
Miller, Justin RP SF 	Free Agent	54.0	0	0	0	0	1	0	1	50	25	50	4.17	1.39	823
Sipp, Tony RP CLE	Free Agent	20.0	0	0	0	1	0	0	0	24	12	14	2.70	1.30	826
Ceda, Jose RP FLA	Free Agent	25.0	0	0	0	1	2	1	2	30	11	21	4.32	1.28	828
Laffey, Aaron SP CLE	SA`s	88.0	15	7	0	5	6	0	0	42	33	99	4.40	1.50	829
McDonald, James RP LA	Free Agent	35.0	2	0	0	2	2	0	0	28	18	32	3.60	1.43	831
Lopez, Javier RP PIT 	Free Agent	50.0	0	0	0	2	1	1	2	31	24	50	3.96	1.48	832
Perry, Ryan RP DET	Free Agent	62.0	0	0	0	0	1	0	0	60	38	56	3.77	1.52	833
Vizcaino, Luis RP CLE	Free Agent	46.0	0	0	0	3	2	0	0	41	25	41	4.50	1.43	836
Cameron, Kevin RP OAK	Free Agent	42.0	0	0	0	0	0	0	0	34	22	39	3.21	1.45	839
Herrera, Danny RP CIN	Free Agent	35.0	0	0	0	2	2	0	0	26	14	36	3.60	1.43	840
Bonderman, Jeremy RP DET 	Free Agent	85.0	14	7	0	5	5	0	0	65	31	95	4.98	1.48	843
Medders, Brandon RP SF	Free Agent	39.0	0	0	0	2	1	0	0	30	20	37	3.69	1.46	848
White, Sean RP SEA 	Free Agent	33.0	0	0	0	1	1	0	0	15	13	28	3.82	1.24	849
Berg, Justin RP CHC	Free Agent	12.0	0	0	0	0	0	0	0	7	1	10	0.75	0.92	851
Brown, Andrew RP OAK	Free Agent	26.0	0	0	0	1	1	0	0	24	13	20	3.81	1.27	858
Karstens, Jeff SP PIT 	Free Agent	80.0	10	4	0	2	5	0	0	37	23	83	4.95	1.32	859
Lowe, Mark RP SEA	Free Agent	49.0	0	0	0	1	4	1	0	42	22	50	4.22	1.47	860
Tejeda, Robinson SP KC	Free Agent	71.0	9	2	0	4	4	0	0	67	45	60	5.07	1.48	862
Mujica, Edward RP SD	Free Agent	48.0	1	0	0	2	2	1	0	37	10	55	5.06	1.35	863
Donnelly, Brendan RP FLA	Free Agent	20.0	0	0	0	2	0	1	0	16	8	20	3.60	1.40	868
Cormier, Lance RP TB 	Free Agent	65.0	3	1	0	3	4	1	0	36	27	70	4.43	1.49	872
Burnett, Sean RP WAS 	Free Agent	38.0	0	0	0	1	1	0	0	28	21	31	4.03	1.37	877
Morales, Franklin RP COL	Free Agent	35.0	5	2	0	2	2	2	0	25	18	33	4.63	1.46	880
Colome, Jesus RP MIL	Free Agent	53.0	0	0	0	3	1	0	0	38	24	53	4.58	1.45	886
Guardado, Eddie RP WAS 	Free Agent	36.0	0	0	0	2	2	1	0	20	13	35	4.75	1.33	887
O'Flaherty, Eric RP ATL	Free Agent	38.0	0	0	0	3	1	0	0	26	14	38	4.74	1.37	888
Figueroa, Nelson SP NYM	Disco Bush Horticulturists	58.0	8	4	0	3	6	0	0	48	25	64	4.34	1.53	889
Jakubauskas, Chris SP PIT	Free Agent	51.0	2	0	0	2	4	0	0	26	15	51	4.94	1.29	891
Walker, Jamie RP BAL	Free Agent	37.0	0	0	0	1	2	2	0	25	9	43	4.62	1.41	892
Sosa, Jorge RP WAS	Free Agent	52.0	5	2	0	5	3	1	0	33	21	56	5.19	1.48	897
Hawksworth, Blake RP STL	Free Agent	13.0	0	0	0	1	0	0	0	7	5	10	2.08	1.15	899
Corcoran, Roy RP HOU 	Free Agent	58.0	0	0	0	0	2	1	1	30	29	58	3.72	1.50	901
Thatcher, Joe RP SD	Free Agent	31.0	0	0	0	1	2	0	0	29	12	31	4.06	1.39	903
Farnsworth, Kyle RP KC	Free Agent	53.0	0	0	0	2	3	0	0	50	21	58	4.58	1.49	907
Lopez, Aquilino RP DET	Free Agent	32.0	0	0	0	1	0	0	0	23	9	35	3.94	1.38	909
Sanches, Brian RP FLA	Free Agent	27.0	0	0	0	2	1	0	0	23	14	26	3.67	1.48	912
Burke, Greg RP SD	Free Agent	46.0	0	0	0	3	3	0	0	33	23	48	4.11	1.54	913
Ely, John RP LA 	Free Agent	50.0	8	3	0	3	4	0	0	40	25	52	4.32	1.54	914
Choate, Randy RP TB 	Free Agent	12.0	0	0	0	0	0	2	0	9	4	10	3.75	1.17	918
Gervacio, Sammy RP HOU	Free Agent	11.0	0	0	0	0	0	0	0	12	4	8	1.64	1.09	920
Ayala, Luis RP LA 	Free Agent	48.0	0	0	0	1	2	0	1	33	15	50	4.69	1.35	922
Colon, Roman RP KC 	Free Agent	54.0	0	0	0	0	1	0	1	33	22	54	4.17	1.41	924
Chulk, Vinnie RP PIT 	Free Agent	31.0	0	0	0	0	1	0	0	20	10	31	3.77	1.32	925
Wood, Tim RP FLA	Free Agent	22.0	0	0	0	1	0	0	0	16	10	22	2.86	1.45	928
Camp, Shawn RP TOR	Free Agent	53.0	0	0	0	2	3	0	0	42	19	59	4.58	1.47	929
Webb, Ryan RP SD	Free Agent	26.0	0	0	0	2	1	0	0	19	11	27	3.81	1.46	933
Sarfate, Dennis RP BAL	Free Agent	37.0	1	0	0	2	1	0	0	40	26	29	4.62	1.49	934
Tomko, Brett D. SP OAK 	Free Agent	65.0	5	1	0	1	3	0	0	47	20	70	4.98	1.38	939
Ramirez, Ramon A. RP BOS 	Free Agent	38.0	0	0	0	0	2	0	1	28	15	35	4.50	1.32	940
Waechter, Doug RP KC 	Free Agent	33.0	0	0	0	0	1	0	0	23	11	33	4.09	1.33	941
Blevins, Jerry RP OAK	Free Agent	22.0	0	0	0	0	1	0	0	20	7	20	4.09	1.23	943
Villone, Ron RP WAS	Free Agent	47.0	0	0	0	2	3	1	0	36	28	45	4.40	1.55	945
Grilli, Jason RP CLE 	Free Agent	50.0	0	0	0	0	1	0	1	45	23	50	4.32	1.46	947
Slaten, Doug RP WAS	Free Agent	45.0	0	0	0	0	2	0	1	30	17	49	3.80	1.47	948
Weathers, Casey RP COL	Free Agent	15.0	0	0	0	0	0	1	1	14	5	13	4.20	1.20	957
McBeth, Marcus RP OAK 	Free Agent	25.0	0	0	0	1	1	0	0	22	9	25	4.32	1.36	958
Runzler, Dan RP SF	Free Agent	9.0	0	0	0	0	0	0	0	11	5	6	1.00	1.22	959
Albaladejo, Jonathan RP NYY	Free Agent	21.0	0	0	0	2	1	0	0	15	8	21	4.29	1.38	961
