All Players 3 Year Averages MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Value
Okajima, Hideki RP BOS	Free Agent	65.3	0.0	0	0	3	2	3	0	62	20	50	2.48	1.07	250
Schilling, Curt SP BOS	Free Agent	118.3	18.3	11	0	8	5	0	0	95	17	128	3.95	1.23	251
Ray, Chris RP BAL	Free Agent	36.3	0.0	0	0	3	3	16	0	32	15	27	3.47	1.16	255
Wakefield, Tim SP BOS 	Free Agent	170.0	28.0	15	1	11	11	0	0	106	58	160	4.50	1.28	256
Nolasco, Ricky SP FLA  	Grape Apes	124.7	19.3	12	0	9	7	0	0	99	31	125	4.12	1.25	257
Shields, Scot RP ANA 	Free Agent	76.0	0.0	0	0	6	5	3	0	75	29	63	3.20	1.21	260
Carpenter, Chris SP STL  	Lazy Pukes	81.0	12.0	6	2	5	3	0	0	65	16	73	3.11	1.10	263
Danks, John SP CHW  	Grape Apes	167.0	29.5	14	0	9	11	0	0	134	56	171	4.20	1.36	266
Greinke, Zack SP KC   	User Abuser	110.3	15.3	9	0	7	6	0	0	98	32	110	3.59	1.29	268
Penny, Brad SP BOS 	Free Agent	164.0	27.7	16	0	13	7	0	0	111	56	172	4.17	1.39	269
Marcum, Shaun SP TOR 	Free Agent	129.7	21.3	11	0	8	6	0	0	103	46	121	4.03	1.29	271
Betancourt, Rafael RP COL	Free Agent	69.0	0.0	0	0	4	3	3	0	64	15	60	3.39	1.09	273
Blanton, Joe SP PHI   	SA`s	207.3	32.7	17	1	13	11	0	0	119	55	231	4.47	1.38	274
Francis, Jeff SP COL 	Free Agent	186.0	30.0	15	1	11	10	0	0	125	60	195	4.40	1.37	281
Cook, Aaron SP COL 	Shits & Giggles	196.7	29.7	17	1	11	10	0	0	83	49	219	4.12	1.36	283
Marmol, Carlos RP CHC 	Evil Empire	78.0	4.3	1	0	4	4	3	0	90	45	51	3.46	1.23	284
Guthrie, Jeremy SP BAL  	Free Agent	128.3	19.0	12	0	6	6	0	0	86	40	122	3.86	1.26	285
Masterson, Justin SP CLE   	User Abuser	88.3	9.0	5	0	6	5	0	0	68	40	68	3.16	1.22	287
Liriano, Francisco SP MIN 	Grape Apes	65.7	10.0	6	0	6	2	0	0	70	21	54	2.88	1.14	289
Smith, Greg SP COL	Free Agent	190.3	32.0	13	2	7	16	0	0	111	87	169	4.16	1.34	291
Chamberlain, Joba SP NYY   	Sofa Kings	62.0	6.0	4	0	3	2	0	0	76	22	50	2.18	1.16	295
Slowey, Kevin SP MIN 	Floaters and Sinkers	113.3	19.0	8	2	8	6	0	0	85	18	122	4.21	1.24	298
Soriano, Rafael RP ATL 	Shits & Giggles	48.7	0.0	0	0	1	2	5	0	50	15	33	2.59	0.99	299
Howry, Bob RP SF	Free Agent	76.3	0.0	0	0	6	6	5	0	67	16	79	3.89	1.24	300
Saunders, Joe SP ANA  	Free Agent	125.3	20.7	13	0	11	5	0	0	74	39	129	3.95	1.34	306
Hill, Rich J. SP BAL 	Free Agent	104.7	17.7	9	1	6	5	0	0	96	40	89	4.04	1.23	307
Springer, Russ RP TB	Free Agent	58.7	0.0	0	0	4	1	0	0	52	18	42	2.61	1.02	309
Gonzalez, Mike RP ATL	Free Agent	35.0	0.0	0	0	2	2	13	0	40	18	28	2.83	1.31	311
Gordon, Tom RP ARI	Free Agent	43.0	0.0	0	0	4	3	14	0	42	17	41	4.19	1.35	312
Looper, Braden SP MIL  	Titty`s Warriors	149.0	21.0	11	0	11	10	0	0	79	39	158	4.35	1.32	313
Otsuka, Akinori RP TEX	Free Agent	30.7	0.0	0	0	1	2	12	0	23	7	26	2.35	1.08	314
Bell, Heath RP SD 	Grape Apes	69.7	0.0	0	0	4	3	1	0	69	23	59	3.10	1.18	315
Hernandez, Orlando SP TEX	Free Agent	103.3	17.7	11	0	7	5	0	0	97	42	88	4.18	1.26	316
Bonderman, Jeremy SP DET 	Free Agent	153.3	24.7	13	0	9	7	0	0	130	49	161	4.46	1.37	319
Garland, Jon SP ARI  	Grape Apes	205.3	32.0	19	1	14	9	0	0	100	52	234	4.56	1.39	324
Baker, Scott SP MIN  	Floaters and Sinkers	133.0	22.3	11	1	8	7	0	0	102	29	146	4.33	1.32	325
Corpas, Manny RP COL 	Free Agent	63.3	0.0	0	0	3	3	8	0	45	17	64	3.41	1.28	327
Wood, Kerry RP CLE 	Titty`s Warriors	36.7	1.3	0	0	2	2	11	0	40	13	30	3.44	1.17	328
Sherrill, George RP LA	Free Agent	46.3	0.0	0	0	2	3	12	0	52	26	35	3.88	1.32	332
Downs, Scott RP TOR 	Whiteness	68.7	1.7	0	0	3	2	2	0	58	27	58	2.75	1.24	333
Jurrjens, Jair SP ATL   	User Abuser	109.3	19.0	9	0	8	6	0	0	76	40	106	3.79	1.34	334
Lyon, Brandon RP DET	Free Agent	67.7	0.0	0	0	4	4	9	0	43	19	71	3.72	1.33	337
Lester, Jon SP BOS  	Evil Empire	118.3	19.7	10	1	9	3	0	0	87	47	118	3.80	1.39	338
Accardo, Jeremy RP TOR	Free Agent	49.7	0.0	0	0	2	4	12	0	39	16	47	3.99	1.27	341
Zito, Barry SP SF  	Sofa Kings	199.3	33.0	18	0	12	13	0	0	134	95	193	4.47	1.44	343
Volstad, Chris SP FLA 	Lazy Pukes	84.3	14.0	9	0	6	4	0	0	52	36	76	2.88	1.33	347
Reyes, Al RP NYM	Free Agent	41.7	0.0	0	0	2	3	13	0	44	16	35	4.75	1.22	349
Villanueva, Carlos SP MIL	Free Agent	92.0	7.0	3	0	5	5	1	0	77	31	85	3.91	1.26	351
Oliver, Darren RP ANA	Free Agent	72.3	0.0	0	0	5	1	0	0	53	20	65	3.36	1.18	355
Wilson, Brian RP SF 	Lazy Pukes	38.7	0.0	0	0	2	2	16	0	36	19	37	4.42	1.45	357
Franklin, Ryan RP STL 	Shits & Giggles	78.7	0.0	0	0	5	6	6	0	46	25	81	3.66	1.35	359
Lohse, Kyle SP STL 	User Abuser	173.0	28.0	14	1	10	9	0	0	113	50	189	4.58	1.38	360
Rodriguez, Wandy SP HOU   	Shits & Giggles	152.0	26.7	11	0	9	10	0	0	129	56	156	4.56	1.39	362
Wilson, C.J. RP TEX 	User Abuser	53.0	0.0	0	0	2	2	12	0	49	26	46	4.25	1.36	367
Perez, Oliver SP NYM 	Free Agent	161.3	28.3	13	0	9	10	0	0	152	84	150	4.52	1.45	368
Heilman, Aaron RP CHC 	Free Agent	83.0	0.0	0	0	5	7	1	0	72	31	73	3.90	1.25	370
Romo, Sergio RP SF	Free Agent	34.0	0.0	0	0	3	1	0	0	33	8	16	2.12	0.71	373
Thornton, Matt RP CHW	Free Agent	59.3	0.0	0	0	5	3	2	0	60	22	51	3.49	1.23	375
Cueto, Johnny SP CIN  	Disco Bush Horticulturists	174.0	31.0	14	0	9	14	0	0	158	68	178	4.81	1.41	376
Sonnanstine, Andy SP TB 	Free Agent	162.0	27.0	11	0	10	10	0	0	110	32	182	5.00	1.32	377
Percival, Troy RP TB 	Shits & Giggles	28.7	0.3	0	0	2	0	9	0	25	12	18	3.14	1.05	381
Maholm, Paul SP PIT  	Whiteness	186.7	30.0	16	1	9	11	0	0	120	64	202	4.44	1.43	384
Neshek, Pat RP MIN 	Free Agent	40.3	0.0	0	0	4	2	0	0	47	12	26	2.90	0.94	389
Cruz, Juan RP KC 	Free Agent	69.0	5.0	2	0	5	2	0	0	82	37	53	3.52	1.30	390
Perez, Rafael RP CLE	Free Agent	49.7	0.0	0	0	2	2	1	0	54	15	39	2.90	1.09	392
Glavine, Tom SP ATL	Free Agent	154.0	26.3	17	0	10	6	0	0	86	54	163	4.32	1.41	393
Carmona, Fausto SP CLE  	Free Agent	136.7	20.3	13	1	9	8	0	0	84	54	138	4.21	1.40	397
Buchholz, Taylor RP COL 	Free Agent	91.0	9.0	4	0	6	7	0	0	65	24	86	4.45	1.21	401
Johnson, Josh SP FLA   	SA`s	86.7	14.0	8	0	6	4	0	0	75	36	84	3.53	1.38	402
Wellemeyer, Todd SP STL 	Free Agent	116.3	14.3	6	0	6	5	0	0	83	51	108	4.02	1.37	403
Olsen, Scott SP WAS 	Free Agent	186.3	32.3	15	0	10	12	0	0	137	76	194	4.64	1.45	409
Gallardo, Yovani SP MIL  	Want-a-be Ghetto All Stars	67.3	10.5	8	0	4	2	0	0	60	22	62	3.34	1.25	410
Linebrink, Scott RP CHW	Free Agent	64.0	0.0	0	0	5	4	1	0	53	19	60	3.66	1.23	412
Rodney, Fernando RP DET 	Floaters and Sinkers	54.3	0.0	0	0	3	5	7	0	56	28	44	4.14	1.33	414
Morrow, Brandon SP SEA	Sofa Kings	64.0	2.5	1	0	3	4	5	0	70	42	48	3.66	1.41	415
Marte, Damaso RP NYY	Free Agent	56.3	0.0	0	0	3	3	2	0	62	25	45	3.51	1.24	418
Washburn, Jarrod SP DET  	Lazy Pukes	178.0	29.7	16	1	8	14	0	0	101	57	191	4.55	1.39	421
Perez, Chris RP CLE 	Free Agent	41.7	0.0	0	0	3	3	7	0	42	22	34	3.46	1.34	422
Capuano, Chris SP MIL	Free Agent	123.7	19.7	10	1	5	8	0	0	102	34	133	4.44	1.35	423
Snell, Ian SP SEA  	Free Agent	186.0	31.7	16	0	10	12	0	0	160	77	203	4.60	1.51	424
Byrd, Paul SP BOS   	Free Agent	183.7	30.7	14	1	12	10	0	0	86	33	225	4.70	1.40	426
Meredith, Cla C. RP BAL	Free Agent	67.0	0.0	0	0	3	3	0	0	48	16	68	3.09	1.25	430
Westbrook, Jake SP CLE 	Free Agent	132.7	20.7	12	1	7	7	0	0	74	39	146	4.14	1.39	431
Garza, Matt SP TB  	Lazy Pukes	106.0	18.0	8	1	6	7	0	0	78	38	109	3.99	1.39	432
Feliciano, Pedro RP NYM	Free Agent	59.3	0.0	0	0	4	3	1	0	55	26	53	3.03	1.33	433
Bradford, Chad RP TB	Free Agent	62.0	0.0	0	0	4	4	1	0	30	15	65	2.76	1.29	434
Contreras, Jose A. SP CHW 	Free Agent	168.7	26.7	13	1	10	11	0	0	106	51	185	4.80	1.40	438
Geary, Geoff RP HOU	Free Agent	74.3	0.0	0	0	4	2	0	0	48	24	73	3.27	1.30	439
Brocail, Doug RP HOU 	Free Agent	58.0	0.0	0	0	5	3	1	0	42	18	52	3.72	1.21	441
Lannan, John SP WAS  	Free Agent	108.3	18.5	12	0	6	8	0	0	64	44	104	3.99	1.37	442
Volquez, Edinson SP CIN 	SA`s	87.7	15.3	8	0	7	4	0	0	83	42	84	3.90	1.44	443
Gaudin, Chad SP NYY 	User Abuser	117.7	13.3	6	0	8	7	1	0	87	56	116	4.21	1.46	447
Embree, Alan RP COL 	Free Agent	60.7	0.0	0	0	2	3	6	0	54	21	59	4.15	1.32	448
Sampson, Chris SP HOU	Free Agent	91.0	11.0	5	0	5	4	0	0	42	19	94	4.15	1.24	453
Benoit, Joaquin RP TEX 	Free Agent	69.0	0.0	0	0	4	2	2	0	72	34	59	4.04	1.35	455
Schmidt, Jason SP LA 	Free Agent	79.7	12.7	7	1	4	4	0	0	67	31	74	3.84	1.32	456
Guerrier, Matt RP MIN	Free Agent	78.0	0.3	0	0	3	4	1	0	55	26	78	3.58	1.33	463
Owings, Micah SP CIN	Free Agent	128.7	22.5	12	1	7	8	0	0	96	46	125	4.97	1.33	465
James, Chuck SP ATL	Free Agent	103.3	18.3	7	0	8	6	0	0	76	42	100	4.53	1.37	466
Pena, Tony A. RP CHW	Free Agent	63.0	0.0	0	0	4	3	2	0	45	19	60	4.00	1.25	468
Jimenez, Ubaldo SP COL  	Disco Bush Horticulturists	96.0	16.7	9	0	5	5	0	0	81	48	86	4.03	1.40	469
Zumaya, Joel RP DET 	Titty`s Warriors	46.7	0.0	0	0	3	3	1	0	49	27	34	2.70	1.31	470
Burton, Jared RP CIN	Free Agent	50.7	0.0	0	0	4	2	0	0	47	24	42	2.84	1.30	471
McGowan, Dustin SP TOR 	Free Agent	102.7	16.3	9	1	6	6	0	0	84	41	99	4.47	1.36	472
Grabow, John RP CHC	Free Agent	65.7	0.0	0	0	4	2	2	0	57	29	61	3.70	1.37	474
Martinez, Pedro SP PHI  	SA`s	90.0	16.0	7	0	6	5	0	0	85	30	89	4.70	1.32	476
Rowland-Smith, Ryan SP SEA   	Shits & Giggles	78.7	6.0	4	0	3	2	1	0	60	32	76	3.55	1.37	477
Beimel, Joe RP COL	Free Agent	62.0	0.0	0	0	4	1	1	0	34	22	61	3.05	1.34	479
Moylan, Peter RP ATL	Free Agent	37.0	0.0	0	0	2	1	1	0	27	12	29	2.19	1.11	481
Padilla, Vicente SP LA  	Free Agent	163.7	28.3	13	0	12	9	0	0	118	62	179	4.89	1.47	485
Reyes, Dennys RP STL	Free Agent	42.0	0.0	0	0	3	0	0	0	36	17	36	2.14	1.26	487
Galarraga, Armando SP DET	Disco Bush Horticulturists	62.3	9.7	5	0	4	2	0	0	44	23	53	3.90	1.22	489
Millwood, Kevin SP TEX   	Lazy Pukes	185.3	31.3	16	2	12	12	0	0	135	56	220	4.90	1.49	492
Delcarmen, Manny RP BOS	Free Agent	57.3	0.0	0	0	1	1	1	0	53	21	50	3.45	1.24	496
Gagne, Eric RP MIL	Free Agent	33.3	0.0	0	0	3	2	9	0	31	15	32	4.59	1.41	497
Lewis, Jensen RP CLE	Free Agent	47.7	0.0	0	0	0	2	6	0	43	18	47	3.40	1.36	501
Wolf, Randy SP LA   	Want-a-be Ghetto All Stars	116.7	21.0	9	0	8	6	0	0	100	48	121	4.63	1.45	505
Davis, Doug SP ARI   	Disco Bush Horticulturists	180.7	31.0	16	0	10	10	0	0	138	87	192	4.53	1.54	512
Rogers, Kenny SP DET	Free Agent	147.0	24.7	13	0	10	8	0	0	72	53	157	4.65	1.43	513
Proctor, Scott RP FLA 	Free Agent	75.7	0.0	0	0	4	3	0	0	66	34	69	4.04	1.36	514
Suppan, Jeff SP MIL   	Free Agent	191.3	32.3	16	0	11	10	0	0	103	68	219	4.56	1.50	515
Bannister, Brian SP KC  	SA`s	128.7	21.7	9	1	8	9	0	0	70	41	135	4.83	1.37	516
Mahay, Ron RP MIN 	Free Agent	63.0	0.0	0	0	3	1	0	0	53	31	56	3.29	1.38	518
Blackburn, Nick SP MIN  	Free Agent	102.7	16.5	10	0	6	6	0	0	52	20	122	4.21	1.38	519
Ramirez, Ramon RP BOS	Free Agent	52.3	0.0	0	0	3	2	0	0	49	21	45	3.61	1.26	520
Kuo, Hong-Chih RP LA	Free Agent	56.7	4.7	2	0	2	4	0	0	65	23	50	3.81	1.29	526
Garcia, Freddy An. SP CHW   	Free Agent	96.3	15.7	7	0	6	5	0	0	66	24	104	4.76	1.33	527
Kobayashi, Masa RP CLE	Free Agent	55.7	0.0	0	0	4	5	6	0	35	14	65	4.53	1.42	528
Durbin, Chad RP PHI	Free Agent	73.7	6.3	2	0	4	4	1	0	44	28	73	3.91	1.37	532
Shouse, Brian RP TB	Free Agent	45.7	0.0	0	0	2	2	2	0	29	15	44	3.15	1.29	533
Robertson, Nate SP DET  	Free Agent	185.0	30.0	14	0	10	12	0	0	121	64	208	4.91	1.47	534
Nelson, Joe RP TB	Free Agent	33.0	0.0	0	0	1	1	3	0	35	15	26	3.00	1.24	535
Benitez, Armando RP HOU	Free Agent	31.7	0.0	0	0	2	4	9	0	32	17	31	4.55	1.52	537
Speier, Justin RP ANA	Free Agent	56.3	0.0	0	0	2	4	0	0	53	20	51	3.83	1.26	540
Rivera, Saul RP WAS	Free Agent	79.0	0.0	0	0	4	4	1	0	57	36	79	3.76	1.46	541
Janssen, Casey RP TOR	Free Agent	55.7	5.7	1	0	3	4	2	0	28	14	57	3.88	1.28	542
Miner, Zach SP DET	Free Agent	88.3	10.0	5	0	6	5	0	0	52	33	91	4.18	1.40	543
Miller, Justin RP SF 	Free Agent	54.0	0.0	0	0	4	1	0	0	58	22	50	4.00	1.33	544
Kershaw, Clayton SP LA   	Floaters and Sinkers	107.7	21.0	8	0	5	5	0	0	100	52	109	4.26	1.50	545
Floyd, Gavin SP CHW   	Disco Bush Horticulturists	110.3	18.0	9	1	7	5	0	0	76	40	115	4.73	1.40	547
Madson, Ryan RP PHI 	Free Agent	91.0	5.7	2	0	6	4	1	0	70	32	101	4.35	1.46	548
Carlyle, Buddy RP ATL 	Free Agent	84.7	10.0	3	0	5	4	0	0	66	29	84	4.68	1.33	549
Wolfe, Brian RP TOR	Free Agent	33.7	0.0	0	0	2	2	0	0	18	8	27	2.67	1.04	550
Bennett, Jeff RP TB	Free Agent	55.3	3.0	1	0	2	4	2	0	41	25	50	3.58	1.36	553
Tallet, Brian RP TOR 	Free Agent	57.7	0.3	0	0	2	2	0	0	46	27	49	3.43	1.32	554
Vargas, Claudio SP MIL 	Free Agent	113.0	19.0	9	0	9	6	0	0	83	39	124	4.94	1.44	562
Redding, Tim SP NYM  	Free Agent	133.0	24.0	11	0	6	8	0	0	84	52	140	4.53	1.44	563
Smith, Joe RP CLE	Free Agent	54.0	0.0	0	0	4	2	0	0	48	26	50	3.50	1.41	567
Wuertz, Michael RP OAK	Free Agent	52.7	0.0	0	0	2	2	0	0	50	24	48	3.25	1.37	568
Yabu, Keiichi RP SF	Free Agent	68.0	0.0	0	0	3	6	0	0	48	32	63	3.57	1.40	569
Julio, Jorge RP TB	Free Agent	52.7	0.0	0	0	2	3	5	0	59	28	49	4.44	1.46	570
Gardner, Lee RP FLA	Free Agent	40.7	0.0	0	0	2	2	1	0	28	11	43	2.66	1.33	571
Marquis, Jason SP COL  	User Abuser	184.3	31.3	13	0	12	11	0	0	99	74	194	5.08	1.45	572
Lindstrom, Matt RP FLA	Free Agent	41.3	0.0	0	0	2	2	2	0	35	16	41	3.05	1.38	575
Baek, Cha Seung SP SD 	Free Agent	83.0	13.0	5	0	5	5	0	0	55	23	86	4.77	1.31	577
McClellan, Kyle RP STL	Free Agent	75.7	0.0	0	0	2	7	1	0	59	26	79	4.04	1.39	578
Timlin, Mike RP COL	Free Agent	56.3	0.0	0	0	4	4	4	0	31	17	61	4.47	1.38	579
