All Players 2008 MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Wagner, Billy RP BOS 	Free Agent	47.0	0	0	0	0	1	27	7	52	10	32	2.30	0.89	112
Baker, Scott SP MIN	Floaters and Sinkers	172.3	28	18	0	11	4	0	0	141	42	161	3.45	1.18	114
Floyd, Gavin SP CHW 	Disco Bush Horticulturists	206.3	33	19	1	17	8	0	0	145	70	190	3.84	1.26	117
Hoffman, Trevor RP MIL	Blue Crew	45.3	0	0	0	3	6	30	4	46	9	38	3.77	1.04	122
Beckett, Josh SP BOS	Evil Empire	174.3	27	16	1	12	10	0	0	172	34	173	4.03	1.19	125
Galarraga, Armando SP DET	Free Agent	178.7	28	16	0	13	7	0	0	126	61	152	3.73	1.19	128
Marmol, Carlos RP CHC	Evil Empire	87.3	0	0	0	2	4	7	2	114	41	40	2.68	0.93	129
Wellemeyer, Todd SP STL 	Free Agent	191.7	32	17	0	13	9	0	0	134	62	178	3.71	1.25	140
Johnson, Randy SP SF 	Evil Empire	184.0	30	18	2	11	10	0	0	173	44	184	3.91	1.24	141
Kazmir, Scott SP ANA	User Abuser	152.3	27	13	0	12	8	0	0	166	70	123	3.49	1.27	142
Meche, Gil SP KC 	Free Agent	210.3	34	21	0	14	11	0	0	183	73	204	3.98	1.32	147
Marcum, Shaun SP TOR 	Free Agent	151.3	25	15	0	9	7	0	0	123	50	126	3.39	1.16	148
Guthrie, Jeremy SP BAL	Free Agent	190.7	30	19	1	10	12	0	0	120	58	176	3.63	1.23	153
Hudson, Tim SP ATL 	Blue Crew	142.0	22	16	1	11	7	0	0	85	40	125	3.17	1.16	155
Slowey, Kevin SP MIN 	Floaters and Sinkers	160.3	27	13	3	12	11	0	0	123	24	161	3.99	1.15	156
Garza, Matt SP TB	Blue Crew	184.7	30	15	3	11	9	0	0	128	59	170	3.70	1.24	159
Litsch, Jesse SP TOR 	Free Agent	176.0	28	15	2	13	9	0	0	99	39	178	3.58	1.23	160
Buehrle, Mark SP CHW	Free Agent	218.7	34	24	1	15	12	0	0	140	52	240	3.79	1.34	163
Capps, Matt RP PIT	Free Agent	53.7	0	0	0	2	3	21	5	39	5	47	3.02	0.97	166
Lackey, John SP ANA 	User Abuser	163.3	24	16	3	12	5	0	0	130	40	161	3.75	1.23	167
Lohse, Kyle SP STL	Free Agent	200.0	33	20	0	15	6	0	0	119	49	211	3.78	1.30	169
Moyer, Jamie SP PHI 	Free Agent	196.3	33	19	0	16	7	0	0	123	62	199	3.71	1.33	170
Maholm, Paul SP PIT	Whiteness	206.3	31	19	1	9	9	0	0	139	63	201	3.71	1.28	171
Kuroda, Hiroki SP LA	Free Agent	183.3	31	18	2	9	10	0	0	116	42	181	3.73	1.22	175
Wainwright, Adam SP STL 	Shits & Giggles	132.0	20	12	1	11	3	0	0	91	34	122	3.20	1.18	176
Balfour, Grant RP TB	Free Agent	58.3	0	0	0	6	2	4	1	82	24	28	1.54	0.89	177
Street, Huston RP COL	Evil Empire	70.0	0	0	0	7	5	18	7	69	27	58	3.73	1.21	178
Bush, Dave SP MIL	Free Agent	185.0	29	16	0	9	10	0	0	109	48	163	4.18	1.14	181
Howell, J.P. RP TB	Grape Apes	89.3	0	0	0	6	1	3	2	92	39	62	2.22	1.13	182
Zambrano, Carlos SP CHC	Whiteness	188.7	30	17	1	14	6	0	0	130	72	172	3.91	1.29	183
Wheeler, Dan RP TB	Free Agent	66.3	0	0	0	5	6	13	5	53	22	44	3.12	0.99	185
Hernandez, Felix SP SEA 	Evil Empire	200.7	31	19	2	9	11	0	0	175	80	198	3.45	1.39	186
Wakefield, Tim SP BOS 	Free Agent	181.0	30	18	1	10	11	0	0	117	60	154	4.13	1.18	188
Kuo, Hong-Chih RP LA	Free Agent	80.0	3	0	0	5	3	1	2	96	21	60	2.14	1.01	190
Cain, Matt SP SF	Titty`s Warriors	217.7	34	21	1	8	14	0	0	186	91	206	3.76	1.36	194
Saito, Takashi RP BOS 	Free Agent	47.0	0	0	0	4	4	18	4	60	16	40	2.49	1.19	195
Broxton, Jonathan RP LA	Titty`s Warriors	69.0	0	0	0	3	5	14	8	88	27	54	3.13	1.17	197
Sherrill, George RP LA	Free Agent	53.3	0	0	0	3	5	31	6	58	33	47	4.72	1.50	199
Percival, Troy RP TB 	Shits & Giggles	45.7	0	0	0	2	1	28	4	38	27	29	4.53	1.23	200
Jurrjens, Jair SP ATL	User Abuser	188.3	31	17	0	13	10	0	0	139	70	188	3.68	1.37	201
Qualls, Chad RP ARI 	SA`s	73.7	0	0	0	4	8	9	8	71	18	61	2.81	1.07	203
Rauch, Jon RP MIN	Free Agent	71.7	0	0	0	4	8	18	6	66	16	69	4.14	1.19	209
Ziegler, Brad RP OAK	Free Agent	59.7	0	0	0	3	0	11	2	30	22	47	1.06	1.16	211
Cook, Aaron SP COL	Shits & Giggles	211.3	32	18	2	16	9	0	0	96	48	236	3.96	1.34	214
Pelfrey, Mike SP NYM 	Free Agent	200.7	32	19	2	13	11	0	0	110	64	209	3.72	1.36	216
Vazquez, Javier SP ATL 	Titty`s Warriors	208.3	33	17	1	12	16	0	0	200	61	214	4.67	1.32	217
Weaver, Jered SP ANA	Blue Crew	176.7	30	14	0	11	10	0	0	152	54	173	4.33	1.28	219
Arredondo, Jose RP ANA	Free Agent	61.0	0	0	0	10	2	0	7	55	22	42	1.62	1.05	220
Rodriguez, Wandy SP HOU	Shits & Giggles	137.3	25	10	0	9	7	0	0	131	44	136	3.54	1.31	221
Sonnanstine, Andy SP TB	Free Agent	193.3	32	13	1	13	9	0	0	124	37	212	4.38	1.29	222
Buchholz, Taylor RP COL 	Free Agent	66.3	0	0	0	6	6	1	2	56	18	45	2.17	0.95	224
Campillo, Jorge RP ATL 	Free Agent	158.7	25	10	1	8	7	0	0	107	38	158	3.91	1.24	226
Devine, Joey RP OAK 	Blue Crew	45.7	0	0	0	6	1	1	1	49	15	23	0.59	0.83	228
Chamberlain, Joba SP NYY 	Sofa Kings	100.3	12	7	0	4	3	0	1	118	39	87	2.60	1.26	230
Looper, Braden SP MIL 	Free Agent	199.0	33	15	1	12	14	0	0	108	45	216	4.16	1.31	236
Jimenez, Ubaldo SP COL	Disco Bush Horticulturists	198.7	34	18	1	12	12	0	0	172	103	182	3.99	1.43	239
Morrow, Brandon SP SEA	Sofa Kings	64.7	5	2	0	3	4	10	2	75	34	40	3.34	1.14	245
Thornton, Matt RP CHW	Shits & Giggles	67.3	0	0	0	5	3	1	5	77	19	48	2.67	0.99	247
Lyon, Brandon RP DET 	Free Agent	59.3	0	0	0	3	5	26	5	44	13	75	4.70	1.48	249
Wolf, Randy SP LA 	Want-a-be Ghetto All Stars	190.3	33	18	1	12	12	0	0	162	71	191	4.30	1.38	250
Carlson, Jesse RP TOR	Free Agent	60.0	0	0	0	7	2	2	0	55	21	41	2.25	1.03	252
Franklin, Ryan RP STL	Shits & Giggles	78.7	0	0	0	6	6	17	8	51	30	86	3.55	1.47	256
Lannan, John SP WAS	Free Agent	182.0	31	21	0	9	15	0	0	117	72	172	3.91	1.34	257
Perez, Oliver SP NYM 	Free Agent	194.0	34	17	0	10	7	0	0	180	105	167	4.22	1.40	258
Downs, Scott RP TOR 	Whiteness	70.7	0	0	0	0	3	5	4	57	27	54	1.78	1.15	260
Wade, Cory RP LA	Free Agent	71.3	0	0	0	2	1	0	1	51	15	51	2.27	0.93	261
Olsen, Scott SP WAS 	Free Agent	201.7	33	17	0	8	11	0	0	113	69	195	4.20	1.31	268
Hanrahan, Joel RP PIT	Free Agent	84.3	0	0	0	6	3	9	4	93	42	73	3.95	1.36	276
Blackburn, Nick SP MIN	Free Agent	193.3	33	19	0	11	11	0	0	96	39	224	4.05	1.36	278
Francisco, Frank RP TEX	Evil Empire	63.3	0	0	0	3	5	5	6	83	26	47	3.13	1.15	279
Pettitte, Andy SP NYY 	Evil Empire	204.0	33	18	0	14	14	0	0	158	55	233	4.54	1.41	280
Grabow, John RP CHC 	Free Agent	76.0	0	0	0	6	3	4	4	62	37	60	2.84	1.28	286
Maine, John SP NYM	Free Agent	140.0	25	11	0	10	8	0	0	122	67	122	4.18	1.35	289
Adams, Mike M. RP SD	Free Agent	65.3	0	0	0	2	3	0	2	74	19	49	2.48	1.04	291
Myers, Brett SP PHI 	User Abuser	190.0	30	15	2	10	13	0	0	163	65	197	4.55	1.38	292
Masterson, Justin SP CLE	User Abuser	88.3	9	5	0	6	5	0	1	68	40	68	3.16	1.22	296
Oliver, Darren RP ANA 	Free Agent	72.0	0	0	0	7	1	0	2	48	16	67	2.88	1.15	299
Smith, Greg SP COL 	Free Agent	190.3	32	13	2	7	16	0	0	111	87	169	4.16	1.34	300
Perez, Rafael RP CLE	Free Agent	76.3	0	0	0	4	4	2	5	86	23	67	3.54	1.18	304
Arroyo, Bronson SP CIN	SA`s	200.0	34	18	1	15	11	0	0	163	68	219	4.77	1.44	310
Shields, Scot RP ANA 	Free Agent	63.3	0	0	0	6	4	4	5	64	29	56	2.70	1.34	312
Putz, J.J. RP NYM 	Free Agent	46.3	0	0	0	6	5	15	8	56	28	46	3.88	1.60	313
Madson, Ryan RP PHI 	Blue Crew	82.7	0	0	0	4	2	1	2	67	23	79	3.05	1.23	315
Delcarmen, Manny RP BOS	Free Agent	74.3	0	0	0	1	2	2	3	72	28	55	3.27	1.12	317
Ramirez, Ramon RP BOS	Free Agent	71.7	0	0	0	3	2	1	4	70	31	57	2.64	1.23	318
Rowland-Smith, Ryan SP SEA	Free Agent	118.3	12	8	0	5	3	2	1	77	48	114	3.42	1.37	319
Marte, Damaso RP NYY	Free Agent	65.0	0	0	0	5	3	5	2	71	26	52	4.02	1.20	321
Durbin, Chad RP PHI	Free Agent	87.7	0	0	0	5	4	1	6	63	35	81	2.87	1.32	323
Young, Chris R. SP SD 	Blue Crew	102.3	18	9	1	7	6	0	0	93	48	84	3.96	1.29	324
Okajima, Hideki RP BOS	Free Agent	62.0	0	0	0	3	2	1	8	60	23	49	2.61	1.16	328
Nelson, Joe RP TB	Free Agent	54.0	0	0	0	3	1	1	4	60	22	42	2.00	1.19	329
Bell, Heath RP SD	Grape Apes	78.0	0	0	0	6	6	0	7	71	28	66	3.58	1.21	331
Verlander, Justin SP DET 	Want-a-be Ghetto All Stars	201.0	33	13	1	11	17	0	0	163	87	195	4.84	1.40	334
Byrd, Paul SP BOS 	Free Agent	180.0	30	13	1	11	12	0	0	82	34	204	4.60	1.32	335
Sampson, Chris RP HOU	Free Agent	117.3	11	4	0	6	4	0	2	61	23	118	4.22	1.20	338
Johnson, Jim R. RP BAL	Grape Apes	68.7	0	0	0	2	4	1	0	38	28	54	2.23	1.19	342
Gonzalez, Mike RP ATL 	Free Agent	33.7	0	0	0	0	3	14	2	44	14	26	4.28	1.19	345
Brocail, Doug RP HOU 	Free Agent	68.7	0	0	0	7	5	2	3	64	21	63	3.93	1.22	346
Dotel, Octavio RP CHW 	Free Agent	67.0	0	0	0	4	4	1	4	92	29	52	3.76	1.21	347
Shell, Steven RP WAS	Free Agent	50.0	0	0	0	2	2	2	1	41	20	34	2.16	1.08	348
Volstad, Chris SP FLA	Blue Crew	84.3	14	9	0	6	4	0	0	52	36	76	2.88	1.33	349
Wilson, C.J. RP TEX	User Abuser	46.3	0	0	0	2	2	24	4	41	27	49	6.02	1.64	351
Moehler, Brian SP HOU 	Free Agent	150.0	26	9	0	11	8	0	0	82	36	166	4.56	1.35	354
Geary, Geoff RP HOU	Free Agent	64.0	0	0	0	2	3	0	2	45	28	45	2.53	1.14	355
Johnson, Josh SP FLA	SA`s	87.3	14	10	1	7	1	0	0	77	27	91	3.61	1.35	358
Villanueva, Carlos SP MIL	Free Agent	108.3	9	3	0	4	7	1	0	93	30	112	4.07	1.31	359
Lewis, Jensen RP CLE	Free Agent	66.0	0	0	0	0	4	13	1	52	27	68	3.82	1.44	362
Park, Chan Ho SP PHI 	Free Agent	95.3	5	2	0	4	4	2	2	79	36	97	3.40	1.40	363
Romo, Sergio RP SF	Free Agent	34.0	0	0	0	3	1	0	0	33	8	16	2.12	0.71	364
Cueto, Johnny SP CIN	Disco Bush Horticulturists	174.0	31	14	0	9	14	0	0	158	68	178	4.81	1.41	368
Shouse, Brian RP TB 	Free Agent	51.3	0	0	0	5	1	2	3	33	14	46	2.81	1.17	370
Cruz, Juan RP KC	Free Agent	51.7	0	0	0	4	0	0	2	71	31	34	2.61	1.26	374
Padilla, Vicente SP LA 	Titty`s Warriors	171.0	29	12	1	14	8	0	0	127	65	185	4.74	1.46	375
Bedard, Erik SP SEA 	SA`s	81.0	15	7	0	6	4	0	0	72	37	70	3.67	1.32	379
Harang, Aaron SP CIN 	Titty`s Warriors	184.3	29	17	1	6	17	0	0	153	50	205	4.78	1.38	382
Bennett, Jeff RP TB	Free Agent	97.3	4	1	0	3	7	3	1	68	47	86	3.70	1.37	385
Corcoran, Roy RP SEA	Free Agent	72.7	0	0	0	6	2	3	2	39	36	65	3.22	1.39	387
Springer, Russ RP TB 	Free Agent	50.3	0	0	0	2	1	0	2	45	18	39	2.32	1.13	388
Gaudin, Chad SP NYY	Free Agent	90.0	6	4	0	9	5	0	1	71	27	92	4.40	1.32	389
Bruney, Brian RP NYY 	Free Agent	34.3	1	0	0	3	0	1	1	33	16	18	1.83	0.99	390
Wang, Chien-Ming SP NYY 	Free Agent	95.0	15	9	1	8	2	0	0	54	35	90	4.07	1.32	391
Jackson, Edwin SP DET	SA`s	183.3	31	15	0	14	11	0	1	108	77	199	4.42	1.51	393
Bradford, Chad RP TB 	Free Agent	59.3	0	0	0	4	3	0	2	17	15	59	2.12	1.25	397
Romero, J.C. RP PHI 	Free Agent	59.0	0	0	0	4	4	1	4	52	38	41	2.75	1.34	400
Grilli, Jason RP TEX 	Free Agent	75.0	0	0	0	3	3	1	1	69	38	67	3.00	1.40	401
Breslow, Craig A. RP OAK	Free Agent	47.0	0	0	0	0	2	1	1	39	19	34	1.91	1.13	403
Perez, Chris RP CLE	Free Agent	41.7	0	0	0	3	3	7	4	42	22	34	3.46	1.34	404
Blanton, Joe SP PHI 	SA`s	197.7	33	14	0	9	12	0	0	111	66	211	4.69	1.40	406
Ramirez, Edwar RP NYY	Free Agent	55.3	0	0	0	5	1	1	3	63	24	44	3.90	1.23	407
Rhodes, Arthur RP CIN 	Free Agent	35.3	0	0	0	4	1	2	1	40	16	28	2.04	1.25	409
Affeldt, Jeremy RP SF	Free Agent	78.3	0	0	0	1	1	0	1	80	25	78	3.33	1.31	412
McClung, Seth RP MIL	Free Agent	105.3	12	5	0	6	6	0	0	87	55	93	4.02	1.41	413
Eveland, Dana SP OAK	Free Agent	168.0	29	13	1	9	9	0	0	118	77	172	4.34	1.48	417
Smith, Joe RP CLE 	Free Agent	63.3	0	0	0	6	3	0	3	52	31	51	3.55	1.29	418
Reyes, Dennys RP STL	Free Agent	46.3	0	0	0	3	0	0	3	39	15	40	2.33	1.19	419
Parra, Manny SP MIL 	SA`s	166.0	29	10	0	10	8	0	0	147	75	181	4.39	1.54	421
Ohman, Will RP LA 	Free Agent	58.7	0	0	0	4	1	1	3	53	22	51	3.68	1.24	426
Sanchez, Jonathan O. SP SF	Grape Apes	158.0	29	13	0	9	12	0	0	157	75	154	5.01	1.45	429
Davies, Kyle SP KC 	Free Agent	113.0	21	8	0	9	7	0	0	71	43	121	4.06	1.45	430
Marquis, Jason SP COL 	User Abuser	167.0	28	12	0	11	9	0	0	91	70	172	4.53	1.45	431
Lindstrom, Matt RP FLA	Free Agent	57.3	0	0	0	3	3	5	1	43	26	57	3.14	1.45	435
McGowan, Dustin SP TOR 	Free Agent	111.3	19	9	1	6	7	0	0	85	38	115	4.37	1.37	438
Guardado, Eddie RP TEX 	Free Agent	56.3	0	0	0	4	4	4	1	33	19	50	4.15	1.22	439
Miner, Zach SP DET	Free Agent	118.0	13	8	0	8	5	0	2	62	46	118	4.27	1.39	442
De La Rosa, Jorge SP COL	Disco Bush Horticulturists	130.0	23	10	0	10	8	0	0	128	62	128	4.92	1.46	444
Perkins, Glen SP MIN 	Free Agent	151.0	26	12	0	12	4	0	0	74	39	183	4.41	1.47	445
Burton, Jared RP CIN	Free Agent	58.7	0	0	0	5	1	0	2	58	25	56	3.22	1.38	447
Baek, Cha Seung SP SD 	Free Agent	141.0	21	8	0	6	10	0	0	92	43	146	4.79	1.34	448
Marshall, Sean SP CHC	Free Agent	65.3	7	3	0	3	5	1	1	58	23	60	3.86	1.27	450
Perez, Odalis SP WAS	Free Agent	159.7	30	14	0	7	12	0	0	119	55	182	4.34	1.48	452
Scherzer, Max SP ARI	SA`s	56.0	7	3	0	0	4	0	0	66	21	48	3.05	1.23	453
Hawkins, LaTroy RP HOU 	Free Agent	62.0	0	0	0	3	1	1	1	48	22	53	3.92	1.21	454
Lopez, Aquilino RP DET	Free Agent	78.7	0	0	0	4	1	0	1	61	22	86	3.55	1.37	455
Reyes, Anthony SP CLE 	Free Agent	49.0	6	4	0	4	2	1	0	25	15	47	2.76	1.27	456
Petit, Yusmeiro SP SEA 	Free Agent	56.3	8	3	0	3	5	0	0	42	14	45	4.31	1.05	458
Liriano, Francisco SP MIN	Grape Apes	76.0	14	7	0	6	4	0	0	67	32	74	3.91	1.39	459
Carlyle, Buddy RP ATL 	Free Agent	62.7	0	0	0	2	0	0	0	59	26	52	3.59	1.24	460
Redding, Tim SP NYM	Free Agent	182.0	33	14	1	10	11	0	0	120	65	195	4.95	1.43	462
Contreras, Jose A. SP COL 	Free Agent	121.0	20	11	1	7	6	0	0	70	35	130	4.54	1.36	463
Linebrink, Scott RP CHW	Free Agent	46.3	0	0	0	2	2	1	3	40	9	41	3.69	1.08	464
Lopez, Javier RP BOS	Free Agent	59.3	0	0	0	2	0	0	1	38	27	53	2.43	1.35	465
Beimel, Joe RP COL 	Free Agent	49.0	0	0	0	5	1	0	0	32	21	50	2.02	1.45	466
Rodney, Fernando RP DET 	Floaters and Sinkers	40.3	0	0	0	0	6	13	6	49	30	34	4.91	1.59	470
Veras, Jose RP CLE	Free Agent	57.7	0	0	0	5	3	0	2	63	29	52	3.59	1.40	471
Nunez, Leo RP FLA	Free Agent	48.3	0	0	0	4	1	0	3	26	15	45	2.98	1.24	472
Mahay, Ron RP MIN 	Free Agent	64.7	0	0	0	5	0	0	1	49	29	61	3.48	1.39	473
Crain, Jesse RP MIN	Free Agent	62.7	0	0	0	5	4	0	3	50	24	62	3.59	1.37	475
Pena, Tony A. RP CHW	Free Agent	72.7	0	0	0	3	2	3	5	52	17	80	4.33	1.33	479
Gagne, Eric RP MIL	Free Agent	46.3	0	0	0	4	3	10	7	38	22	46	5.44	1.47	481
Tallet, Brian SP TOR	Free Agent	56.3	0	0	0	1	2	0	0	47	22	52	2.88	1.31	483
Waechter, Doug RP KC 	Free Agent	63.3	0	0	0	4	2	0	1	46	21	63	3.69	1.33	484
Kobayashi, Masa RP CLE 	Free Agent	55.7	0	0	0	4	5	6	3	35	14	65	4.53	1.42	492
Tejeda, Robinson SP KC	Free Agent	45.3	1	0	0	2	2	0	1	45	24	27	3.97	1.12	493
Kershaw, Clayton SP LA 	Floaters and Sinkers	107.7	21	8	0	5	5	0	0	100	52	109	4.26	1.50	495
Acosta, Manny RP ATL	Free Agent	53.0	0	0	0	3	5	3	2	31	26	48	3.57	1.40	496
Smoltz, John SP STL 	Sofa Kings	28.0	5	2	0	3	2	0	1	36	8	25	2.57	1.18	497
Mota, Guillermo RP LA 	Free Agent	57.0	0	0	0	5	6	1	3	50	28	52	4.11	1.40	501
Walker, Tyler RP PHI 	Free Agent	53.3	0	0	0	5	8	0	4	49	21	47	4.56	1.27	503
Yabu, Keiichi RP SF	Free Agent	68.0	0	0	0	3	6	0	1	48	32	63	3.57	1.40	504
Davis, Doug SP ARI 	Disco Bush Horticulturists	146.0	26	14	0	6	8	0	0	112	64	160	4.32	1.53	507
Sanchez, Duaner RP SD	Free Agent	58.3	0	0	0	5	1	0	1	44	23	54	4.32	1.32	509
McClellan, Kyle RP STL	Free Agent	75.7	0	0	0	2	7	1	5	59	26	79	4.04	1.39	510
Rivera, Saul RP WAS	Free Agent	84.0	0	0	0	5	6	0	6	65	35	90	3.96	1.49	514
Schoeneweis, Scott RP ARI 	Free Agent	56.7	0	0	0	2	6	1	4	34	23	55	3.34	1.38	515
Lewis, Scott SP CLE 	Free Agent	24.0	4	2	0	4	0	0	0	15	6	20	2.62	1.08	516
Lincoln, Mike RP CIN 	Free Agent	70.3	0	0	0	2	5	0	1	57	24	66	4.48	1.28	518
Blevins, Jerry RP OAK	Free Agent	37.7	0	0	0	1	3	0	1	35	13	32	3.11	1.19	519
Garland, Jon SP LA 	Free Agent	196.7	32	18	1	14	8	0	0	90	59	237	4.90	1.51	521
Weathers, David RP MIL 	Free Agent	69.3	0	0	0	4	6	0	4	46	30	76	3.25	1.53	524
League, Brandon RP TOR	Free Agent	33.0	0	0	0	1	2	1	0	23	15	28	2.18	1.30	525
Eyre, Scott RP PHI 	Free Agent	25.7	0	0	0	5	0	0	2	32	7	23	4.21	1.17	526
Corpas, Manny RP COL 	Free Agent	79.7	0	0	0	3	4	4	9	50	23	93	4.52	1.46	527
Coke, Phil RP NYY	Free Agent	14.7	0	0	0	1	0	0	0	14	2	8	0.61	0.68	531
Betancourt, Rafael RP COL 	Free Agent	71.0	0	0	0	3	4	4	4	64	25	76	5.07	1.42	532
Ramirez, Ramon A. RP TB 	Free Agent	27.0	4	3	0	1	1	0	0	21	11	17	2.67	1.04	534
Byrdak, Tim RP HOU	Free Agent	55.3	0	0	0	2	1	0	0	47	29	45	3.90	1.34	536
Condrey, Clay RP PHI	Free Agent	69.0	0	0	0	3	4	1	0	34	19	85	3.26	1.51	537
Albers, Matt RP BAL	Free Agent	49.0	3	1	0	3	3	0	2	26	22	43	3.49	1.33	538
Washburn, Jarrod SP DET 	Free Agent	153.7	26	14	1	5	14	1	0	87	50	174	4.69	1.46	539
Miller, Trever RP STL	Free Agent	43.3	0	0	0	2	0	2	1	44	20	39	4.15	1.36	540
Braden, Dallas SP OAK 	Want-a-be Ghetto All Stars	71.7	10	4	0	5	4	0	0	41	25	77	4.14	1.42	541
Laffey, Aaron SP CLE	SA`s	93.7	16	10	0	5	7	0	0	43	31	103	4.23	1.43	545
Giese, Dan RP OAK 	Free Agent	43.3	3	2	0	1	3	0	0	29	14	39	3.53	1.22	547
Isringhausen, Jason RP TB 	Free Agent	42.7	0	0	0	1	5	12	7	36	22	48	5.70	1.64	549
Aceves, Alfredo RP NYY	Free Agent	30.0	4	3	0	1	0	0	0	16	10	25	2.40	1.17	552
Seanez, Rudy RP ANA	Free Agent	43.3	0	0	0	5	4	0	1	30	25	38	3.53	1.45	553
Westbrook, Jake SP CLE 	Free Agent	34.7	5	4	1	1	2	0	0	19	7	33	3.12	1.15	554
