All Relief Pitchers 3 Year Averages MLB Standard Stats
Player,Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Medlen, Kris RP ATL"	Shits & Giggles	82.7	9	6	1	5	1	0	0	68	15	71	2.504	1.0403	341
"Wilhelmsen, Tom RP SEA "	Free Agent	56.0	0	0	0	3	2	14	2	58	21	42	2.732	1.1250	342
"Adams, Mike RP PHI"	Free Agent	64.3	0	0	0	5	3	1	3	64	18	49	2.098	1.0415	347
"Davis, Wade RP KC"	Free Agent	140.7	19	10	0	9	7	0	0	102	51	134	3.967	1.3152	353
"Hernandez, David RP ARI"	Orange-a-Tangs	72.3	3	1	0	5	5	6	4	82	31	56	3.484	1.2028	354
"Janssen, Casey RP TOR "	Sofa Kings	62.7	0	0	0	4	1	8	2	61	15	55	2.872	1.1170	360
"Kendrick, Kyle SP PHI "	Whiteness	151.7	24	11	1	10	9	0	0	86	43	154	4.035	1.2989	369
"Benoit, Joaquin RP DET"	Free Agent	64.0	0	0	0	3	3	2	4	74	17	45	2.672	0.9688	370
"Belisle, Matt RP COL"	Free Agent	81.3	0	0	0	7	6	1	5	73	16	84	3.320	1.2295	374
"Dotel, Octavio RP DET"	Free Agent	58.7	0	0	0	4	4	9	3	66	20	46	3.682	1.1250	382
"Frieri, Ernesto RP LAA "	Old Dirty Bugg	53.7	0	0	0	2	2	8	1	72	27	35	2.348	1.1553	385
"Phelps, David RP NYY "	Disco Bush Horticulturists	99.7	11	2	0	4	4	0	0	96	38	81	3.341	1.1940	388
"Oviedo, Juan Carlos RP TB "	Free Agent	43.0	0	0	0	2	2	22	5	42	14	40	3.767	1.2558	392
"Gregerson, Luke RP SD"	Free Agent	68.7	0	0	0	3	3	4	4	65	19	54	2.752	1.0631	397
"Uehara, Koji RP BOS"	Free Agent	48.3	0	0	0	1	2	5	1	61	6	32	2.421	0.7862	409
"Madson, Ryan RP LAA "	Free Agent	38.0	0	0	0	3	1	12	2	42	10	32	2.368	1.1053	410
"Lopez, Wilton RP COL"	Free Agent	68.0	0	0	0	4	4	4	4	53	10	66	2.647	1.1176	413
"Holland, Greg RP KC"	Free Agent	48.7	0	0	0	4	2	7	2	63	20	39	2.959	1.2123	416
"Aceves, Alfredo RP BOS "	Free Agent	70.0	1	0	0	5	4	9	4	52	26	58	3.729	1.2000	417
"Peralta, Joel RP TB "	Free Agent	61.3	0	0	0	2	3	3	2	65	15	41	2.935	0.9130	419
"Broxton, Jonathan RP CIN "	Titty`s Warriors	44.3	0	0	0	3	4	19	5	43	18	45	3.451	1.4211	421
"Mujica, Edward RP STL"	Free Agent	70.3	0	0	0	4	3	1	3	61	11	60	3.199	1.0095	422
"Ross, Robbie RP TEX "	Free Agent	65.0	0	0	0	6	0	0	0	47	23	55	2.215	1.2000	427
"Thornton, Matt RP CHW "	Free Agent	61.7	0	0	0	4	6	5	3	66	19	55	3.211	1.2000	428
"Nathan, Joe RP TEX "	Titty`s Warriors	36.3	0	0	0	2	2	17	2	40	9	31	3.716	1.1009	429
"Robertson, David RP NYY"	Free Agent	63.0	0	0	0	3	4	1	3	84	29	50	2.429	1.2540	431
"Garcia, Freddy SP SD "	Free Agent	137.0	23	13	0	10	7	0	0	91	42	145	4.402	1.3650	434
"Rauch, Jon RP MIA "	Free Agent	55.7	0	0	0	4	4	12	4	41	13	54	3.880	1.2036	456
"Crain, Jesse RP CHW"	Free Agent	60.3	0	0	0	4	2	1	4	64	27	44	2.685	1.1768	457
"Oliver, Darren RP TOR"	Free Agent	56.3	0	0	0	3	4	2	3	54	14	48	2.237	1.1006	461
"Bailey, Andrew RP BOS"	Disco Bush Horticulturists	35.3	0	0	0	1	3	18	3	32	11	30	3.057	1.1604	462
"Farnsworth, Kyle RP TB "	Want-a-be Ghetto All Stars	49.7	0	0	0	3	3	8	3	46	15	41	3.080	1.1275	465
"Downs, Scott RP LAA"	Free Agent	53.7	0	0	0	4	3	3	3	38	15	43	2.348	1.0807	468
"Takahashi, Hisanori RP CHC"	Free Agent	80.0	4	2	0	5	4	3	1	73	27	74	3.938	1.2625	470
"Cook, Ryan RP OAK"	Free Agent	40.7	0	0	0	3	2	7	4	44	18	26	2.656	1.0820	471
"Walden, Jordan RP ATL"	Want-a-be Ghetto All Stars	38.3	0	0	0	3	3	11	4	46	17	32	3.052	1.2783	473
"Zambrano, Carlos SP MIA"	Free Agent	136.0	21	12	0	9	8	0	0	104	67	132	4.235	1.4632	474
"O'Flaherty, Eric RP ATL"	Free Agent	58.3	0	0	0	3	2	0	3	50	19	48	1.543	1.1486	476
"Blackley, Travis SP OAK "	Titty`s Warriors	107.7	15	6	0	6	4	0	0	71	32	98	4.096	1.2074	477
"O'Day, Darren RP BAL"	Free Agent	48.7	0	0	0	4	1	0	1	44	10	36	2.589	0.9452	483
"Francisco, Frank RP NYM "	Want-a-be Ghetto All Stars	48.7	0	0	0	3	4	14	4	53	19	48	4.253	1.3767	490
"Perkins, Glen RP MIN "	Evil Empire	51.3	0	0	0	3	2	6	2	52	14	47	2.981	1.1883	491
"Smyly, Drew SP DET "	Free Agent	99.3	18	7	0	4	3	0	0	94	33	93	3.987	1.2685	494
"Salas, Fernando RP STL"	Free Agent	54.7	0	0	0	2	3	8	3	55	21	45	3.293	1.2073	500
"Gorzelanny, Tom RP MIL"	Sofa Kings	104.3	13	6	0	5	6	1	0	92	44	101	3.796	1.3898	501
"Villanueva, Carlos RP CHC"	Orange-a-Tangs	95.0	10	5	0	5	4	0	1	86	33	88	4.168	1.2737	505
"Fuentes, Brian RP STL"	Free Agent	45.3	0	0	0	3	4	14	3	38	18	40	4.169	1.2794	506
"Gregg, Kevin RP LAD"	Free Agent	54.0	0	0	0	2	4	20	4	49	31	53	4.167	1.5556	509
"Johnson, Steve RP BAL "	Free Agent	38.3	4	2	0	4	0	0	0	46	18	23	2.113	1.0696	518
"Duensing, Brian RP MIN"	Free Agent	133.7	17	9	1	8	10	0	0	87	38	147	4.377	1.3840	520
"Santos, Sergio RP TOR"	Whiteness	40.0	0	0	0	2	3	11	3	51	20	33	3.600	1.3250	522
"Grilli, Jason RP PIT "	Free Agent	45.7	0	0	0	2	4	2	2	64	18	34	2.759	1.1387	523
"Corbin, Patrick SP ARI "	Free Agent	107.0	17	7	0	6	8	1	0	86	25	117	4.542	1.3271	533
"Bastardo, Antonio RP PHI "	Free Agent	43.0	0	0	0	3	2	3	2	59	20	29	3.558	1.1395	534
"Estrada, Marco SP MIL"	User Abuser	80.7	10	5	0	3	5	0	1	81	21	75	4.128	1.1901	539
"Kelly, Joe SP STL"	Free Agent	107.0	16	10	0	5	7	0	0	75	36	112	3.533	1.3832	545
"Detwiler, Ross SP WAS "	User Abuser	86.7	14	6	0	5	5	0	0	54	29	82	3.427	1.2808	546
"Lowe, Derek SP NYY"	Free Agent	174.3	29	14	0	11	13	0	0	109	61	199	4.698	1.4914	548
"Tomlin, Josh SP CLE "	Free Agent	114.0	18	10	0	8	6	0	0	63	22	118	4.974	1.2281	551
"Ayala, Luis RP BAL"	Free Agent	65.3	0	0	0	4	4	0	2	45	17	66	2.480	1.2704	552
"Smith, Joe RP CLE "	Free Agent	58.0	0	0	0	4	3	0	2	43	23	45	2.793	1.1724	553
"Ziegler, Brad RP ARI"	Free Agent	62.7	0	0	0	4	3	0	2	42	23	54	2.585	1.2287	559
"Bard, Daniel SP BOS "	Free Agent	69.0	3	1	0	3	6	1	4	63	32	50	3.652	1.1884	561
"Collins, Tim RP KC"	Free Agent	68.3	0	0	0	4	4	0	2	76	41	54	3.424	1.3902	563
"Cishek, Steve RP MIA"	Free Agent	41.0	0	0	0	2	1	6	1	42	16	33	2.634	1.1951	566
"Parnell, Bobby RP NYM "	Free Agent	54.3	0	0	0	3	4	4	4	53	18	55	2.982	1.3436	571
"Arredondo, Jose RP CIN"	Free Agent	57.0	0	0	0	5	3	0	1	55	32	46	3.158	1.3684	572
"Lyon, Brandon RP NYM"	Free Agent	50.7	0	0	0	4	4	8	3	41	19	50	3.908	1.3618	573
"Boggs, Mitchell RP STL"	Free Agent	67.0	0	0	0	3	2	1	2	53	23	59	3.090	1.2239	574
"Lopez, Javier RP SF "	Free Agent	49.0	0	0	0	4	1	3	1	35	20	43	2.571	1.2857	575
"Cecil, Brett RP TOR"	Free Agent	119.3	19	11	1	7	7	0	0	85	40	122	4.676	1.3575	576
"Burnett, Sean RP LAA "	Free Agent	58.7	0	0	0	2	5	3	3	51	18	55	2.761	1.2443	579
"Pestano, Vinnie RP CLE"	Free Agent	45.7	0	0	0	1	2	2	2	56	18	33	2.562	1.1168	580
"Melancon, Mark RP PIT "	Free Agent	47.0	0	0	0	3	2	7	2	43	15	43	4.021	1.2340	583
"Hernandez, Livan RP MIL"	Free Agent	151.3	21	12	1	7	9	0	0	87	42	166	4.401	1.3744	584
"Loe, Kameron RP SEA"	Free Agent	66.3	0	0	0	4	6	1	5	54	17	66	3.663	1.2513	585
"Brothers, Rex RP COL"	Free Agent	54.0	0	0	0	4	2	0	4	71	28	48	3.500	1.4074	586
"Hunter, Tommy SP BAL "	Disco Bush Horticulturists	115.3	18	8	0	8	5	0	1	63	25	129	4.604	1.3353	588
"Affeldt, Jeremy RP SF"	Free Agent	58.3	0	0	0	3	2	3	2	52	24	53	3.086	1.3200	590
"Breslow, Craig RP BOS "	Free Agent	65.7	0	0	0	2	2	2	2	59	24	58	3.152	1.2487	594
"Ramirez, Ramon RP SF"	Free Agent	67.3	0	0	0	2	3	3	1	55	29	55	3.208	1.2475	595
"McClellan, Kyle RP TEX "	Free Agent	78.7	6	3	0	4	4	1	1	49	25	72	3.661	1.2331	598
"Logan, Boone RP NYY"	Free Agent	45.7	0	0	0	5	2	0	2	51	20	42	3.350	1.3577	599
"Hensley, Clay RP CIN"	Free Agent	64.3	3	0	0	4	5	3	2	55	30	55	3.917	1.3212	605
"Reed, Addison RP CHW"	Orange-a-Tangs	31.3	0	0	0	2	1	14	2	33	10	34	4.596	1.4043	606
"Veras, Jose RP HOU "	Free Agent	62.0	0	0	0	3	4	1	3	71	34	49	3.774	1.3387	611
"Ondrusek, Logan RP CIN"	Free Agent	58.3	0	0	0	5	2	1	2	40	26	52	3.394	1.3371	618
"Williams, Jerome RP LAA "	Free Agent	90.7	10	6	0	5	4	0	0	63	25	92	4.368	1.2904	622
"Herrera, Kelvin RP KC"	Free Agent	43.3	0	0	0	2	2	2	0	38	10	40	2.492	1.1538	623
"Ramirez, Erasmo SP SEA "	Free Agent	59.0	8	5	0	1	3	0	0	48	12	47	3.356	1.0000	626
"Lindstrom, Matt RP CHW"	Free Agent	51.3	0	0	0	2	2	8	3	40	16	55	3.331	1.3831	629
"Watson, Tony RP PIT"	Free Agent	47.3	0	0	0	4	2	0	2	45	22	36	3.613	1.2254	631
"Sipp, Tony RP ARI"	Free Agent	60.0	0	0	0	3	2	1	1	59	29	47	3.900	1.2667	633
"Belisario, Ronald RP LAD"	Free Agent	42.0	0	0	0	4	1	1	2	36	16	33	3.643	1.1667	635
"Stammen, Craig RP WAS"	Free Agent	75.7	6	3	0	4	2	0	0	61	27	75	3.806	1.3480	637
"Guerra, Javy RP LAD"	Free Agent	30.7	0	0	0	1	2	10	2	25	14	27	2.348	1.3370	638
"Camp, Shawn RP CHC"	Free Agent	72.0	0	0	0	4	4	2	3	44	20	76	3.625	1.3333	642
"Humber, Philip SP HOU"	Free Agent	95.7	14	7	0	5	5	0	0	72	31	95	4.704	1.3171	646
"Simon, Alfredo RP CIN"	Free Agent	75.3	5	2	0	4	4	6	1	57	28	82	4.301	1.4602	648
"McGee, Jake RP TB"	Free Agent	29.3	0	0	0	3	1	0	1	35	9	22	2.761	1.0568	650
"Stults, Eric SP SD"	Floaters and Sinkers	55.3	8	5	0	4	2	0	0	31	16	52	3.253	1.2289	656
"LeCure, Sam RP CIN"	Free Agent	61.0	3	1	0	2	3	0	0	57	23	51	3.688	1.2131	658
"LeBlanc, Wade RP MIA"	Free Agent	98.0	16	8	0	5	8	0	0	68	33	104	4.224	1.3980	663
"Furbush, Charlie RP SEA"	Free Agent	66.0	6	1	0	4	6	0	0	60	23	62	4.500	1.2879	664
"Albers, Matt RP CLE"	Free Agent	67.0	0	0	0	4	3	0	4	54	29	62	3.896	1.3582	670
"Delabar, Steve RP TOR"	Free Agent	36.7	0	0	0	2	2	0	1	50	15	26	3.682	1.1182	672
"Guerrier, Matt RP LAD"	Free Agent	50.3	0	0	0	3	4	1	3	34	18	41	3.576	1.1722	675
"Jones, Nate RP CHW"	Free Agent	36.0	0	0	0	4	0	0	2	32	16	34	2.500	1.3889	678
"Padilla, Vicente RP BOS"	Free Agent	51.3	5	3	0	3	2	1	1	48	15	48	4.208	1.2273	679
"Lindblom, Josh RP TEX"	Free Agent	50.3	0	0	0	2	2	0	2	49	22	41	3.219	1.2517	681
"Vincent, Nick RP SD"	Free Agent	26.3	0	0	0	2	0	0	1	28	7	19	1.709	0.9873	682
"Avilan, Luis RP ATL"	Free Agent	36.0	0	0	0	1	0	0	0	33	10	27	2.000	1.0278	684
"Hoover, J.J. RP CIN"	Free Agent	30.7	0	0	0	1	0	1	1	31	13	17	2.054	0.9783	686
"Santiago, Hector RP CHW "	Free Agent	38.0	2	0	0	2	0	2	1	40	20	28	3.079	1.2632	689
"Blevins, Jerry RP OAK"	Free Agent	47.3	0	0	0	2	1	1	0	42	19	41	3.042	1.2676	692
"Coleman, Louis RP KC"	Free Agent	55.3	0	0	0	0	2	0	0	64	26	42	3.253	1.2289	697
"Martinez, Cristhian RP ATL"	Free Agent	59.0	0	0	0	2	2	0	0	48	15	55	3.814	1.1864	698
"Isringhausen, Jason RP LAA"	Free Agent	46.0	0	0	0	3	2	4	4	38	22	40	4.109	1.3478	701
"Crow, Aaron RP KC "	Free Agent	42.3	0	0	0	2	2	1	4	43	18	36	3.189	1.2756	703
"Layne, Tom RP SD"	Free Agent	16.7	0	0	0	2	0	2	1	25	3	9	3.240	0.7200	709
"Kuo, Hong-Chih RP SEA"	Free Agent	29.0	0	0	0	1	1	4	1	36	14	18	3.724	1.1034	712
"Badenhop, Burke RP MIL"	Free Agent	64.7	0	0	0	2	3	1	1	47	19	63	3.758	1.2680	718
"Moscoso, Guillermo RP KC "	Free Agent	59.7	8	4	0	4	4	0	0	41	20	57	4.223	1.2905	720
"Henderson, Jim RP MIL "	Free Agent	30.7	0	0	0	1	3	3	4	45	13	26	3.522	1.2717	722
"Russell, James RP CHC"	Free Agent	62.0	2	0	0	3	3	1	2	47	16	66	4.064	1.3226	724
"Meek, Evan RP TEX"	Free Agent	37.7	0	0	0	2	2	1	2	32	16	31	2.867	1.2478	729
"Frasor, Jason RP TEX"	Free Agent	55.7	0	0	0	2	3	1	3	58	25	54	3.719	1.4192	730
"Alburquerque, Al RP DET"	Free Agent	19.0	0	0	0	2	0	0	0	28	12	9	1.421	1.1053	731
"Bass, Anthony SP SD"	Free Agent	72.7	9	2	0	2	4	0	0	52	30	65	3.716	1.3073	733
"Atchison, Scott RP NYM"	Free Agent	47.3	0	0	0	2	1	0	0	31	11	44	3.232	1.1620	734
"Franklin, Ryan RP STL"	Free Agent	31.0	0	0	0	2	2	9	2	20	6	34	4.936	1.2903	736
"Masset, Nick RP CIN"	Free Agent	49.0	0	0	0	2	3	1	3	49	21	47	3.490	1.3878	737
"Lidge, Brad RP WAS"	Free Agent	24.7	0	0	0	0	1	10	2	28	16	20	3.284	1.4595	738
"Saito, Takashi RP ARI"	Free Agent	31.0	0	0	0	2	2	0	1	34	10	26	3.194	1.1613	743
"Acosta, Manny RP NYM"	Free Agent	44.7	0	0	0	3	2	2	2	45	19	43	4.433	1.3881	744
"Perez, Rafael RP MIN "	Free Agent	44.0	0	0	0	4	1	0	2	24	16	45	3.068	1.3864	745
"Wood, Kerry RP CHC"	Free Agent	35.3	0	0	0	2	4	3	4	37	20	29	3.566	1.3868	747
"Choate, Randy RP STL"	Free Agent	36.0	0	0	0	2	1	0	1	36	16	28	3.250	1.2222	748
"Hughes, Jared RP PIT"	Free Agent	43.3	0	0	0	1	2	1	1	30	13	37	2.908	1.1538	751
"Coke, Phil RP DET"	Free Agent	75.7	5	2	0	4	6	1	2	58	28	85	4.163	1.4934	752
"Wells, Randy RP TEX "	Free Agent	119.3	20	9	1	5	7	0	0	80	45	128	4.601	1.4497	753
"Aardsma, David RP NYY"	Free Agent	17.0	0	0	0	0	2	10	2	17	9	11	3.706	1.1765	754
"Burton, Jared RP MIN"	Free Agent	23.3	0	0	0	1	1	2	1	20	6	16	2.314	0.9429	758
"Sanchez, Eduardo RP STL"	Free Agent	22.7	0	0	0	2	1	2	1	24	14	12	3.176	1.1471	760
"Webb, Ryan RP MIA"	Free Agent	56.7	0	0	0	3	3	0	2	40	20	61	3.335	1.4294	764
"Stutes, Michael RP PHI"	Free Agent	34.0	0	0	0	3	1	0	0	32	16	28	3.706	1.2941	767
"Contreras, Jose RP PIT "	Free Agent	28.0	0	0	0	2	1	3	0	28	9	26	3.857	1.2500	768
"Chamberlain, Joba RP NYY"	Free Agent	40.3	0	0	0	2	1	1	2	41	12	40	4.016	1.2893	774
"Wright, Jamey RP TB"	Free Agent	64.7	0	0	0	3	3	0	2	43	28	63	3.619	1.4072	775
"Rodriguez, Henry RP WAS"	Free Agent	41.0	0	0	0	2	2	4	2	45	27	33	4.390	1.4634	776
"Arrieta, Jake SP BAL "	Free Agent	111.3	19	9	0	6	8	0	0	85	47	114	5.335	1.4461	777
"Durbin, Chad RP PHI"	Free Agent	66.0	0	0	0	3	1	0	1	57	27	67	4.227	1.4242	779
"Tolleson, Shawn RP LAD"	Free Agent	37.7	0	0	0	3	1	0	0	39	20	30	4.301	1.3274	781
"Owings, Micah RP WAS "	Free Agent	35.3	1	0	0	4	1	0	0	29	18	31	4.075	1.3868	783
"Thatcher, Joe RP SD"	Free Agent	25.7	0	0	0	1	1	0	0	31	9	20	2.454	1.1299	788
"Coffey, Todd RP LAD "	Free Agent	47.0	0	0	0	3	2	0	1	40	17	46	4.213	1.3404	790
"Pauley, David RP TOR"	Free Agent	60.3	5	2	0	3	5	0	1	34	19	60	3.878	1.3094	792
"Jenks, Bobby RP BOS"	Free Agent	22.7	0	0	0	1	2	9	2	26	10	25	4.765	1.5441	794
"Sanches, Brian RP KC"	Free Agent	44.0	1	0	0	2	1	0	0	37	22	36	3.477	1.3182	795
"Patton, Troy RP BAL"	Free Agent	28.7	0	0	0	1	0	0	0	24	6	24	2.512	1.0465	797
"Reynolds, Matt RP ARI"	Free Agent	42.0	0	0	0	2	1	0	1	39	13	41	3.857	1.2857	799
"Rhodes, Arthur RP STL"	Free Agent	29.3	0	0	0	2	3	0	1	24	10	24	3.068	1.1591	801
"Moylan, Peter RP LAD"	Free Agent	25.7	0	0	0	3	1	1	1	21	14	23	2.805	1.4416	803
"Villarreal, Brayan RP DET"	Free Agent	35.3	0	0	0	2	3	0	0	40	19	30	3.566	1.3868	809
"Kelley, Shawn RP NYY"	Free Agent	27.3	0	0	0	2	2	0	1	27	10	25	2.963	1.2805	818
"Mattheus, Ryan RP WAS"	Free Agent	32.7	0	0	0	2	2	0	0	18	11	28	2.755	1.1939	819
"Valdes, Raul RP PHI"	Free Agent	34.0	1	0	0	2	2	0	1	35	13	30	3.971	1.2647	820
"Resop, Chris RP OAK"	Free Agent	54.7	0	0	0	2	3	1	2	50	22	56	4.116	1.4268	821
"Doolittle, Sean RP OAK"	Free Agent	23.7	0	0	0	1	0	0	0	30	6	20	3.042	1.0986	823
"Kontos, George RP SF"	Free Agent	24.7	0	0	0	1	0	0	0	25	8	19	2.554	1.0946	824
"Bray, Bill RP WAS"	Free Agent	28.3	0	0	0	2	2	0	2	27	14	21	3.494	1.2353	828
"Loup, Aaron RP TOR"	Free Agent	30.7	0	0	0	0	2	0	1	21	2	26	2.641	0.9130	829
"Strop, Pedro RP BAL"	Free Agent	33.0	0	0	0	2	1	1	3	30	19	28	3.273	1.4242	831
"Gonzalez, Mike RP MIL"	Free Agent	38.0	0	0	0	1	2	1	2	40	17	33	3.789	1.3158	832
"Horst, Jeremy RP PHI"	Free Agent	23.3	0	0	0	1	0	0	0	24	10	20	1.543	1.2857	836
"Dunn, Mike RP MIA"	Free Agent	42.0	0	0	0	2	3	0	3	47	26	38	3.643	1.5238	837
"Thompson, Rich RP TOR"	Free Agent	25.7	0	0	0	1	1	0	0	25	8	21	2.805	1.1299	838
"Mota, Guillermo RP SF"	Free Agent	51.7	0	0	0	1	2	1	1	46	20	48	4.181	1.3161	841
"Lincoln, Brad RP TOR"	User Abuser	62.7	7	4	0	3	3	0	0	47	18	67	4.739	1.3564	842
"Byrdak, Tim RP NYM "	Free Agent	35.7	0	0	0	2	2	0	2	37	19	31	3.785	1.4019	843
"Rzepczynski, Marc RP STL"	Free Agent	57.3	4	1	0	2	4	0	3	50	24	56	4.238	1.3953	844
"Ray, Chris RP CLE"	Free Agent	29.3	0	0	0	3	1	1	1	18	12	27	3.989	1.3295	845
"Jepsen, Kevin RP LAA"	Free Agent	39.0	0	0	0	2	3	1	2	35	17	38	3.923	1.4103	846
"Luetge, Lucas RP SEA"	Free Agent	40.7	0	0	0	2	2	2	1	38	24	37	3.984	1.5000	848
"Qualls, Chad RP MIA"	Free Agent	62.0	0	0	0	4	4	4	6	40	18	74	5.226	1.4839	851
"Pryor, Stephen RP SEA"	Free Agent	23.0	0	0	0	3	1	0	0	27	13	22	3.913	1.5217	853
"Morales, Franklin RP BOS"	Evil Empire	50.3	3	1	0	1	3	1	1	48	24	44	4.291	1.3510	854
"Matusz, Brian RP BAL"	Free Agent	107.7	20	8	0	6	10	0	0	87	43	122	5.433	1.5325	855
"Rosenthal, Trevor RP STL "	Free Agent	22.7	0	0	0	0	2	0	0	25	7	14	2.779	0.9265	857
"Cruz, Juan RP PHI"	Free Agent	30.0	0	0	0	2	0	1	1	29	17	28	3.300	1.5000	858
"Miller, Shelby RP STL "	Shits & Giggles	13.7	1	1	0	1	0	0	0	16	4	9	1.317	0.9512	860
"Wade, Cory RP CHC"	Free Agent	26.3	0	0	0	2	1	0	1	23	5	26	4.101	1.1772	861
"Brach, Brad RP SD "	Free Agent	36.7	0	0	0	1	3	0	0	43	20	30	3.927	1.3636	862
"Shaw, Bryan RP CLE"	Free Agent	44.0	0	0	0	1	3	1	1	32	16	45	3.273	1.3864	867
"Batista, Miguel RP COL"	Free Agent	65.0	4	1	0	2	2	1	0	41	35	59	3.877	1.4462	870
"Cashner, Andrew RP SD "	Shits & Giggles	37.0	2	0	0	2	3	0	2	37	18	33	4.378	1.3784	871
"Rapada, Clay RP NYY"	Free Agent	21.3	0	0	0	2	0	0	0	20	10	16	3.797	1.2188	874
"Wheeler, Dan RP KC"	Free Agent	36.7	0	0	0	1	2	1	1	29	10	33	4.418	1.1727	875
"Miller, Jim RP NYY"	Free Agent	28.0	0	0	0	1	0	0	0	24	16	21	2.571	1.3214	877
"Downs, Darin RP DET"	Free Agent	20.7	0	0	0	2	1	0	0	20	9	18	3.484	1.3065	887
"Feldman, Scott SP CHC"	Floaters and Sinkers	99.0	15	4	0	5	8	0	0	64	29	115	5.182	1.4545	888
